name,type,company_name,registration_date,status
"JOANA CHRISTENSEN BROWN",directors,"ACTIVITY MONITORING SOLUTIONS LTD",04/09/2009,NULL
"JOANA CHRISTENSEN BROWN","legal representatives","ACTIVITY MONITORING SOLUTIONS LTD",04/09/2009,NULL
"JOANA CHRISTENSEN BROWN","judicial representatives","ACTIVITY MONITORING SOLUTIONS LTD",04/09/2009,NULL
"JOAN MARTINEZ BENAZET",directors,"BETORZ MARINE LIMITED",08/10/2010,NULL
"JOAN MARTINEZ BENAZET",shareholders,"BETORZ MARINE LIMITED",08/10/2010,NULL
"JOAN MARTINEZ BENAZET","legal representatives","BETORZ MARINE LIMITED",08/10/2010,NULL
"JOAN MARTINEZ BENAZET","judicial representatives","BETORZ MARINE LIMITED",08/10/2010,NULL
"JOANA CHRISTENSEN BROWN",directors,"CATHARSIS TECHNOLOGIES LIMITED",22/12/2011,NULL
"JOANA CHRISTENSEN BROWN","legal representatives","CATHARSIS TECHNOLOGIES LIMITED",22/12/2011,NULL
"JOANA CHRISTENSEN BROWN","judicial representatives","CATHARSIS TECHNOLOGIES LIMITED",22/12/2011,NULL
"MARIA CARME RODRIGUEZ GARCIA",directors,"EME Group Limited",30/09/2011,NULL
"MARIA CARME RODRIGUEZ GARCIA","legal representatives","EME Group Limited",30/09/2011,NULL
"MARIA CARME RODRIGUEZ GARCIA","judicial representatives","EME Group Limited",30/09/2011,NULL
"MARIA CARME RODRIGUEZ GARCIA",secretaries,"EME Group Limited",30/09/2011,NULL
"XAVIER SALUDES HEWETT",directors,"FENERS HOLDING II LIMITED",03/06/2010,NULL
"XAVIER SALUDES HEWETT",shareholders,"FENERS HOLDING II LIMITED",03/06/2010,NULL
"XAVIER SALUDES HEWETT","legal representatives","FENERS HOLDING II LIMITED",03/06/2010,NULL
"XAVIER SALUDES HEWETT","judicial representatives","FENERS HOLDING II LIMITED",03/06/2010,NULL
"ERIC BARTOLOME LEVOS",directors,"GLOBAL EBS GROUP LTD",14/06/2010,NULL
"ERIC BARTOLOME LEVOS",shareholders,"GLOBAL EBS GROUP LTD",14/06/2010,NULL
"ERIC BARTOLOME LEVOS","legal representatives","GLOBAL EBS GROUP LTD",14/06/2010,NULL
"ERIC BARTOLOME LEVOS","judicial representatives","GLOBAL EBS GROUP LTD",14/06/2010,NULL
"ERIC BARTOLOME LEVOS",secretaries,"GLOBAL EBS GROUP LTD",14/06/2010,NULL
"MARIA CARME RODRIGUEZ GARCIA",shareholders,"GATEWAY EXPRESS LIMITED",26/08/2011,NULL
"MARIA CARME RODRIGUEZ GARCIA",secretaries,"GATEWAY EXPRESS LIMITED",26/08/2011,NULL
"MARIA CARME RODRIGUEZ GARCIA",shareholders,"JOOOBE LIMITED",04/10/2011,NULL
"MARIA CARME RODRIGUEZ GARCIA",secretaries,"JOOOBE LIMITED",04/10/2011,NULL
"PABLO GOMEZ PERRETTA CHASTEL",shareholders,"MARVIN INVESTMENTS LIMITED",24/01/2012,NULL
"MARIA CARME RODRIGUEZ GARCIA",shareholders,"NEKUDA LIMITED",04/10/2011,NULL
"MARIA CARME RODRIGUEZ GARCIA",secretaries,"NEKUDA LIMITED",04/10/2011,NULL
"JORDI SEGARRA TOMAS",directors,"NAUTICAND MARINE LIMITED",11/05/2009,NULL
"JORDI SEGARRA TOMAS","legal representatives","NAUTICAND MARINE LIMITED",11/05/2009,NULL
"JORDI SEGARRA TOMAS","judicial representatives","NAUTICAND MARINE LIMITED",11/05/2009,NULL
"JOANA CHRISTENSEN BROWN",directors,"ODESSA MARINE LTD",28/06/2013,NULL
"JOANA CHRISTENSEN BROWN","legal representatives","ODESSA MARINE LTD",28/06/2013,NULL
"JOANA CHRISTENSEN BROWN","judicial representatives","ODESSA MARINE LTD",28/06/2013,NULL
"DAVID BETBESE ALEIX",directors,"REAL ECONOMY ADVISORS LTD",29/04/2013,NULL
"DAVID BETBESE ALEIX","legal representatives","REAL ECONOMY ADVISORS LTD",29/04/2013,NULL
"DAVID BETBESE ALEIX","judicial representatives","REAL ECONOMY ADVISORS LTD",29/04/2013,NULL
"RAMON ROSSELL MAS",shareholders,"ST. ROMA HOLDINGS LIMITED",18/03/2011,NULL
"FRANCESC PALLAS VILADOMAT",directors,"WINVELSAND LIMITED",19/11/2009,NULL
"JUAN PALLAS GONZALEZ",shareholders,"WINVELSAND LIMITED",19/11/2009,NULL
"ARTUR PALLAS NOMEN",shareholders,"WINVELSAND LIMITED",19/11/2009,NULL
"FRANCESC PALLAS VILADOMAT",shareholders,"WINVELSAND LIMITED",19/11/2009,NULL
"FRANCESC PALLAS VILADOMAT","legal representatives","WINVELSAND LIMITED",19/11/2009,NULL
"FRANCESC PALLAS VILADOMAT","judicial representatives","WINVELSAND LIMITED",19/11/2009,NULL
