name,type,company_name,registration_date,status
"ISABEL JOSE DOS SANTOS",shareholders,"ATHOL LIMITED",08/11/2012,NULL
"ISABEL JOSE DOS SANTOS",shareholders,"ALCEA HOLDING LIMITED",20/04/2012,NULL
"LUIS MIGUEL MENEZES TRIGO MARQUES CARRAZEDO",directors,"DA BANDA INTERNATIONAL LIMITED",13/09/2016,NULL
"JOSE EDUARDO PAULINO DOS SANTOS",directors,"DA BANDA INTERNATIONAL LIMITED",13/09/2016,NULL
"LUIS MIGUEL MENEZES TRIGO MARQUES CARRAZEDO","legal representatives","DA BANDA INTERNATIONAL LIMITED",13/09/2016,NULL
"JOSE EDUARDO PAULINO DOS SANTOS","legal representatives","DA BANDA INTERNATIONAL LIMITED",13/09/2016,NULL
"LUIS MIGUEL MENEZES TRIGO MARQUES CARRAZEDO","judicial representatives","DA BANDA INTERNATIONAL LIMITED",13/09/2016,NULL
"JOSE EDUARDO PAULINO DOS SANTOS","judicial representatives","DA BANDA INTERNATIONAL LIMITED",13/09/2016,NULL
"JOSE CARLOS MOUZINHO",directors,"FOUDROYANT LIMITED",02/09/2011,NULL
"JOSE CARLOS MOUZINHO",shareholders,"FOUDROYANT LIMITED",02/09/2011,NULL
"JOSE CARLOS MOUZINHO","legal representatives","FOUDROYANT LIMITED",02/09/2011,NULL
"JOSE CARLOS MOUZINHO","judicial representatives","FOUDROYANT LIMITED",02/09/2011,NULL
"ISABEL JOSE DOS SANTOS",directors,"FINISANTORO HOLDING LIMITED",31/01/2014,NULL
"ISABEL JOSE DOS SANTOS",shareholders,"FINISANTORO HOLDING LIMITED",31/01/2014,NULL
"ISABEL JOSE DOS SANTOS","legal representatives","FINISANTORO HOLDING LIMITED",31/01/2014,NULL
"ISABEL JOSE DOS SANTOS","judicial representatives","FINISANTORO HOLDING LIMITED",31/01/2014,NULL
"VICTOR MANUEL DOS SANTOS ARAUJO",directors,"GREAT SEA TRADING LIMITED",29/01/2014,NULL
"VICTOR MANUEL DOS SANTOS ARAUJO",shareholders,"GREAT SEA TRADING LIMITED",29/01/2014,NULL
"VICTOR MANUEL DOS SANTOS ARAUJO","legal representatives","GREAT SEA TRADING LIMITED",29/01/2014,NULL
"VICTOR MANUEL DOS SANTOS ARAUJO","judicial representatives","GREAT SEA TRADING LIMITED",29/01/2014,NULL
"VICTOR MANUEL DOS SANTOS ARAUJO",directors,"GREAT SEA LIMITED",27/01/2014,NULL
"VICTOR MANUEL DOS SANTOS ARAUJO",shareholders,"GREAT SEA LIMITED",27/01/2014,NULL
"VICTOR MANUEL DOS SANTOS ARAUJO","legal representatives","GREAT SEA LIMITED",27/01/2014,NULL
"VICTOR MANUEL DOS SANTOS ARAUJO","judicial representatives","GREAT SEA LIMITED",27/01/2014,NULL
"DOMINGOS MANUEL INGLES",shareholders,"GAS INNOVATION LIMITED",02/08/2016,NULL
"JOSE PEDRO BENGE",shareholders,"GAS INNOVATION LIMITED",02/08/2016,NULL
"LUIS MIGUEL MENEZES TRIGO MARQUES CARRAZEDO",directors,"HORENBEEK BUSINESS CONSULTING LTD",03/03/2016,NULL
"LUIS MIGUEL MENEZES TRIGO MARQUES CARRAZEDO",shareholders,"HORENBEEK BUSINESS CONSULTING LTD",03/03/2016,NULL
"LUIS MIGUEL MENEZES TRIGO MARQUES CARRAZEDO","legal representatives","HORENBEEK BUSINESS CONSULTING LTD",03/03/2016,NULL
"LUIS MIGUEL MENEZES TRIGO MARQUES CARRAZEDO","judicial representatives","HORENBEEK BUSINESS CONSULTING LTD",03/03/2016,NULL
"YOLANDA DA NATIVIDADE BARBOSA ALVES DO NASCIMENTO",directors,"INTERNATIONAL STRATEGIC CONSULTANCY & MANAGEMENT LIMITED",06/01/2014,NULL
"YOLANDA DA NATIVIDADE BARBOSA ALVES DO NASCIMENTO",shareholders,"INTERNATIONAL STRATEGIC CONSULTANCY & MANAGEMENT LIMITED",06/01/2014,NULL
"YOLANDA DA NATIVIDADE BARBOSA ALVES DO NASCIMENTO","legal representatives","INTERNATIONAL STRATEGIC CONSULTANCY & MANAGEMENT LIMITED",06/01/2014,NULL
"YOLANDA DA NATIVIDADE BARBOSA ALVES DO NASCIMENTO","judicial representatives","INTERNATIONAL STRATEGIC CONSULTANCY & MANAGEMENT LIMITED",06/01/2014,NULL
"LUIS MIGUEL MENEZES TRIGO MARQUES CARRAZEDO",directors,"JVEST WORLDWIDE TRADING LTD",17/12/2015,NULL
"JOSE EDUARDO PAULINO DOS SANTOS",directors,"JVEST WORLDWIDE TRADING LTD",17/12/2015,NULL
"LUIS MIGUEL MENEZES TRIGO MARQUES CARRAZEDO","legal representatives","JVEST WORLDWIDE TRADING LTD",17/12/2015,NULL
"JOSE EDUARDO PAULINO DOS SANTOS","legal representatives","JVEST WORLDWIDE TRADING LTD",17/12/2015,NULL
"LUIS MIGUEL MENEZES TRIGO MARQUES CARRAZEDO","judicial representatives","JVEST WORLDWIDE TRADING LTD",17/12/2015,NULL
"JOSE EDUARDO PAULINO DOS SANTOS","judicial representatives","JVEST WORLDWIDE TRADING LTD",17/12/2015,NULL
"LUIS MIGUEL MENEZES TRIGO MARQUES CARRAZEDO",directors,"JVEST INTERNATIONAL HOLDING LTD",17/12/2015,NULL
"JOSE EDUARDO PAULINO DOS SANTOS",directors,"JVEST INTERNATIONAL HOLDING LTD",17/12/2015,NULL
"LUIS MIGUEL MENEZES TRIGO MARQUES CARRAZEDO","legal representatives","JVEST INTERNATIONAL HOLDING LTD",17/12/2015,NULL
"JOSE EDUARDO PAULINO DOS SANTOS","legal representatives","JVEST INTERNATIONAL HOLDING LTD",17/12/2015,NULL
"LUIS MIGUEL MENEZES TRIGO MARQUES CARRAZEDO","judicial representatives","JVEST INTERNATIONAL HOLDING LTD",17/12/2015,NULL
"JOSE EDUARDO PAULINO DOS SANTOS","judicial representatives","JVEST INTERNATIONAL HOLDING LTD",17/12/2015,NULL
"ISABEL JOSE DOS SANTOS",shareholders,"KENTO HOLDING LIMITED",27/11/2009,NULL
"MARIO FERNANDO PONTES MOREIRA FONTES",directors,"LWEI LIMITED",30/12/2014,NULL
"DIAMANTINO LUIS BELO PEREIRA LEITAO",shareholders,"LWEI LIMITED",30/12/2014,NULL
"PAULO LUIS PARREIRA BORGES DE SOUSA",shareholders,"LWEI LIMITED",30/12/2014,NULL
"MARIO FERNANDO PONTES MOREIRA FONTES",shareholders,"LWEI LIMITED",30/12/2014,NULL
"JOSE AUGUSTO SILVA",shareholders,"LWEI LIMITED",30/12/2014,NULL
"MARIO FERNANDO PONTES MOREIRA FONTES","legal representatives","LWEI LIMITED",30/12/2014,NULL
"MARIO FERNANDO PONTES MOREIRA FONTES","judicial representatives","LWEI LIMITED",30/12/2014,NULL
"JOSE' CORREIA MATOS DIAS",shareholders,"MOZANG LTD",03/12/2012,NULL
"HORACIO MANUEL DA SILVA MOSQUITO",directors,"MILIONARIO SPORTS LIMITED",05/09/2014,NULL
"ANTONIO MOSQUITO",shareholders,"MILIONARIO SPORTS LIMITED",05/09/2014,NULL
"HORACIO MANUEL DA SILVA MOSQUITO",shareholders,"MILIONARIO SPORTS LIMITED",05/09/2014,NULL
"HORACIO MANUEL DA SILVA MOSQUITO","legal representatives","MILIONARIO SPORTS LIMITED",05/09/2014,NULL
"HORACIO MANUEL DA SILVA MOSQUITO","judicial representatives","MILIONARIO SPORTS LIMITED",05/09/2014,NULL
"INACIO FRANCISCO DO AMARAL",directors,"NGOL ZAIRE LTD.",05/05/2006,NULL
"CARLOS ALBERTO VICENTE ANTONIO",directors,"NGOL ZAIRE LTD.",05/05/2006,NULL
"RUTE RAQUEL DA COSTA DAVID",directors,"NGOL ZAIRE LTD.",05/05/2006,NULL
"FRANCISCO DE LEMOS JOSE MARIA",directors,"NGOL ZAIRE LTD.",05/05/2006,NULL
"FERNANDES GASPAR BERNARDO MATEUS",directors,"NGOL ZAIRE LTD.",05/05/2006,NULL
"INACIO FRANCISCO DO AMARAL","legal representatives","NGOL ZAIRE LTD.",05/05/2006,NULL
"CARLOS ALBERTO VICENTE ANTONIO","legal representatives","NGOL ZAIRE LTD.",05/05/2006,NULL
"RUTE RAQUEL DA COSTA DAVID","legal representatives","NGOL ZAIRE LTD.",05/05/2006,NULL
"FRANCISCO DE LEMOS JOSE MARIA","legal representatives","NGOL ZAIRE LTD.",05/05/2006,NULL
