name,type,company_name,registration_date,status
"MARTIN RICARDO CORDEIRO",directors,"ARDMANN GROUP LIMITED",17/05/2007,NULL
"MARTIN RICARDO CORDEIRO",shareholders,"ARDMANN GROUP LIMITED",17/05/2007,NULL
"MARTIN RICARDO CORDEIRO","legal representatives","ARDMANN GROUP LIMITED",17/05/2007,NULL
"MARTIN RICARDO CORDEIRO","judicial representatives","ARDMANN GROUP LIMITED",17/05/2007,NULL
"MARIA INES CARMEN BEMBERG DE VICUNA",directors,"ARCONAS INTERNATIONAL LIMITED",07/12/2006,NULL
"FLOREAL HORACIO CRESPO",directors,"ARCONAS INTERNATIONAL LIMITED",07/12/2006,NULL
"MARIA INES CARMEN BEMBERG DE VICUNA","legal representatives","ARCONAS INTERNATIONAL LIMITED",07/12/2006,NULL
"FLOREAL HORACIO CRESPO","legal representatives","ARCONAS INTERNATIONAL LIMITED",07/12/2006,NULL
"MARIA INES CARMEN BEMBERG DE VICUNA","judicial representatives","ARCONAS INTERNATIONAL LIMITED",07/12/2006,NULL
"FLOREAL HORACIO CRESPO","judicial representatives","ARCONAS INTERNATIONAL LIMITED",07/12/2006,NULL
"TOMAS PARDINA DIONISI",directors,"AEONIA LIMITED",18/06/2009,NULL
"TOMAS PARDINA DIONISI","legal representatives","AEONIA LIMITED",18/06/2009,NULL
"TOMAS PARDINA DIONISI","judicial representatives","AEONIA LIMITED",18/06/2009,NULL
"MARIA EUGENIA FORNASERO",directors,"ACONPAYS CORPORATION LIMITED",01/09/2015,NULL
"MARIA EUGENIA FORNASERO","legal representatives","ACONPAYS CORPORATION LIMITED",01/09/2015,NULL
"MARIA EUGENIA FORNASERO","judicial representatives","ACONPAYS CORPORATION LIMITED",01/09/2015,NULL
"MARIA EUGENIA FORNASERO",directors,"ACONCAGUA HOLDING LIMITED",26/08/2015,NULL
"JOSE MARIA ROSSI",shareholders,"ACONCAGUA HOLDING LIMITED",26/08/2015,NULL
"MARIA EUGENIA FORNASERO","legal representatives","ACONCAGUA HOLDING LIMITED",26/08/2015,NULL
"MARIA EUGENIA FORNASERO","judicial representatives","ACONCAGUA HOLDING LIMITED",26/08/2015,NULL
"TOMAS PARDINA DIONISI",directors,"ACAVA LIMITED",22/12/2008,NULL
"TOMAS PARDINA DIONISI","legal representatives","ACAVA LIMITED",22/12/2008,NULL
"TOMAS PARDINA DIONISI","judicial representatives","ACAVA LIMITED",22/12/2008,NULL
"CARLOS DANIEL PAZ",directors,"CHT HOLDINGS LIMITED",29/04/2014,NULL
"CARLOS DANIEL PAZ",shareholders,"CHT HOLDINGS LIMITED",29/04/2014,NULL
"CARLOS DANIEL PAZ","legal representatives","CHT HOLDINGS LIMITED",29/04/2014,NULL
"CARLOS DANIEL PAZ","judicial representatives","CHT HOLDINGS LIMITED",29/04/2014,NULL
"TOMAS PARDINA DIONISI",directors,"CCORI LIMITED",18/06/2009,NULL
"TOMAS PARDINA DIONISI","legal representatives","CCORI LIMITED",18/06/2009,NULL
"TOMAS PARDINA DIONISI","judicial representatives","CCORI LIMITED",18/06/2009,NULL
"ALEJANDRO DI CESARE",directors,"Car One Europe Limited",21/07/2008,NULL
"ALEJANDRO DI CESARE","legal representatives","Car One Europe Limited",21/07/2008,NULL
"ALEJANDRO DI CESARE","judicial representatives","Car One Europe Limited",21/07/2008,NULL
"ALEJANDRO DI CESARE",secretaries,"Car One Europe Limited",21/07/2008,NULL
"TOMAS PARDINA DIONISI",directors,"CALLPA LIMITED",26/09/2008,NULL
"TOMAS PARDINA DIONISI","legal representatives","CALLPA LIMITED",26/09/2008,NULL
"TOMAS PARDINA DIONISI","judicial representatives","CALLPA LIMITED",26/09/2008,NULL
"FABIANA MACK",shareholders,"CALEDONIAN SERVICES LTD",04/01/2016,NULL
"JORGE GABRIEL DIMENT",directors,"DEPPAY PROCESSING LIMITED",20/05/2015,NULL
