name,type,company_name,registration_date,status
"CATHERINE SMAHLIUK",shareholders,"AMETIS LTD",17/10/2014,NULL
"VIKTOR CHEVTSOV",directors,"BZS HOLDING AND INVESTMENT LIMITED",09/10/2014,"In Dissolution"
"VIKTOR CHEVTSOV",shareholders,"BZS HOLDING AND INVESTMENT LIMITED",09/10/2014,"In Dissolution"
"VIKTOR CHEVTSOV","legal representatives","BZS HOLDING AND INVESTMENT LIMITED",09/10/2014,"In Dissolution"
"VIKTOR CHEVTSOV","judicial representatives","BZS HOLDING AND INVESTMENT LIMITED",09/10/2014,"In Dissolution"
"PAVEL SAKALOUSKI",directors,"BUSINESS INVESTMENTS SOLUTIONS LIMITED",05/10/2007,NULL
"PAVEL SAKALOUSKI",shareholders,"BUSINESS INVESTMENTS SOLUTIONS LIMITED",05/10/2007,NULL
"PAVEL SAKALOUSKI","legal representatives","BUSINESS INVESTMENTS SOLUTIONS LIMITED",05/10/2007,NULL
"PAVEL SAKALOUSKI","judicial representatives","BUSINESS INVESTMENTS SOLUTIONS LIMITED",05/10/2007,NULL
"PAVEL SAKALOUSKI",secretaries,"BUSINESS INVESTMENTS SOLUTIONS LIMITED",05/10/2007,NULL
"OLGA TOLPIGA",directors,"DOMINO INVESTMENTS LIMITED",03/07/2014,NULL
"OLGA TOLPIGA",shareholders,"DOMINO INVESTMENTS LIMITED",03/07/2014,NULL
"OLGA TOLPIGA","legal representatives","DOMINO INVESTMENTS LIMITED",03/07/2014,NULL
"OLGA TOLPIGA","judicial representatives","DOMINO INVESTMENTS LIMITED",03/07/2014,NULL
"OLGA TOLPIGA",secretaries,"DOMINO INVESTMENTS LIMITED",03/07/2014,NULL
"IGOR TCHERNY",directors,"DEMI MANAGEMENT LIMITED",16/04/2008,NULL
"IGOR TCHERNY",shareholders,"DEMI MANAGEMENT LIMITED",16/04/2008,NULL
"IGOR TCHERNY","legal representatives","DEMI MANAGEMENT LIMITED",16/04/2008,NULL
"IGOR TCHERNY","judicial representatives","DEMI MANAGEMENT LIMITED",16/04/2008,NULL
"BOIKA ALENA",directors,"DATING.COM GROUP LIMITED",25/03/2014,NULL
"IRYNA NIKIFARAVA",shareholders,"GIUNAHLA LTD",02/05/2013,NULL
"Andrei Patap",directors,"Klumbas Holding Ltd",01/10/2013,NULL
"Tatsiana Patap",directors,"Klumbas Holding Ltd",01/10/2013,NULL
"Andrei Patap",shareholders,"Klumbas Holding Ltd",01/10/2013,NULL
"Tatsiana Patap",shareholders,"Klumbas Holding Ltd",01/10/2013,NULL
"Andrei Patap","legal representatives","Klumbas Holding Ltd",01/10/2013,NULL
"Tatsiana Patap","legal representatives","Klumbas Holding Ltd",01/10/2013,NULL
"Andrei Patap","judicial representatives","Klumbas Holding Ltd",01/10/2013,NULL
"Tatsiana Patap","judicial representatives","Klumbas Holding Ltd",01/10/2013,NULL
"Andrei Patap",directors,"Kit & SD Ltd",12/11/2013,NULL
"Tatsiana Patap",directors,"Kit & SD Ltd",12/11/2013,NULL
