name,type,company_name,registration_date,status
"LEOPOLD ENGELBERT E. D'ARENBERG (DUC)",directors,"""DE EIK"" B.V.",14/03/2016,NULL
"ETIENNE ALBERT M. D'ARENBERG (Prince)",directors,"""DE EIK"" B.V.",14/03/2016,NULL
"NICOLAS DEKKERS",directors,"2 Net Empire Ltd",03/09/2009,NULL
"ALBERT SHIH",directors,"2 Net Empire Ltd",03/09/2009,NULL
"NICOLAS DEKKERS","legal representatives","2 Net Empire Ltd",03/09/2009,NULL
"ALBERT SHIH","legal representatives","2 Net Empire Ltd",03/09/2009,NULL
"NICOLAS DEKKERS","judicial representatives","2 Net Empire Ltd",03/09/2009,NULL
"ALBERT SHIH","judicial representatives","2 Net Empire Ltd",03/09/2009,NULL
"HENRI E J HERBOTS",directors,"3-D FINANCE LIMITED",02/11/1998,NULL
"HENRI E J HERBOTS","legal representatives","3-D FINANCE LIMITED",02/11/1998,NULL
"HENRI E J HERBOTS","judicial representatives","3-D FINANCE LIMITED",02/11/1998,NULL
"KHADIJA BUSSABIR",directors,"3 T TRADING LIMITED",04/06/2002,NULL
"MIA ENGELS",directors,"3 T TRADING LIMITED",04/06/2002,NULL
"KHADIJA BUSSABIR","judicial representatives","3 T TRADING LIMITED",04/06/2002,NULL
"MIA ENGELS","judicial representatives","3 T TRADING LIMITED",04/06/2002,NULL
"MIA ENGELS",secretaries,"3 T TRADING LIMITED",04/06/2002,NULL
"ROLAND SYLVAIN BARNICH",shareholders,"91 ST. JOHN LTD",12/05/2016,NULL
"ANNE MARIA J CROENEN",shareholders,"AZURE ECO ARTS LTD",23/03/2016,NULL
"WALTER JOANNA J VANDENBULCKE",shareholders,"AZURE ECO ARTS LTD",23/03/2016,NULL
"VAN BESIEN",directors,"AVIATION TEAM & CONSULTING SERVICES LIMITED",01/06/2016,NULL
"EDLUND KRISTER",directors,"AVIATION TEAM & CONSULTING SERVICES LIMITED",01/06/2016,NULL
"KRISTOF LAVAERT",directors,"AVIATION TEAM & CONSULTING SERVICES LIMITED",01/06/2016,NULL
