name,type,company_name,registration_date,status
"BRET LOY WOLFENBARGER",directors,"BUZZPAY MALTA LTD",08/08/2014,NULL
"BRET LOY WOLFENBARGER","legal representatives","BUZZPAY MALTA LTD",08/08/2014,NULL
"BRET LOY WOLFENBARGER","judicial representatives","BUZZPAY MALTA LTD",08/08/2014,NULL
"KARINA MOHAN HOTCHANDANI",directors,"KAVI GLOBAL TRADING LTD",11/02/2014,NULL
"KARINA MOHAN HOTCHANDANI",shareholders,"KAVI GLOBAL TRADING LTD",11/02/2014,NULL
"KARINA MOHAN HOTCHANDANI","legal representatives","KAVI GLOBAL TRADING LTD",11/02/2014,NULL
"KARINA MOHAN HOTCHANDANI","judicial representatives","KAVI GLOBAL TRADING LTD",11/02/2014,NULL
"KARINA MOHAN HOTCHANDANI",secretaries,"KAVI GLOBAL TRADING LTD",11/02/2014,NULL
"GENEVIEVE YOLANDA PENNILL",directors,"MILAN COMMODITIES LIMITED",07/08/2014,NULL
"GENEVIEVE YOLANDA PENNILL","legal representatives","MILAN COMMODITIES LIMITED",07/08/2014,NULL
"GENEVIEVE YOLANDA PENNILL","judicial representatives","MILAN COMMODITIES LIMITED",07/08/2014,NULL
"GENEVIEVE YOLANDA PENNILL",secretaries,"MILAN COMMODITIES LIMITED",07/08/2014,NULL
"MUSTAFA YILMAZ",directors,"Onsino.com Limited",17/03/2006,NULL
"MUSTAFA YILMAZ","legal representatives","Onsino.com Limited",17/03/2006,NULL
"MUSTAFA YILMAZ","judicial representatives","Onsino.com Limited",17/03/2006,NULL
"LETRICIA NICOLE LAMB",secretaries,"WRIGWELL LIMITED",06/11/2014,NULL
