name,type,company_name,registration_date,status
"DZEMO NESLANOVIC",directors,"ARGENTARIUS CONCEPTS LTD.",08/04/2014,NULL
"DZEMO NESLANOVIC",shareholders,"ARGENTARIUS CONCEPTS LTD.",08/04/2014,NULL
"DZEMO NESLANOVIC","legal representatives","ARGENTARIUS CONCEPTS LTD.",08/04/2014,NULL
"DZEMO NESLANOVIC","judicial representatives","ARGENTARIUS CONCEPTS LTD.",08/04/2014,NULL
"Edin Buljubasic",secretaries,"ALVOTECH MALTA LIMITED",23/10/2013,NULL
"Edin Buljubasic",secretaries,"Alvogen Pharma Limited",19/09/2013,NULL
"Edin Buljubasic",directors,"ALVOGEN MALTA OPERATIONS ROW HOLDINGS LTD",28/04/2016,NULL
"Edin Buljubasic","legal representatives","ALVOGEN MALTA OPERATIONS ROW HOLDINGS LTD",28/04/2016,NULL
"Edin Buljubasic","judicial representatives","ALVOGEN MALTA OPERATIONS ROW HOLDINGS LTD",28/04/2016,NULL
"Edin Buljubasic",secretaries,"ALVOGEN MALTA OPERATIONS ROW HOLDINGS LTD",28/04/2016,NULL
"Edin Buljubasic",directors,"ALVOGEN MALTA OPERATIONS LTD",20/03/2015,NULL
"Edin Buljubasic","legal representatives","ALVOGEN MALTA OPERATIONS LTD",20/03/2015,NULL
"Edin Buljubasic","judicial representatives","ALVOGEN MALTA OPERATIONS LTD",20/03/2015,NULL
"Edin Buljubasic",secretaries,"ALVOGEN MALTA OPERATIONS LTD",20/03/2015,NULL
"Edin Buljubasic",secretaries,"ALVOGEN MALTA OPERATIONS (ROW) LTD",25/06/2015,NULL
"Edin Buljubasic",directors,"ALVOGEN MALTA GROUP SERVICES LIMITED",15/07/2016,NULL
"Edin Buljubasic","legal representatives","ALVOGEN MALTA GROUP SERVICES LIMITED",15/07/2016,NULL
"Edin Buljubasic","judicial representatives","ALVOGEN MALTA GROUP SERVICES LIMITED",15/07/2016,NULL
"Edin Buljubasic",secretaries,"ALVOGEN MALTA GROUP SERVICES LIMITED",15/07/2016,NULL
"Edin Buljubasic",secretaries,"ALVOGEN DEVELOPMENT LIMITED",18/02/2014,NULL
"DAMIR HASANAGIC",directors,"AH HOLDING LIMITED",05/12/2006,NULL
"DAMIR HASANAGIC","legal representatives","AH HOLDING LIMITED",05/12/2006,NULL
"DAMIR HASANAGIC","judicial representatives","AH HOLDING LIMITED",05/12/2006,NULL
"DAMIR HASANAGIC",directors,"AH CAPITAL LIMITED",05/12/2006,NULL
"DAMIR HASANAGIC","legal representatives","AH CAPITAL LIMITED",05/12/2006,NULL
"DAMIR HASANAGIC","judicial representatives","AH CAPITAL LIMITED",05/12/2006,NULL
"ZELJKO MILJKOVIC",directors,"BSP TRADING LIMITED",22/06/2011,NULL
"ZELJKO MILJKOVIC","legal representatives","BSP TRADING LIMITED",22/06/2011,NULL
"ZELJKO MILJKOVIC","judicial representatives","BSP TRADING LIMITED",22/06/2011,NULL
"ADISA BALDACCHINO",directors,"BEAUTY STYLE LIMITED",26/06/2015,NULL
"ADISA BALDACCHINO",shareholders,"BEAUTY STYLE LIMITED",26/06/2015,NULL
"ADISA BALDACCHINO","legal representatives","BEAUTY STYLE LIMITED",26/06/2015,NULL
"ADISA BALDACCHINO","judicial representatives","BEAUTY STYLE LIMITED",26/06/2015,NULL
"ADISA BALDACCHINO",secretaries,"BEAUTY STYLE LIMITED",26/06/2015,NULL
"HASIM KUDUZOVIC",directors,"HK INTERNATIONAL TRADING SERVICES LTD.",28/09/1995,NULL
"HASIM KUDUZOVIC",shareholders,"HK INTERNATIONAL TRADING SERVICES LTD.",28/09/1995,NULL
"HASIM KUDUZOVIC","legal representatives","HK INTERNATIONAL TRADING SERVICES LTD.",28/09/1995,NULL
"HASIM KUDUZOVIC","judicial representatives","HK INTERNATIONAL TRADING SERVICES LTD.",28/09/1995,NULL
"HASIM KUDUZOVIC",secretaries,"HK INTERNATIONAL TRADING SERVICES LTD.",28/09/1995,NULL
"ARNEL VOJIC",directors,"MEDIA SYSTEMS LIMITED",02/01/2006,NULL
"ARNEL VOJIC","legal representatives","MEDIA SYSTEMS LIMITED",02/01/2006,NULL
"ARNEL VOJIC","judicial representatives","MEDIA SYSTEMS LIMITED",02/01/2006,NULL
"STEFAN KRNETA",directors,"OLLIGO LTD",07/07/2015,NULL
"STEFAN KRNETA",shareholders,"OLLIGO LTD",07/07/2015,NULL
