name,type,company_name,registration_date,status
"HERMANY ANDRADE JUNIOR",directors,"4GB HOLDINGS LTD",07/10/2010,NULL
"RICARDO SAUD",directors,"4GB HOLDINGS LTD",07/10/2010,NULL
"HERMANY ANDRADE JUNIOR",shareholders,"4GB HOLDINGS LTD",07/10/2010,NULL
"RICARDO SAUD",shareholders,"4GB HOLDINGS LTD",07/10/2010,NULL
"HERMANY ANDRADE JUNIOR","legal representatives","4GB HOLDINGS LTD",07/10/2010,NULL
"RICARDO SAUD","legal representatives","4GB HOLDINGS LTD",07/10/2010,NULL
"HERMANY ANDRADE JUNIOR","judicial representatives","4GB HOLDINGS LTD",07/10/2010,NULL
"RICARDO SAUD","judicial representatives","4GB HOLDINGS LTD",07/10/2010,NULL
"ANDERSON JAVITE",directors,"AUJOFA SPORT LIMITED",29/10/2012,NULL
"ANDERSON JAVITE",shareholders,"AUJOFA SPORT LIMITED",29/10/2012,NULL
"ANDERSON JAVITE","legal representatives","AUJOFA SPORT LIMITED",29/10/2012,NULL
"ANDERSON JAVITE","judicial representatives","AUJOFA SPORT LIMITED",29/10/2012,NULL
"MONICA ROSENWEIG",directors,"ARPEX HOLDING LTD",05/09/2016,NULL
"MONICA ROSENWEIG","legal representatives","ARPEX HOLDING LTD",05/09/2016,NULL
"MONICA ROSENWEIG","judicial representatives","ARPEX HOLDING LTD",05/09/2016,NULL
"ALEXANDRE LIMA BARIGCHUN",directors,"APV EUROPE INVESTMENTS LIMITED",13/01/2016,NULL
"ALEXANDRE LIMA BARIGCHUN","legal representatives","APV EUROPE INVESTMENTS LIMITED",13/01/2016,NULL
"ALEXANDRE LIMA BARIGCHUN","judicial representatives","APV EUROPE INVESTMENTS LIMITED",13/01/2016,NULL
"LORNA MARIE WOOLLEY CHATWIN",shareholders,"APEDRA LIMITED",17/09/2015,NULL
"MARCIA NASCIMENTO DE TOLOSA ADORNO",directors,"ANTARES FINANCIAL CORPORATION LTD",11/06/2015,NULL
"MARCIA NASCIMENTO DE TOLOSA ADORNO","legal representatives","ANTARES FINANCIAL CORPORATION LTD",11/06/2015,NULL
"MARCIA NASCIMENTO DE TOLOSA ADORNO","judicial representatives","ANTARES FINANCIAL CORPORATION LTD",11/06/2015,NULL
