name,type,company_name,registration_date,status
"ALEXIS MARTIAL BEKOULE",directors,"COMS GROUP LTD",29/02/2012,NULL
"ALEXIS MARTIAL BEKOULE","legal representatives","COMS GROUP LTD",29/02/2012,NULL
"ALEXIS MARTIAL BEKOULE","judicial representatives","COMS GROUP LTD",29/02/2012,NULL
"GEORGES OSVALD FOTSO",directors,"CAMUS AFRICA LIMITED",06/12/2012,NULL
"GEORGES OSVALD FOTSO",shareholders,"CAMUS AFRICA LIMITED",06/12/2012,NULL
"GEORGES OSVALD FOTSO","legal representatives","CAMUS AFRICA LIMITED",06/12/2012,NULL
"GEORGES OSVALD FOTSO","judicial representatives","CAMUS AFRICA LIMITED",06/12/2012,NULL
"GEORGES OSVALD FOTSO",secretaries,"CAMUS AFRICA LIMITED",06/12/2012,NULL
"JAMES CHONA KAMAHA",directors,"DSC MARINE SERVICES LTD",17/01/2014,NULL
"JAMES CHONA KAMAHA","legal representatives","DSC MARINE SERVICES LTD",17/01/2014,NULL
"JAMES CHONA KAMAHA","judicial representatives","DSC MARINE SERVICES LTD",17/01/2014,NULL
"MOISE DALEU DIABE",shareholders,"DELTA EUROPE LIMITED",24/08/2012,NULL
"JOSEPH FOTSO",directors,"HYALA LTD.",25/02/2014,NULL
"PATRICK FERDINAND OLIVER MEPFUE",shareholders,"HYALA LTD.",25/02/2014,NULL
"JOSEPH FOTSO","legal representatives","HYALA LTD.",25/02/2014,NULL
"JOSEPH FOTSO","judicial representatives","HYALA LTD.",25/02/2014,NULL
"JOSEPH FOTSO",secretaries,"HYALA LTD.",25/02/2014,NULL
"JULIEN CONSTANT FOUTH ATCHOM",directors,"Jenergy International Ltd",21/03/2011,NULL
"JULIEN CONSTANT FOUTH ATCHOM",shareholders,"Jenergy International Ltd",21/03/2011,NULL
"ERIC FRANKLIN MBALA TOULOU",shareholders,"Jenergy International Ltd",21/03/2011,NULL
"JULIEN CONSTANT FOUTH ATCHOM","legal representatives","Jenergy International Ltd",21/03/2011,NULL
"JULIEN CONSTANT FOUTH ATCHOM","judicial representatives","Jenergy International Ltd",21/03/2011,NULL
"JULIEN CONSTANT FOUTH ATCHOM",secretaries,"Jenergy International Ltd",21/03/2011,NULL
"PASCAL LELE",directors,"LELECORP LIMITED",09/09/2014,NULL
"PASCAL LELE",shareholders,"LELECORP LIMITED",09/09/2014,NULL
"PASCAL LELE","legal representatives","LELECORP LIMITED",09/09/2014,NULL
"PASCAL LELE","judicial representatives","LELECORP LIMITED",09/09/2014,NULL
"KINGLEY ACHU PROMBO PUPESIE PUNGONG",shareholders,"RAINBOW WORLD GROUP LTD",10/01/2011,NULL
"GEORGES OSVALD FOTSO",directors,"UNITY TELECOM LIMITED",06/12/2013,NULL
"GEORGES OSVALD FOTSO",shareholders,"UNITY TELECOM LIMITED",06/12/2013,NULL
"GEORGES OSVALD FOTSO","legal representatives","UNITY TELECOM LIMITED",06/12/2013,NULL
"GEORGES OSVALD FOTSO","judicial representatives","UNITY TELECOM LIMITED",06/12/2013,NULL
"GEORGES OSVALD FOTSO",secretaries,"UNITY TELECOM LIMITED",06/12/2013,NULL
