name,type,company_name,registration_date,status
"ANDREAS ORPHANOU",directors,"1GAMING (MALTA) LTD",21/02/2006,NULL
"ANDREAS ORPHANOU",shareholders,"1GAMING (MALTA) LTD",21/02/2006,NULL
"ANDREAS ORPHANOU","legal representatives","1GAMING (MALTA) LTD",21/02/2006,NULL
"ANDREAS ORPHANOU","judicial representatives","1GAMING (MALTA) LTD",21/02/2006,NULL
"CAROLYN A GROOTARZ",shareholders,"123 HOLDING LIMITED",04/10/2002,NULL
"CAROLYN A GROOTARZ",secretaries,"123 HOLDING LIMITED",04/10/2002,NULL
"MARTIN LEE",secretaries,"2i Limited",28/03/2006,NULL
"STEVEN MASON",directors,"AZTECH LIMITED",25/02/1993,NULL
"STEVEN MASON",shareholders,"AZTECH LIMITED",25/02/1993,NULL
"STEVEN MASON","judicial representatives","AZTECH LIMITED",25/02/1993,NULL
"STEVEN MASON",secretaries,"AZTECH LIMITED",25/02/1993,NULL
"MICHAEL WEXLER",shareholders,"AURAGENIX SERVICES LIMITED",18/03/2008,NULL
"CHRISTOPHER MICHAEL DAVIES",directors,"AUGUST IS GREEN LIMITED",12/09/2011,NULL
"CHRISTOPHER MICHAEL DAVIES","legal representatives","AUGUST IS GREEN LIMITED",12/09/2011,NULL
"CHRISTOPHER MICHAEL DAVIES","judicial representatives","AUGUST IS GREEN LIMITED",12/09/2011,NULL
"JAMIE FLEMING",directors,"ATHLETIC SOFTWARE LTD",28/01/2004,NULL
"JAMIE FLEMING",shareholders,"ATHLETIC SOFTWARE LTD",28/01/2004,NULL
"JAMIE FLEMING","legal representatives","ATHLETIC SOFTWARE LTD",28/01/2004,NULL
"JAMIE FLEMING","judicial representatives","ATHLETIC SOFTWARE LTD",28/01/2004,NULL
"JIMMY LEE",shareholders,"ASIAMERICA LIMITED",29/12/2014,NULL
"KENNETH WEINSTEIN",shareholders,"ARISON LIMITED",23/02/2004,"In Dissolution"
"BRIAN JOSEPH KONST",directors,"ANTIETAM YACHT LIMITED",03/06/2005,NULL
"BRIAN JOSEPH KONST",shareholders,"ANTIETAM YACHT LIMITED",03/06/2005,NULL
"MICHAEL FRANK LIFSHITZ",directors,"ANKER MANAGEMENT LIMITED",15/05/2015,NULL
"MICHAEL FRANK LIFSHITZ",shareholders,"ANKER MANAGEMENT LIMITED",15/05/2015,NULL
"MICHAEL FRANK LIFSHITZ","legal representatives","ANKER MANAGEMENT LIMITED",15/05/2015,NULL
"MICHAEL FRANK LIFSHITZ","judicial representatives","ANKER MANAGEMENT LIMITED",15/05/2015,NULL
"MARK HORRELT",directors,"ANGUS W. LIMITED",22/02/2008,NULL
"MARK HORRELT","legal representatives","ANGUS W. LIMITED",22/02/2008,NULL
"MARK HORRELT","judicial representatives","ANGUS W. LIMITED",22/02/2008,NULL
"FORD G. NICHOLSON",directors,"AmiraKPO Middle East Limited",08/08/2012,NULL
"FORD G. NICHOLSON","legal representatives","AmiraKPO Middle East Limited",08/08/2012,NULL
"FORD G. NICHOLSON","judicial representatives","AmiraKPO Middle East Limited",08/08/2012,NULL
"MURRAY GUINN FLANIGAN",secretaries,"AmiraKPO Middle East Limited",08/08/2012,NULL
"Dean Fournier",directors,"AMERICAN INCOMING LIMITED",06/01/2011,NULL
"Dean Fournier",shareholders,"AMERICAN INCOMING LIMITED",06/01/2011,NULL
"Dean Fournier","legal representatives","AMERICAN INCOMING LIMITED",06/01/2011,NULL
"Dean Fournier","judicial representatives","AMERICAN INCOMING LIMITED",06/01/2011,NULL
