name,type,company_name,registration_date,status
"CHEN HUI",directors,"AWGURI COMPANY LIMITED",28/06/1999,NULL
"LI JIANGUO",directors,"AWGURI COMPANY LIMITED",28/06/1999,NULL
"CHEN HUI","judicial representatives","AWGURI COMPANY LIMITED",28/06/1999,NULL
"LI JIANGUO","judicial representatives","AWGURI COMPANY LIMITED",28/06/1999,NULL
"KWOK CHEUNG ARTHUR LI",shareholders,"AUTOMETIS LTD",20/12/2012,NULL
"WAI KWONG LEE",directors,"ASM ASSEMBLY EQUIPMENT MALTA LIMITED",29/09/2000,NULL
"WAI KWONG LEE","legal representatives","ASM ASSEMBLY EQUIPMENT MALTA LIMITED",29/09/2000,NULL
"WAI KWONG LEE","judicial representatives","ASM ASSEMBLY EQUIPMENT MALTA LIMITED",29/09/2000,NULL
"QIANG WU",directors,"ASIAN PALACE CATERING LTD",11/12/2007,NULL
"XUENAN ZHANG",directors,"ASIAN PALACE CATERING LTD",11/12/2007,NULL
"QIANG WU",shareholders,"ASIAN PALACE CATERING LTD",11/12/2007,NULL
"XUENAN ZHANG",shareholders,"ASIAN PALACE CATERING LTD",11/12/2007,NULL
"QIANG WU","legal representatives","ASIAN PALACE CATERING LTD",11/12/2007,NULL
"XUENAN ZHANG","legal representatives","ASIAN PALACE CATERING LTD",11/12/2007,NULL
"QIANG WU","judicial representatives","ASIAN PALACE CATERING LTD",11/12/2007,NULL
"XUENAN ZHANG","judicial representatives","ASIAN PALACE CATERING LTD",11/12/2007,NULL
"XUENAN ZHANG",secretaries,"ASIAN PALACE CATERING LTD",11/12/2007,NULL
"YICHUAN DING",directors,"ASIA & AFRICA TRADING LIMITED",31/01/2011,NULL
"YICHUAN DING",shareholders,"ASIA & AFRICA TRADING LIMITED",31/01/2011,NULL
"YICHUAN DING","legal representatives","ASIA & AFRICA TRADING LIMITED",31/01/2011,NULL
"YICHUAN DING","judicial representatives","ASIA & AFRICA TRADING LIMITED",31/01/2011,NULL
"WEI WU",directors,"AROMA ASIAN FOOD CO LTD",25/07/2016,NULL
"JIUHONG ZHAO",directors,"AROMA ASIAN FOOD CO LTD",25/07/2016,NULL
"WEI WU",shareholders,"AROMA ASIAN FOOD CO LTD",25/07/2016,NULL
"JIUHONG ZHAO",shareholders,"AROMA ASIAN FOOD CO LTD",25/07/2016,NULL
"WEI WU","legal representatives","AROMA ASIAN FOOD CO LTD",25/07/2016,NULL
"JIUHONG ZHAO","legal representatives","AROMA ASIAN FOOD CO LTD",25/07/2016,NULL
"WEI WU","judicial representatives","AROMA ASIAN FOOD CO LTD",25/07/2016,NULL
"JIUHONG ZHAO","judicial representatives","AROMA ASIAN FOOD CO LTD",25/07/2016,NULL
"JIUHONG ZHAO",secretaries,"AROMA ASIAN FOOD CO LTD",25/07/2016,NULL
"MA BO",shareholders,"ANTAI CO. LTD",22/11/2011,NULL
"ZHUOYUE CHEN",directors,"ANT AND LEMON INTERNATIONAL TRADING COMPANY LIMITED",25/08/2006,NULL
"GUOHUI ZHANG",directors,"ANT AND LEMON INTERNATIONAL TRADING COMPANY LIMITED",25/08/2006,NULL
"ZHUOYUE CHEN",shareholders,"ANT AND LEMON INTERNATIONAL TRADING COMPANY LIMITED",25/08/2006,NULL
"GUOHUI ZHANG",shareholders,"ANT AND LEMON INTERNATIONAL TRADING COMPANY LIMITED",25/08/2006,NULL
"GUOHUI ZHANG","legal representatives","ANT AND LEMON INTERNATIONAL TRADING COMPANY LIMITED",25/08/2006,NULL
"GUOHUI ZHANG","judicial representatives","ANT AND LEMON INTERNATIONAL TRADING COMPANY LIMITED",25/08/2006,NULL
"ZHUOYUE CHEN",secretaries,"ANT AND LEMON INTERNATIONAL TRADING COMPANY LIMITED",25/08/2006,NULL
"ZHUOYUE CHEN",directors,"ANT AND LEMON IMPORT AND EXPORT COMPANY LIMITED",18/10/2006,NULL
"GUO HUI ZHANG",directors,"ANT AND LEMON IMPORT AND EXPORT COMPANY LIMITED",18/10/2006,NULL
"ZHUOYUE CHEN",shareholders,"ANT AND LEMON IMPORT AND EXPORT COMPANY LIMITED",18/10/2006,NULL
"GUO HUI ZHANG",shareholders,"ANT AND LEMON IMPORT AND EXPORT COMPANY LIMITED",18/10/2006,NULL
"ZHUOYUE CHEN","legal representatives","ANT AND LEMON IMPORT AND EXPORT COMPANY LIMITED",18/10/2006,NULL
"GUO HUI ZHANG","legal representatives","ANT AND LEMON IMPORT AND EXPORT COMPANY LIMITED",18/10/2006,NULL
"ZHUOYUE CHEN","judicial representatives","ANT AND LEMON IMPORT AND EXPORT COMPANY LIMITED",18/10/2006,NULL
"GUO HUI ZHANG","judicial representatives","ANT AND LEMON IMPORT AND EXPORT COMPANY LIMITED",18/10/2006,NULL
"ZHUOYUE CHEN",secretaries,"ANT AND LEMON IMPORT AND EXPORT COMPANY LIMITED",18/10/2006,NULL
"ZIYU LIU",directors,"ANCHOR SHIPPING LIMITED",07/08/2009,NULL
"LIN QI",directors,"ANCHOR SHIPPING LIMITED",07/08/2009,NULL
"ZIYU LIU","legal representatives","ANCHOR SHIPPING LIMITED",07/08/2009,NULL
"LIN QI","legal representatives","ANCHOR SHIPPING LIMITED",07/08/2009,NULL
"ZIYU LIU","judicial representatives","ANCHOR SHIPPING LIMITED",07/08/2009,NULL
"LIN QI","judicial representatives","ANCHOR SHIPPING LIMITED",07/08/2009,NULL
"CHI KIN LAI",directors,"AMICORP FUND SERVICES MALTA LIMITED",19/11/2010,NULL
"CHI KIN LAI","legal representatives","AMICORP FUND SERVICES MALTA LIMITED",19/11/2010,NULL
"CHI KIN LAI","judicial representatives","AMICORP FUND SERVICES MALTA LIMITED",19/11/2010,NULL
"ZHANG NING",directors,"AMG EURO CO. LTD",27/02/2012,NULL
"ZHANG NING",shareholders,"AMG EURO CO. LTD",27/02/2012,NULL
"ZHANG NING","legal representatives","AMG EURO CO. LTD",27/02/2012,NULL
"ZHANG NING","judicial representatives","AMG EURO CO. LTD",27/02/2012,NULL
"ZHANG NING",secretaries,"AMG EURO CO. LTD",27/02/2012,NULL
"WILSON WAI LUM SIU",shareholders,"AKIN HOLDINGS INTERNATIONAL LIMITED",09/08/2012,NULL
"GUOHONG REKKERS",directors,"ACCESS TO MALTA CO.LTD",01/06/2016,NULL
"GUOHONG REKKERS",shareholders,"ACCESS TO MALTA CO.LTD",01/06/2016,NULL
"GUOHONG REKKERS","legal representatives","ACCESS TO MALTA CO.LTD",01/06/2016,NULL
"GUOHONG REKKERS","judicial representatives","ACCESS TO MALTA CO.LTD",01/06/2016,NULL
"XUNSHENG JIANG",directors,"BLUESKY INTERNATIONAL GROUP COMPANY LIMITED",15/03/2010,NULL
"XUNSHENG JIANG",shareholders,"BLUESKY INTERNATIONAL GROUP COMPANY LIMITED",15/03/2010,NULL
"XUNSHENG JIANG","legal representatives","BLUESKY INTERNATIONAL GROUP COMPANY LIMITED",15/03/2010,NULL
"XUNSHENG JIANG","judicial representatives","BLUESKY INTERNATIONAL GROUP COMPANY LIMITED",15/03/2010,NULL
"YONG QIAN",directors,"BLUE ROOM CATERING LIMITED",12/03/1998,NULL
"YONG QIAN",shareholders,"BLUE ROOM CATERING LIMITED",12/03/1998,NULL
"YONG QIAN","legal representatives","BLUE ROOM CATERING LIMITED",12/03/1998,NULL
"YONG QIAN","judicial representatives","BLUE ROOM CATERING LIMITED",12/03/1998,NULL
"YONG QIAN","judicial representatives","BLUE ROOM CASUAL DINING LIMITED",05/06/2000,NULL
"LI HUI",directors,"BLUE CENTURY CO. LTD.",11/05/2004,NULL
"WU JIANWEI",directors,"BLUE CENTURY CO. LTD.",11/05/2004,NULL
"MA JIANYUAN",directors,"BLUE CENTURY CO. LTD.",11/05/2004,NULL
"LI HUI","judicial representatives","BLUE CENTURY CO. LTD.",11/05/2004,NULL
"WU JIANWEI","judicial representatives","BLUE CENTURY CO. LTD.",11/05/2004,NULL
"MA JIANYUAN","judicial representatives","BLUE CENTURY CO. LTD.",11/05/2004,NULL
"YUI HANG CHAN",directors,"BILLION WIN TRADING (MALTA) LIMITED",28/07/2016,NULL
"YUI HANG CHAN",shareholders,"BILLION WIN TRADING (MALTA) LIMITED",28/07/2016,NULL
