name,type,company_name,registration_date,status
"ELENI CHRYSOSTOMIDES",directors,"ALAMO LIMITED",02/12/2015,NULL
"ELENI CHRYSOSTOMIDES","legal representatives","ALAMO LIMITED",02/12/2015,NULL
"ELENI CHRYSOSTOMIDES","judicial representatives","ALAMO LIMITED",02/12/2015,NULL
"CHARALAMBOS ORFANIDES",directors,"36GAMING LIMITED",23/05/2008,NULL
"CHARALAMBOS ORFANIDES",shareholders,"36GAMING LIMITED",23/05/2008,NULL
"CHARALAMBOS ORFANIDES","legal representatives","36GAMING LIMITED",23/05/2008,NULL
"CHARALAMBOS ORFANIDES","judicial representatives","36GAMING LIMITED",23/05/2008,NULL
"MARIOS AVRAAM",directors,"AXIOM LTD",23/10/2015,NULL
"MARIOS AVRAAM",shareholders,"AXIOM LTD",23/10/2015,NULL
"MARIOS AVRAAM","legal representatives","AXIOM LTD",23/10/2015,NULL
"MARIOS AVRAAM","judicial representatives","AXIOM LTD",23/10/2015,NULL
"Avraam Kapiri",directors,"AVKAFIN ASSOCIATES LTD",08/04/2013,NULL
"Avraam Kapiri","legal representatives","AVKAFIN ASSOCIATES LTD",08/04/2013,NULL
"Avraam Kapiri","judicial representatives","AVKAFIN ASSOCIATES LTD",08/04/2013,NULL
"GEORGE ECONOMOU",directors,"AVENTURA MANAGEMENT LIMITED",28/12/2005,NULL
"GEORGE ECONOMOU","legal representatives","AVENTURA MANAGEMENT LIMITED",28/12/2005,NULL
"GEORGE ECONOMOU","judicial representatives","AVENTURA MANAGEMENT LIMITED",28/12/2005,NULL
"KYRIAKI DEMETRIOU KAMPERI",directors,"AVELBURG CONSULTING LIMITED",07/02/2014,NULL
"CHRISTODOULOS VASSILIADES",directors,"AVELBURG CONSULTING LIMITED",07/02/2014,NULL
"KYRIAKI DEMETRIOU KAMPERI",shareholders,"AVELBURG CONSULTING LIMITED",07/02/2014,NULL
"CHRISTODOULOS VASSILIADES",shareholders,"AVELBURG CONSULTING LIMITED",07/02/2014,NULL
"KYRIAKI DEMETRIOU KAMPERI","legal representatives","AVELBURG CONSULTING LIMITED",07/02/2014,NULL
"CHRISTODOULOS VASSILIADES","legal representatives","AVELBURG CONSULTING LIMITED",07/02/2014,NULL
"KYRIAKI DEMETRIOU KAMPERI","judicial representatives","AVELBURG CONSULTING LIMITED",07/02/2014,NULL
"CHRISTODOULOS VASSILIADES","judicial representatives","AVELBURG CONSULTING LIMITED",07/02/2014,NULL
"STELIOS PITTAS",secretaries,"AVELBURG CONSULTING LIMITED",07/02/2014,NULL
"NICOLE MYLONA",directors,"AUSTRALASIA CHARTERERS LIMITED",19/12/2012,NULL
"NICOLE MYLONA","legal representatives","AUSTRALASIA CHARTERERS LIMITED",19/12/2012,NULL
"NICOLE MYLONA","judicial representatives","AUSTRALASIA CHARTERERS LIMITED",19/12/2012,NULL
"ANNA PRAVDENKO ALEXANDROU",directors,"AURORA HOLDINGS LIMITED",30/08/1994,NULL
"MARIA PHYLACTOU",directors,"AURORA HOLDINGS LIMITED",30/08/1994,NULL
"ANNA PRAVDENKO ALEXANDROU","legal representatives","AURORA HOLDINGS LIMITED",30/08/1994,NULL
"MARIA PHYLACTOU","legal representatives","AURORA HOLDINGS LIMITED",30/08/1994,NULL
"ANNA PRAVDENKO ALEXANDROU","judicial representatives","AURORA HOLDINGS LIMITED",30/08/1994,NULL
"MARIA PHYLACTOU","judicial representatives","AURORA HOLDINGS LIMITED",30/08/1994,NULL
