name,type,company_name,registration_date,status
"MAREK DOSPIVA",directors,"3 BABES LEASING LIMITED",12/02/2016,NULL
"MAREK DOSPIVA",shareholders,"3 BABES LEASING LIMITED",12/02/2016,NULL
"MAREK DOSPIVA","legal representatives","3 BABES LEASING LIMITED",12/02/2016,NULL
"MAREK DOSPIVA","judicial representatives","3 BABES LEASING LIMITED",12/02/2016,NULL
"JAKUB NYTRA",directors,"AXIORY EUROPE LTD",05/09/2012,NULL
"FILIP REHOR",directors,"AXIORY EUROPE LTD",05/09/2012,NULL
"DAVID KASPER",shareholders,"AXIORY EUROPE LTD",05/09/2012,NULL
"JAKUB NYTRA",shareholders,"AXIORY EUROPE LTD",05/09/2012,NULL
"FILIP REHOR",shareholders,"AXIORY EUROPE LTD",05/09/2012,NULL
"JAKUB NYTRA","legal representatives","AXIORY EUROPE LTD",05/09/2012,NULL
"FILIP REHOR","legal representatives","AXIORY EUROPE LTD",05/09/2012,NULL
"JAKUB NYTRA","judicial representatives","AXIORY EUROPE LTD",05/09/2012,NULL
"FILIP REHOR","judicial representatives","AXIORY EUROPE LTD",05/09/2012,NULL
"FILIP POSTAVKA",directors,"ASTONE GROUP LTD",10/01/2014,NULL
"FILIP POSTAVKA",shareholders,"ASTONE GROUP LTD",10/01/2014,NULL
"FILIP POSTAVKA","legal representatives","ASTONE GROUP LTD",10/01/2014,NULL
"FILIP POSTAVKA","judicial representatives","ASTONE GROUP LTD",10/01/2014,NULL
"ANH PHAM VU",shareholders,"APV CONSULTING HOLDING LIMITED",23/02/2015,NULL
"JIRI CERVINKA",directors,"APOLLO SOFT LIMITED",25/05/2016,NULL
"MARTIN CHARVAT",directors,"APOLLO SOFT LIMITED",25/05/2016,NULL
"JIRI CERVINKA",shareholders,"APOLLO SOFT LIMITED",25/05/2016,NULL
"JIRI CERVINKA","legal representatives","APOLLO SOFT LIMITED",25/05/2016,NULL
"MARTIN CHARVAT","legal representatives","APOLLO SOFT LIMITED",25/05/2016,NULL
"JIRI CERVINKA","judicial representatives","APOLLO SOFT LIMITED",25/05/2016,NULL
"MARTIN CHARVAT","judicial representatives","APOLLO SOFT LIMITED",25/05/2016,NULL
