name,type,company_name,registration_date,status
"JACQUELIN ADAMES DE BOYLAN",shareholders,"AVATURE LTD.",10/01/2012,NULL
"FARID BENNIS",shareholders,"BIOLIFE PRODUCTS LIMITED",01/09/2011,NULL
"FARID BENNIS",shareholders,"BIOLIFE HOLDINGS LIMITED",01/09/2011,NULL
"MIKHAIL SERDTSEV",directors,"EUROLINK UNITED LTD.",16/12/2015,NULL
"MIKHAIL SERDTSEV",shareholders,"EUROLINK UNITED LTD.",16/12/2015,NULL
"MIKHAIL SERDTSEV","legal representatives","EUROLINK UNITED LTD.",16/12/2015,NULL
"MIKHAIL SERDTSEV","judicial representatives","EUROLINK UNITED LTD.",16/12/2015,NULL
"MIKHAIL SERDTSEV",secretaries,"EUROLINK UNITED LTD.",16/12/2015,NULL
"LILLIAM ALTAGRACIA MUNOZ MENA",shareholders,"H2O HOLDING LIMITED",12/05/2015,NULL
"EMAD MOHAMED ELHADI ABU KARAZA",directors,"MAYAR SHIPPING LIMITED",29/07/2016,NULL
"EMAD MOHAMED ELHADI ABU KARAZA",shareholders,"MAYAR SHIPPING LIMITED",29/07/2016,NULL
"EMAD MOHAMED ELHADI ABU KARAZA","legal representatives","MAYAR SHIPPING LIMITED",29/07/2016,NULL
"EMAD MOHAMED ELHADI ABU KARAZA","judicial representatives","MAYAR SHIPPING LIMITED",29/07/2016,NULL
"ABDULLAH OTHMAN ABDRAHIM ABDURRAHIM",directors,"MAGD-DABY LIMITED",19/01/2011,NULL
"ABDULLAH OTHMAN ABDRAHIM ABDURRAHIM","legal representatives","MAGD-DABY LIMITED",19/01/2011,NULL
"ABDULLAH OTHMAN ABDRAHIM ABDURRAHIM","judicial representatives","MAGD-DABY LIMITED",19/01/2011,NULL
"HAMIDREZA GHANBARI",directors,"PILATUS CAPITAL LTD",22/05/2015,NULL
"HAMIDREZA GHANBARI","legal representatives","PILATUS CAPITAL LTD",22/05/2015,NULL
"HAMIDREZA GHANBARI","judicial representatives","PILATUS CAPITAL LTD",22/05/2015,NULL
"HAMIDREZA GHANBARI",secretaries,"PILATUS CAPITAL LTD",22/05/2015,NULL
"HAMIDREZA GHANBARI",directors,"PILATUS BANK PLC",06/12/2013,NULL
"HAMIDREZA GHANBARI","legal representatives","PILATUS BANK PLC",06/12/2013,NULL
"HAMIDREZA GHANBARI","judicial representatives","PILATUS BANK PLC",06/12/2013,NULL
"LWAY ABORADAN BALHAWAN",directors,PHARMA-C,22/03/2016,NULL
"LWAY ABORADAN BALHAWAN",shareholders,PHARMA-C,22/03/2016,NULL
"LWAY ABORADAN BALHAWAN","legal representatives",PHARMA-C,22/03/2016,NULL
"LWAY ABORADAN BALHAWAN","judicial representatives",PHARMA-C,22/03/2016,NULL
"SEYED AMIR GHASEMI",directors,"ROYAL IMPEX LTD",12/01/2015,NULL
"SEYED AMIR GHASEMI",shareholders,"ROYAL IMPEX LTD",12/01/2015,NULL
"SEYED AMIR GHASEMI","legal representatives","ROYAL IMPEX LTD",12/01/2015,NULL
"SEYED AMIR GHASEMI","judicial representatives","ROYAL IMPEX LTD",12/01/2015,NULL
"SEYED AMIR GHASEMI",secretaries,"ROYAL IMPEX LTD",12/01/2015,NULL
"JOSE MIGUEL PEREZ SANZ",directors,"SANTA FE ASSOCIATES INTERNATIONAL LIMITED",05/06/2015,NULL
"JOSE MIGUEL PEREZ SANZ",shareholders,"SANTA FE ASSOCIATES INTERNATIONAL LIMITED",05/06/2015,NULL
"JOSE MIGUEL PEREZ SANZ","legal representatives","SANTA FE ASSOCIATES INTERNATIONAL LIMITED",05/06/2015,NULL
"JOSE MIGUEL PEREZ SANZ","judicial representatives","SANTA FE ASSOCIATES INTERNATIONAL LIMITED",05/06/2015,NULL
