name,type,company_name,registration_date,status
"SHERIN KAMEL MOHAMED ABDELFATTAH",shareholders,"ARROW ADVISORY HOLDINGS LTD",21/10/2015,NULL
"ASSER AHMED IBRAHIM",directors,"APHRODITE GROUP SERVICES LIMITED",14/10/2013,NULL
"ASSER AHMED IBRAHIM",shareholders,"APHRODITE GROUP SERVICES LIMITED",14/10/2013,NULL
"ASSER AHMED IBRAHIM","legal representatives","APHRODITE GROUP SERVICES LIMITED",14/10/2013,NULL
"ASSER AHMED IBRAHIM","judicial representatives","APHRODITE GROUP SERVICES LIMITED",14/10/2013,NULL
"ASSER AHMED IBRAHIM",secretaries,"APHRODITE GROUP SERVICES LIMITED",14/10/2013,NULL
"MOHAMMED ABDEL-MOEIZ ALY",directors,"ANNOUNA INTERNATIONAL TRADE LTD",07/03/2000,NULL
"MOHAMMED ABDEL-MOEIZ ALY","legal representatives","ANNOUNA INTERNATIONAL TRADE LTD",07/03/2000,NULL
"MOHAMMED ABDEL-MOEIZ ALY","judicial representatives","ANNOUNA INTERNATIONAL TRADE LTD",07/03/2000,NULL
"MOHAMED SHEREEF MOHAMED EZZ EL DIN MOHAMED EL-PRINCE",directors,"ANDALUSIA INTERNATIONAL LTD",02/03/2009,"In Dissolution"
"KARIM HASSAN SADEK",directors,"ANDALUSIA INTERNATIONAL LTD",02/03/2009,"In Dissolution"
"MOHAMED SHEREEF MOHAMED EZZ EL DIN MOHAMED EL-PRINCE","legal representatives","ANDALUSIA INTERNATIONAL LTD",02/03/2009,"In Dissolution"
"KARIM HASSAN SADEK","legal representatives","ANDALUSIA INTERNATIONAL LTD",02/03/2009,"In Dissolution"
"MOHAMED SHEREEF MOHAMED EZZ EL DIN MOHAMED EL-PRINCE","judicial representatives","ANDALUSIA INTERNATIONAL LTD",02/03/2009,"In Dissolution"
"KARIM HASSAN SADEK","judicial representatives","ANDALUSIA INTERNATIONAL LTD",02/03/2009,"In Dissolution"
"AMR MOHAMED SOBHY HAMZA ELSHABRAWISHI",directors,"AMJS HOLDINGS LIMITED",05/12/2014,NULL
"AMR MOHAMED SOBHY HAMZA ELSHABRAWISHI",shareholders,"AMJS HOLDINGS LIMITED",05/12/2014,NULL
"JANA AMR MOHAMED SOBHY HAMZA ELSHABRAWISHI",shareholders,"AMJS HOLDINGS LIMITED",05/12/2014,NULL
"MOHAMED AMR MOHAMED SOBHY HAMZA ELSHABRAWISHI",shareholders,"AMJS HOLDINGS LIMITED",05/12/2014,NULL
"AMR MOHAMED SOBHY HAMZA ELSHABRAWISHI","legal representatives","AMJS HOLDINGS LIMITED",05/12/2014,NULL
"AMR MOHAMED SOBHY HAMZA ELSHABRAWISHI","judicial representatives","AMJS HOLDINGS LIMITED",05/12/2014,NULL
"AMR MOHAMED SOBHY HAMZA ELSHABRAWISHI",secretaries,"AMJS HOLDINGS LIMITED",05/12/2014,NULL
"MOHAMED AHMED SHAFIEK MOHAMED AHMED",directors,"Al Faisal International for Investment Malta Limited",12/02/2016,NULL
"MOHAMED AHMED SHAFIEK MOHAMED AHMED","legal representatives","Al Faisal International for Investment Malta Limited",12/02/2016,NULL
"MOHAMED AHMED SHAFIEK MOHAMED AHMED","judicial representatives","Al Faisal International for Investment Malta Limited",12/02/2016,NULL
"AHMED IBRAHIM HASSAN AHMED ARAFA",directors,"ADJ TRADING LIMITED",04/05/2007,NULL
"AHMED IBRAHIM HASSAN AHMED ARAFA",shareholders,"ADJ TRADING LIMITED",04/05/2007,NULL
"AHMAD ABDALRAHMAN EMAM FARHAN",directors,"A.B.G. TRADING & CHARTERING LTD",27/02/2013,NULL
"AHMAD ABDALRAHMAN EMAM FARHAN",shareholders,"A.B.G. TRADING & CHARTERING LTD",27/02/2013,NULL
"AHMAD ABDALRAHMAN EMAM FARHAN","legal representatives","A.B.G. TRADING & CHARTERING LTD",27/02/2013,NULL
"AHMAD ABDALRAHMAN EMAM FARHAN","judicial representatives","A.B.G. TRADING & CHARTERING LTD",27/02/2013,NULL
"AHMAD ABDALRAHMAN EMAM FARHAN",secretaries,"A.B.G. TRADING & CHARTERING LTD",27/02/2013,NULL
"EL SHERIF SHERIF SAID MOHAMED OSMAN",directors,"A. BARAN LIMITED",21/08/2006,NULL
"EL SHERIF SHERIF SAID MOHAMED OSMAN",shareholders,"A. BARAN LIMITED",21/08/2006,NULL
"EL SHERIF SHERIF SAID MOHAMED OSMAN","legal representatives","A. BARAN LIMITED",21/08/2006,NULL
"EL SHERIF SHERIF SAID MOHAMED OSMAN","judicial representatives","A. BARAN LIMITED",21/08/2006,NULL
"HAMDI FATHALLA MOHAMMED EL-ABBASI",directors,"BSH PLASTERING LIMITED",25/08/2009,NULL
"HAMDI FATHALLA MOHAMMED EL-ABBASI",shareholders,"BSH PLASTERING LIMITED",25/08/2009,NULL
"HAMDI FATHALLA MOHAMMED EL-ABBASI","legal representatives","BSH PLASTERING LIMITED",25/08/2009,NULL
"HAMDI FATHALLA MOHAMMED EL-ABBASI","judicial representatives","BSH PLASTERING LIMITED",25/08/2009,NULL
"HAMDI FATHALLA MOHAMMED EL-ABBASI",secretaries,"BSH PLASTERING LIMITED",25/08/2009,NULL
"ESSAM RASHED BASSIOUNY ELTARAMSY",shareholders,"BETINMALTA LIMITED",12/07/2013,NULL
"HOSNA MOBARAK HAMID SOBIH",directors,"BARE FOOT CRUISES LIMITED",14/10/2005,NULL
"MOBARAK HEMID SOBEIH",directors,"BARE FOOT CRUISES LIMITED",14/10/2005,NULL
"HOSNA MOBARAK HAMID SOBIH",shareholders,"BARE FOOT CRUISES LIMITED",14/10/2005,NULL
"MOBARAK HEMID SOBEIH",shareholders,"BARE FOOT CRUISES LIMITED",14/10/2005,NULL
"HOSNA MOBARAK HAMID SOBIH","legal representatives","BARE FOOT CRUISES LIMITED",14/10/2005,NULL
"MOBARAK HEMID SOBEIH","legal representatives","BARE FOOT CRUISES LIMITED",14/10/2005,NULL
"HOSNA MOBARAK HAMID SOBIH","judicial representatives","BARE FOOT CRUISES LIMITED",14/10/2005,NULL
"MOBARAK HEMID SOBEIH","judicial representatives","BARE FOOT CRUISES LIMITED",14/10/2005,NULL
"AZIZ SABRY AZIZ ATTIA",directors,"Barca Limited",29/02/2008,NULL
"EMILE ZAKHARIE BOCHRA",directors,"Barca Limited",29/02/2008,NULL
"FADY SAEED TADROS KHALIL",directors,"Barca Limited",29/02/2008,NULL
"AZIZ SABRY AZIZ ATTIA",shareholders,"Barca Limited",29/02/2008,NULL
"EMILE ZAKHARIE BOCHRA",shareholders,"Barca Limited",29/02/2008,NULL
"FADY SAEED TADROS KHALIL",shareholders,"Barca Limited",29/02/2008,NULL
"AZIZ SABRY AZIZ ATTIA","legal representatives","Barca Limited",29/02/2008,NULL
"EMILE ZAKHARIE BOCHRA","legal representatives","Barca Limited",29/02/2008,NULL
"FADY SAEED TADROS KHALIL","legal representatives","Barca Limited",29/02/2008,NULL
"AZIZ SABRY AZIZ ATTIA","judicial representatives","Barca Limited",29/02/2008,NULL
"EMILE ZAKHARIE BOCHRA","judicial representatives","Barca Limited",29/02/2008,NULL
"FADY SAEED TADROS KHALIL","judicial representatives","Barca Limited",29/02/2008,NULL
"EMILE ZAKHARIE BOCHRA",secretaries,"Barca Limited",29/02/2008,NULL
"BELAL SAID MOHAMED OSMAN EL SHERIF",shareholders,"BAR CELONA BEACH CO. LTD.",25/04/2011,NULL
"EL SHERIF SHERIF SAID MOHAMED OSMAN",shareholders,"BAR CELONA BEACH CO. LTD.",25/04/2011,NULL
