name,type,company_name,registration_date,status
"VAGIF GERMAN",shareholders,"Azur Estate Ltd",03/10/2014,NULL
"ARTUR SVARTS",shareholders,"Azur Estate Ltd",03/10/2014,NULL
"JURI GAIDAJENKO",directors,"ARCTIC REEFERS CO. LTD",01/03/2006,NULL
"JURI GAIDAJENKO",shareholders,"ARCTIC REEFERS CO. LTD",01/03/2006,NULL
"JURI GAIDAJENKO","legal representatives","ARCTIC REEFERS CO. LTD",01/03/2006,NULL
"JURI GAIDAJENKO","judicial representatives","ARCTIC REEFERS CO. LTD",01/03/2006,NULL
"ANTON KALMOKOV",directors,"AQUATICO HOLDING LIMITED",15/06/2009,NULL
"ANTON KALMOKOV","legal representatives","AQUATICO HOLDING LIMITED",15/06/2009,NULL
"ANTON KALMOKOV","judicial representatives","AQUATICO HOLDING LIMITED",15/06/2009,NULL
"MARGUS PIILMANN",directors,"Agevolare Limited",19/12/2012,NULL
"MARGUS PIILMANN","legal representatives","Agevolare Limited",19/12/2012,NULL
"MARGUS PIILMANN","judicial representatives","Agevolare Limited",19/12/2012,NULL
"ANDRUS PETERSON",directors,"AEOLUS INVESTMENTS LTD",24/09/2010,NULL
"ANDRUS PETERSON",shareholders,"AEOLUS INVESTMENTS LTD",24/09/2010,NULL
"ANDRUS PETERSON","legal representatives","AEOLUS INVESTMENTS LTD",24/09/2010,NULL
"ANDRUS PETERSON","judicial representatives","AEOLUS INVESTMENTS LTD",24/09/2010,NULL
"RISTO SIKK",secretaries,"AEOLUS INVESTMENTS LTD",24/09/2010,NULL
"ANTON KALMOKOV",directors,"ADONA HOLDINGS LIMITED",11/03/2010,NULL
"ANTON KALMOKOV","legal representatives","ADONA HOLDINGS LIMITED",11/03/2010,NULL
"ANTON KALMOKOV","judicial representatives","ADONA HOLDINGS LIMITED",11/03/2010,NULL
"Juri Jarvsalu",shareholders,"Admiral Club Ltd.",17/01/2011,NULL
"DMITRI KARGIN",directors,"Adhit limited",18/07/2016,NULL
"SERGEI BUZAK",shareholders,"Adhit limited",18/07/2016,NULL
"DMITRI KARGIN",shareholders,"Adhit limited",18/07/2016,NULL
