name,type,company_name,registration_date,status
"ALEXANDROS TSINGOS",directors,"3D PIONEER SYSTEMS MALTA I LTD",21/03/2014,NULL
"ALEXANDROS TSINGOS","legal representatives","3D PIONEER SYSTEMS MALTA I LTD",21/03/2014,NULL
"ALEXANDROS TSINGOS","judicial representatives","3D PIONEER SYSTEMS MALTA I LTD",21/03/2014,NULL
"ALEXANDROS TSINGOS",secretaries,"3D PIONEER SYSTEMS MALTA I LTD",21/03/2014,NULL
"ALEXANDROS TSINGOS",directors,"3D PIONEER SYSTEMS MALTA (HOLDING) LTD",21/03/2014,NULL
"ALEXANDROS TSINGOS","legal representatives","3D PIONEER SYSTEMS MALTA (HOLDING) LTD",21/03/2014,NULL
"ALEXANDROS TSINGOS","judicial representatives","3D PIONEER SYSTEMS MALTA (HOLDING) LTD",21/03/2014,NULL
"ALEXANDROS TSINGOS",secretaries,"3D PIONEER SYSTEMS MALTA (HOLDING) LTD",21/03/2014,NULL
"PANAGIOTA DIDITSI",directors,"7Epta7 Limited",16/07/2013,NULL
"ANTONIOS STAMPOLIDIS",directors,"7Epta7 Limited",16/07/2013,NULL
"PANAGIOTA DIDITSI","legal representatives","7Epta7 Limited",16/07/2013,NULL
"ANTONIOS STAMPOLIDIS","legal representatives","7Epta7 Limited",16/07/2013,NULL
"PANAGIOTA DIDITSI","judicial representatives","7Epta7 Limited",16/07/2013,NULL
"ANTONIOS STAMPOLIDIS","judicial representatives","7Epta7 Limited",16/07/2013,NULL
"DIMITRIOS KATSOULIERIS",secretaries,"7Epta7 Limited",16/07/2013,NULL
"ANASTASIOS OIKONOMIDIS",directors,"90MIN HOLDINGS LIMITED",26/02/2015,NULL
"ANASTASIOS OIKONOMIDIS",shareholders,"90MIN HOLDINGS LIMITED",26/02/2015,NULL
"ANASTASIOS OIKONOMIDIS","legal representatives","90MIN HOLDINGS LIMITED",26/02/2015,NULL
"ANASTASIOS OIKONOMIDIS","judicial representatives","90MIN HOLDINGS LIMITED",26/02/2015,NULL
"ANASTASIOS OIKONOMIDIS",secretaries,"90MIN HOLDINGS LIMITED",26/02/2015,NULL
"STRAVROS THANOS",directors,"AZUL SHIPPING COMPANY LIMITED",03/09/1999,NULL
"HARA A XYLAS",directors,"AZUL SHIPPING COMPANY LIMITED",03/09/1999,NULL
"JOHN A XYLAS",directors,"AZUL SHIPPING COMPANY LIMITED",03/09/1999,NULL
"APOSTOLOS ZAFEIROPOULOS",directors,"AZMENT TRADING LTD",08/05/2015,NULL
"APOSTOLOS ZAFEIROPOULOS","legal representatives","AZMENT TRADING LTD",08/05/2015,NULL
"APOSTOLOS ZAFEIROPOULOS","judicial representatives","AZMENT TRADING LTD",08/05/2015,NULL
"CHRISTOS KEHAYAS",directors,"AVOCA MARITIME CORP. LIMITED",04/09/2014,NULL
"CHRISTOS KEHAYAS","legal representatives","AVOCA MARITIME CORP. LIMITED",04/09/2014,NULL
"CHRISTOS KEHAYAS","judicial representatives","AVOCA MARITIME CORP. LIMITED",04/09/2014,NULL
"ARISTOTELIS PANTAZOPOULOS",directors,"AVIET LTD",06/06/2016,NULL
"EVANGELOS KOPANAKIS",shareholders,"AVIET LTD",06/06/2016,NULL
"GEORGIOS PANAGIOTIDIS",shareholders,"AVIET LTD",06/06/2016,NULL
"ARISTOTELIS PANTAZOPOULOS",shareholders,"AVIET LTD",06/06/2016,NULL
"ARISTOTELIS PANTAZOPOULOS","legal representatives","AVIET LTD",06/06/2016,NULL
"ARISTOTELIS PANTAZOPOULOS","judicial representatives","AVIET LTD",06/06/2016,NULL
"EVANGELOS KOPANAKIS",secretaries,"AVIET LTD",06/06/2016,NULL
"GEORGIOS MERTINOS",directors,"AVIATION TRADE CORPORATION LTD",26/08/2016,NULL
"GEORGIOS MERTINOS",shareholders,"AVIATION TRADE CORPORATION LTD",26/08/2016,NULL
"GEORGIOS MERTINOS","legal representatives","AVIATION TRADE CORPORATION LTD",26/08/2016,NULL
"GEORGIOS MERTINOS","judicial representatives","AVIATION TRADE CORPORATION LTD",26/08/2016,NULL
"MARIA KATRANTZOU",shareholders,"AVENTURA MANAGEMENT LIMITED",28/12/2005,NULL
"JOHN GRINIATSOS",directors,"AVEGA SHIPPING CO LTD",11/02/1993,NULL
"ANNA AGOUDIMOS",directors,"AVALON SHIPPING LTD",21/12/1987,NULL
"THEODORAKIS DIMITRIOS",shareholders,"AUTUMNGAS ENTERPRISES LIMITED",30/01/2008,"In Dissolution"
"GEORGHIOS KASPARIS",shareholders,"AUTUMNGAS ENTERPRISES LIMITED",30/01/2008,"In Dissolution"
"SYMENAKI ANNITA HADJIPASCHALI",directors,"AUTUMN SHIPPING COMPANY LIMITED",13/06/1996,NULL
"NIKOLAOS PARASCHIS","judicial representatives","AUTUMN NAVIGATION LIMITED",25/06/1998,NULL
"RAPHAEL MAIOPOULOS",directors,"AUTOMETIS LTD",20/12/2012,NULL
"VASILEIOS SYMEONIDIS",directors,"AUTOMETIS LTD",20/12/2012,NULL
"RAPHAEL MAIOPOULOS",shareholders,"AUTOMETIS LTD",20/12/2012,NULL
"VASILEIOS SYMEONIDIS",shareholders,"AUTOMETIS LTD",20/12/2012,NULL
"RAPHAEL MAIOPOULOS","legal representatives","AUTOMETIS LTD",20/12/2012,NULL
"VASILEIOS SYMEONIDIS","legal representatives","AUTOMETIS LTD",20/12/2012,NULL
"RAPHAEL MAIOPOULOS","judicial representatives","AUTOMETIS LTD",20/12/2012,NULL
"VASILEIOS SYMEONIDIS","judicial representatives","AUTOMETIS LTD",20/12/2012,NULL
"RAPHAEL MAIOPOULOS",secretaries,"AUTOMETIS LTD",20/12/2012,NULL
"IOSIFINA FOSKOLOS",directors,"AURORA MARITIME COMPANY LIMITED",07/10/1986,NULL
"HELEN MAVRIDOU",directors,"AURORA MARITIME COMPANY LIMITED",07/10/1986,NULL
"GEORGOEVANGELOS TZANETATOS",directors,"AULONA MARITIME LTD",30/04/1996,NULL
"STRAVROS THANOS",directors,"AUDACIOUS SHIPPING COMPANY LIMITED",18/01/2000,NULL
"HARA A XYLAS",directors,"AUDACIOUS SHIPPING COMPANY LIMITED",18/01/2000,NULL
"JOHN A XYLAS",directors,"AUDACIOUS SHIPPING COMPANY LIMITED",18/01/2000,NULL
"IOANNIS DRAKOPOULOS",directors,"ATTIV LIMITED",04/07/2005,"In Dissolution"
"ANARGIROS PAPAGEORGIOU",directors,"ATTIV LIMITED",04/07/2005,"In Dissolution"
"DIMITRIOS DRAKOPOULOS",shareholders,"ATTIV LIMITED",04/07/2005,"In Dissolution"
"IOANNIS DRAKOPOULOS",shareholders,"ATTIV LIMITED",04/07/2005,"In Dissolution"
"ANARGIROS PAPAGEORGIOU",shareholders,"ATTIV LIMITED",04/07/2005,"In Dissolution"
"KONSTANTINOS THEOTOKAS",shareholders,"ATTIV LIMITED",04/07/2005,"In Dissolution"
"PANAGIOTIS DIKAIOS",directors,"ATTICA SHIELD LTD.",11/09/2007,NULL
"THOMAS OIKONOMOU",directors,"ATTICA SHIELD LTD.",11/09/2007,NULL
"SPYRIDON PASCHALIS",directors,"ATTICA SHIELD LTD.",11/09/2007,NULL
"NIKOLAOS TAPIRIS",directors,"ATTICA SHIELD LTD.",11/09/2007,NULL
"PANAGIOTIS DIKAIOS","legal representatives","ATTICA SHIELD LTD.",11/09/2007,NULL
"THOMAS OIKONOMOU","legal representatives","ATTICA SHIELD LTD.",11/09/2007,NULL
"SPYRIDON PASCHALIS","legal representatives","ATTICA SHIELD LTD.",11/09/2007,NULL
"NIKOLAOS TAPIRIS","legal representatives","ATTICA SHIELD LTD.",11/09/2007,NULL
"PANAGIOTIS DIKAIOS","judicial representatives","ATTICA SHIELD LTD.",11/09/2007,NULL
"THOMAS OIKONOMOU","judicial representatives","ATTICA SHIELD LTD.",11/09/2007,NULL
"SPYRIDON PASCHALIS","judicial representatives","ATTICA SHIELD LTD.",11/09/2007,NULL
"NIKOLAOS TAPIRIS","judicial representatives","ATTICA SHIELD LTD.",11/09/2007,NULL
"PANAGIOTIS DIKAIOS",directors,"ATTICA CHALLENGE LTD",11/09/2007,NULL
"THOMAS OIKONOMOU",directors,"ATTICA CHALLENGE LTD",11/09/2007,NULL
"SPYRIDON PASCHALIS",directors,"ATTICA CHALLENGE LTD",11/09/2007,NULL
"NIKOLAOS TAPIRIS",directors,"ATTICA CHALLENGE LTD",11/09/2007,NULL
"PANAGIOTIS DIKAIOS","legal representatives","ATTICA CHALLENGE LTD",11/09/2007,NULL
"THOMAS OIKONOMOU","legal representatives","ATTICA CHALLENGE LTD",11/09/2007,NULL
"SPYRIDON PASCHALIS","legal representatives","ATTICA CHALLENGE LTD",11/09/2007,NULL
"NIKOLAOS TAPIRIS","legal representatives","ATTICA CHALLENGE LTD",11/09/2007,NULL
"PANAGIOTIS DIKAIOS","judicial representatives","ATTICA CHALLENGE LTD",11/09/2007,NULL
"THOMAS OIKONOMOU","judicial representatives","ATTICA CHALLENGE LTD",11/09/2007,NULL
"SPYRIDON PASCHALIS","judicial representatives","ATTICA CHALLENGE LTD",11/09/2007,NULL
"NIKOLAOS TAPIRIS","judicial representatives","ATTICA CHALLENGE LTD",11/09/2007,NULL
"GEORGIOS DRACOPOULOS",directors,"ATRAPOS SHIPPING LTD",28/06/1994,NULL
"SERGEY SKLOVSKIY",shareholders,"ATOL MARITIME COMPANY LIMITED",05/06/2000,NULL
"GEORGIOS XINTARAKOS",directors,"ATLAS WIND SHIPPING LIMITED",07/10/2010,NULL
"GEORGIOS XINTARAKOS","legal representatives","ATLAS WIND SHIPPING LIMITED",07/10/2010,NULL
"GEORGIOS XINTARAKOS","judicial representatives","ATLAS WIND SHIPPING LIMITED",07/10/2010,NULL
"IRAKLIS LAGOUMTZIZ",directors,"ATLAS SHIPPING CO. LTD",12/01/1998,NULL
"DIMITRIOS SOURAVLAS",directors,"ATLAS SEA SHIPPING COMPANY LIMITED",21/06/2000,NULL
"ALEXANDROS AGOUDIMOS",shareholders,"ATLANTIC SHIPPING LIMITED",28/01/1988,NULL
"ALEXANDROS AGOUDIMOS",directors,"ATLANTIC SHIPPING LIMITED",28/01/1988,NULL
"DEMETRIOS AGOUDIMOS",directors,"ATLANTIC SHIPPING LIMITED",28/01/1988,NULL
"ANNA AGOUDIMOS",shareholders,"ATLANTIC SHIPPING LIMITED",28/01/1988,NULL
"DEMETRIOS AGOUDIMOS",shareholders,"ATLANTIC SHIPPING LIMITED",28/01/1988,NULL
"ISAAK MOUSOGLOU",directors,"ATLANTIC REEF MARITIME LIMITED",08/03/1999,NULL
"ISAAK MOUSOGLOU","legal representatives","ATLANTIC REEF MARITIME LIMITED",08/03/1999,NULL
"ISAAK MOUSOGLOU","judicial representatives","ATLANTIC REEF MARITIME LIMITED",08/03/1999,NULL
"NIKOLAOS ATHANASIOU",directors,"Atlantic Anthem Ltd",22/07/2005,NULL
"ANASTASIA KOUKIOU",directors,"Atlantic Anthem Ltd",22/07/2005,NULL
"IOANNIS SYRIGOS",directors,"Atlantic Anthem Ltd",22/07/2005,NULL
"ANDREAS PETRAKIS",shareholders,"Atlantic Anthem Ltd",22/07/2005,NULL
"THEMISTOKLIS PETRAKIS",shareholders,"Atlantic Anthem Ltd",22/07/2005,NULL
"NIKOLAOS ATHANASIOU","legal representatives","Atlantic Anthem Ltd",22/07/2005,NULL
"ANASTASIA KOUKIOU","legal representatives","Atlantic Anthem Ltd",22/07/2005,NULL
"IOANNIS SYRIGOS","legal representatives","Atlantic Anthem Ltd",22/07/2005,NULL
"NIKOLAOS ATHANASIOU","judicial representatives","Atlantic Anthem Ltd",22/07/2005,NULL
"ANASTASIA KOUKIOU","judicial representatives","Atlantic Anthem Ltd",22/07/2005,NULL
"IOANNIS SYRIGOS","judicial representatives","Atlantic Anthem Ltd",22/07/2005,NULL
"VASILEIOS PAPAKALODOUKAS",directors,"ATINA MARITIME LIMITED",11/12/2013,NULL
"VASILEIOS PAPAKALODOUKAS","legal representatives","ATINA MARITIME LIMITED",11/12/2013,NULL
"VASILEIOS PAPAKALODOUKAS","judicial representatives","ATINA MARITIME LIMITED",11/12/2013,NULL
"VASILEIOS PAPAKALODOUKAS",directors,"Atilla Maritime Ltd",11/01/2011,NULL
"VASILEIOS PAPAKALODOUKAS","legal representatives","Atilla Maritime Ltd",11/01/2011,NULL
"VASILEIOS PAPAKALODOUKAS","judicial representatives","Atilla Maritime Ltd",11/01/2011,NULL
"KONSTANTINOS N. ECONOMOU",directors,"ATIA SHIPPING LIMITED",08/10/2014,NULL
"MARIOS M. OIKONOMOU",directors,"ATIA SHIPPING LIMITED",08/10/2014,NULL
"KONSTANTINOS N. ECONOMOU",shareholders,"ATIA SHIPPING LIMITED",08/10/2014,NULL
"MARIOS N. OIKONOMOU",shareholders,"ATIA SHIPPING LIMITED",08/10/2014,NULL
"KONSTANTINOS N. ECONOMOU","legal representatives","ATIA SHIPPING LIMITED",08/10/2014,NULL
"MARIOS M. OIKONOMOU","legal representatives","ATIA SHIPPING LIMITED",08/10/2014,NULL
"KONSTANTINOS N. ECONOMOU","judicial representatives","ATIA SHIPPING LIMITED",08/10/2014,NULL
"MARIOS M. OIKONOMOU","judicial representatives","ATIA SHIPPING LIMITED",08/10/2014,NULL
"PANAGIOTIS KENGITSIS",directors,"ATHLOS MARITIME COMPANY LIMITED",10/07/2015,NULL
"IOANNIS PETRAKIS",directors,"ATHLOS MARITIME COMPANY LIMITED",10/07/2015,NULL
"DIMITRIOS PLOUSIOS",directors,"ATHLOS MARITIME COMPANY LIMITED",10/07/2015,NULL
