name,type,company_name,registration_date,status
"OUSMANE FRANK SYLLA",shareholders,"EVOLUTION SOCCER LTD",17/10/2012,NULL
"OUSMANE FRANK SYLLA",secretaries,"EVOLUTION SOCCER LTD",17/10/2012,NULL
"CECILIA OBONO NDONG",directors,"GE Holding Ltd",05/01/2010,NULL
"NICOLAS ROLO LOSOKOLO",directors,"GE Holding Ltd",05/01/2010,NULL
"FRANCISCO JAVIER TOLCHOA NDUO",directors,"GE Holding Ltd",05/01/2010,NULL
"CECILIA OBONO NDONG",shareholders,"GE Holding Ltd",05/01/2010,NULL
"NICOLAS ROLO LOSOKOLO",shareholders,"GE Holding Ltd",05/01/2010,NULL
"FRANCISCO JAVIER TOLCHOA NDUO",shareholders,"GE Holding Ltd",05/01/2010,NULL
"NORBERT NANDOR ABONYI",directors,"MALTA SERVICE HOLDING LIMITED",22/04/2015,NULL
"NORBERT NANDOR ABONYI","legal representatives","MALTA SERVICE HOLDING LIMITED",22/04/2015,NULL
"NORBERT NANDOR ABONYI","judicial representatives","MALTA SERVICE HOLDING LIMITED",22/04/2015,NULL
"NORBERT NANDOR ABONYI",secretaries,"MALTA SERVICE HOLDING LIMITED",22/04/2015,NULL
