name,type,company_name,registration_date,status
"GAMAL HENDRAWAN WANENGPATI",directors,"ARIES INVESTMENTS LIMITED",14/06/2006,NULL
"GAMAL HENDRAWAN WANENGPATI","legal representatives","ARIES INVESTMENTS LIMITED",14/06/2006,NULL
"GAMAL HENDRAWAN WANENGPATI","judicial representatives","ARIES INVESTMENTS LIMITED",14/06/2006,NULL
"HARTO KHUSUMO",directors,"ANEMI MARITIME CO. LTD.",19/09/2003,NULL
"SUTIKNO KHUSUMO",directors,"ANEMI MARITIME CO. LTD.",19/09/2003,NULL
"HARTO KHUSUMO","legal representatives","ANEMI MARITIME CO. LTD.",19/09/2003,NULL
"SUTIKNO KHUSUMO","legal representatives","ANEMI MARITIME CO. LTD.",19/09/2003,NULL
"HARTO KHUSUMO","judicial representatives","ANEMI MARITIME CO. LTD.",19/09/2003,NULL
"SUTIKNO KHUSUMO","judicial representatives","ANEMI MARITIME CO. LTD.",19/09/2003,NULL
"KUAN CHEE BEVAN LIN",directors,"GROW WEALTH SICAV PLC",22/12/2011,NULL
"KUAN SENG DOUGLAS LIN",directors,"GROW WEALTH SICAV PLC",22/12/2011,NULL
"KUAN YANG ARTHUR LIN",directors,"GROW WEALTH SICAV PLC",22/12/2011,NULL
"KUAN CHEE BEVAN LIN",shareholders,"GROW WEALTH SICAV PLC",22/12/2011,NULL
"KUAN SENG DOUGLAS LIN",shareholders,"GROW WEALTH SICAV PLC",22/12/2011,NULL
"KUAN YANG ARTHUR LIN",shareholders,"GROW WEALTH SICAV PLC",22/12/2011,NULL
"KUAN CHEE BEVAN LIN","legal representatives","GROW WEALTH SICAV PLC",22/12/2011,NULL
"KUAN SENG DOUGLAS LIN","legal representatives","GROW WEALTH SICAV PLC",22/12/2011,NULL
"KUAN YANG ARTHUR LIN","legal representatives","GROW WEALTH SICAV PLC",22/12/2011,NULL
"KUAN CHEE BEVAN LIN","judicial representatives","GROW WEALTH SICAV PLC",22/12/2011,NULL
"KUAN SENG DOUGLAS LIN","judicial representatives","GROW WEALTH SICAV PLC",22/12/2011,NULL
"KUAN YANG ARTHUR LIN","judicial representatives","GROW WEALTH SICAV PLC",22/12/2011,NULL
"Listya Utami Kusuniadewi",shareholders,"GM GROUP P.L.C.",20/02/2015,NULL
"Roy Michael Pasaribu",shareholders,"GM GROUP P.L.C.",20/02/2015,NULL
"Rocky Sangadji",shareholders,"GM GROUP P.L.C.",20/02/2015,NULL
"Mohamad Yasin",shareholders,"GM GROUP P.L.C.",20/02/2015,NULL
"INGRID ADE SUNDARI PRASATYA",directors,"PATIN HOLDINGS LIMITED",11/01/2013,NULL
"INGRID ADE SUNDARI PRASATYA","legal representatives","PATIN HOLDINGS LIMITED",11/01/2013,NULL
"INGRID ADE SUNDARI PRASATYA","judicial representatives","PATIN HOLDINGS LIMITED",11/01/2013,NULL
"MARIA FELISIA",secretaries,"SIPORA LIMITED",12/11/2015,NULL
