name,type,company_name,registration_date,status
"MICHELLE ROSEMARY O'BRIEN KENNEDY",secretaries,"2MALTA RU LIMITED",09/06/2014,NULL
"KIERAN DONNELLY",directors,"4FINANCE MALTA",23/01/2013,NULL
"KIERAN DONNELLY","legal representatives","4FINANCE MALTA",23/01/2013,NULL
"KIERAN DONNELLY","judicial representatives","4FINANCE MALTA",23/01/2013,NULL
"BENJAMIN DAVID HIBBERT",directors,"AXM GROUP INTERNATIONAL LIMITED",19/10/2015,NULL
"BENJAMIN DAVID HIBBERT","legal representatives","AXM GROUP INTERNATIONAL LIMITED",19/10/2015,NULL
"BENJAMIN DAVID HIBBERT","judicial representatives","AXM GROUP INTERNATIONAL LIMITED",19/10/2015,NULL
"BENJAMIN DAVID HIBBERT",secretaries,"AXM GROUP INTERNATIONAL LIMITED",19/10/2015,NULL
"MICHAEL EDWARD FORDE",directors,"AVION LTD",17/12/2015,NULL
"MICHAEL EDWARD FORDE","legal representatives","AVION LTD",17/12/2015,NULL
"MICHAEL EDWARD FORDE","judicial representatives","AVION LTD",17/12/2015,NULL
"DIMITRI BOYLAN",directors,"AVATURE LTD.",10/01/2012,NULL
"DIMITRI BOYLAN",shareholders,"AVATURE LTD.",10/01/2012,NULL
"DIMITRI BOYLAN","legal representatives","AVATURE LTD.",10/01/2012,NULL
"DIMITRI BOYLAN","judicial representatives","AVATURE LTD.",10/01/2012,NULL
"DIMITRI BOYLAN",secretaries,"AVATURE LTD.",10/01/2012,NULL
"DESMOND ANDREW MC GOWAN",directors,"AUMM INVESTMENT MANAGEMENT LIMITED",25/06/2015,NULL
"DESMOND ANDREW MC GOWAN",shareholders,"AUMM INVESTMENT MANAGEMENT LIMITED",25/06/2015,NULL
"DESMOND ANDREW MC GOWAN","legal representatives","AUMM INVESTMENT MANAGEMENT LIMITED",25/06/2015,NULL
"DESMOND ANDREW MC GOWAN","judicial representatives","AUMM INVESTMENT MANAGEMENT LIMITED",25/06/2015,NULL
"DESMOND ANDREW MC GOWAN",secretaries,"AUMM INVESTMENT MANAGEMENT LIMITED",25/06/2015,NULL
"DESMOND ANDREW MC GOWAN",shareholders,"AUMM HOLDINGS LIMITED",22/03/2011,NULL
