name,type,company_name,registration_date,status
"GIAN LUCA PETTIROSSI",directors,"@TEAM INVESTMENT LIMITED",27/06/2014,NULL
"GIAN LUCA PETTIROSSI",shareholders,"@TEAM INVESTMENT LIMITED",27/06/2014,NULL
"GIAN LUCA PETTIROSSI","legal representatives","@TEAM INVESTMENT LIMITED",27/06/2014,NULL
"GIAN LUCA PETTIROSSI","judicial representatives","@TEAM INVESTMENT LIMITED",27/06/2014,NULL
"ANDREA ROCCHETTI",directors,"08 GROUP LIMITED",13/09/2016,NULL
"GIUSEPPE SIESTO",directors,"08 GROUP LIMITED",13/09/2016,NULL
"ANDREA ROCCHETTI",shareholders,"08 GROUP LIMITED",13/09/2016,NULL
"GIUSEPPE SIESTO",shareholders,"08 GROUP LIMITED",13/09/2016,NULL
"ANDREA ROCCHETTI","legal representatives","08 GROUP LIMITED",13/09/2016,NULL
"GIUSEPPE SIESTO","legal representatives","08 GROUP LIMITED",13/09/2016,NULL
"ANDREA ROCCHETTI","judicial representatives","08 GROUP LIMITED",13/09/2016,NULL
"GIUSEPPE SIESTO","judicial representatives","08 GROUP LIMITED",13/09/2016,NULL
"GIUSEPPE SIESTO",secretaries,"08 GROUP LIMITED",13/09/2016,NULL
"CARLO SADA",shareholders,"1 SHIPPING AND CRUISES LTD",11/07/2013,NULL
"PIETRO SADA",shareholders,"1 SHIPPING AND CRUISES LTD",11/07/2013,NULL
"MICHELE GUARINO",directors,"1 MEDIA PROCESSING LIMITED",05/11/2014,NULL
"MICHELE GUARINO",shareholders,"1 MEDIA PROCESSING LIMITED",05/11/2014,NULL
"MICHELE GUARINO","legal representatives","1 MEDIA PROCESSING LIMITED",05/11/2014,NULL
"MICHELE GUARINO","judicial representatives","1 MEDIA PROCESSING LIMITED",05/11/2014,NULL
"GAETANO GIUSEPPE GATTO",directors,"2G INTERNATIONAL LTD",07/01/2014,"In Dissolution"
"GIOVANNI MADDIONA",directors,"2G INTERNATIONAL LTD",07/01/2014,"In Dissolution"
"GAETANO GIUSEPPE GATTO",shareholders,"2G INTERNATIONAL LTD",07/01/2014,"In Dissolution"
"GIOVANNI MADDIONA",shareholders,"2G INTERNATIONAL LTD",07/01/2014,"In Dissolution"
"GAETANO GIUSEPPE GATTO","legal representatives","2G INTERNATIONAL LTD",07/01/2014,"In Dissolution"
"GIOVANNI MADDIONA","legal representatives","2G INTERNATIONAL LTD",07/01/2014,"In Dissolution"
"GAETANO GIUSEPPE GATTO","judicial representatives","2G INTERNATIONAL LTD",07/01/2014,"In Dissolution"
"GIOVANNI MADDIONA","judicial representatives","2G INTERNATIONAL LTD",07/01/2014,"In Dissolution"
"GAETANO GIUSEPPE GATTO",secretaries,"2G INTERNATIONAL LTD",07/01/2014,"In Dissolution"
"GIULIO ALBERICO",directors,"2F POWERTECH LTD",08/01/2013,NULL
"GIULIO ALBERICO",shareholders,"2F POWERTECH LTD",08/01/2013,NULL
"GIULIO ALBERICO","legal representatives","2F POWERTECH LTD",08/01/2013,NULL
"GIULIO ALBERICO","judicial representatives","2F POWERTECH LTD",08/01/2013,NULL
"FRANCESCO PIAZZA",directors,"27 Limited",19/02/2015,NULL
"FRANCESCO PIAZZA","legal representatives","27 Limited",19/02/2015,NULL
"FRANCESCO PIAZZA","judicial representatives","27 Limited",19/02/2015,NULL
"MARCO GORI",directors,"268 TRADING LTD",19/07/2016,NULL
"CARLO ACCARDO",shareholders,"268 TRADING LTD",19/07/2016,NULL
"MARCO GORI","legal representatives","268 TRADING LTD",19/07/2016,NULL
"MARCO GORI","judicial representatives","268 TRADING LTD",19/07/2016,NULL
"PATRIZIA INDENNITATE",shareholders,"24 HOLD LIMITED",08/10/2009,NULL
"LUIGI LUCENTINI",shareholders,"24 HOLD LIMITED",08/10/2009,NULL
"Andrea Savoretti",directors,"21st CENTURY INVESTMENTS SICAV PLC",11/09/2007,NULL
"Andrea Savoretti","legal representatives","21st CENTURY INVESTMENTS SICAV PLC",11/09/2007,NULL
"Andrea Savoretti","judicial representatives","21st CENTURY INVESTMENTS SICAV PLC",11/09/2007,NULL
"SALVINO SEGRETO",shareholders,"217 LTD",28/12/2011,NULL
"MICHELE BENEDUCE",directors,"2.1 ALTERNATIVE INVESTMENTS SICAV PLC",19/04/2013,NULL
"ROSARIO FIORENTINO",directors,"2.1 ALTERNATIVE INVESTMENTS SICAV PLC",19/04/2013,NULL
"ROBERTO PAVESI",directors,"2.1 ALTERNATIVE INVESTMENTS SICAV PLC",19/04/2013,NULL
"MICHELE BENEDUCE",shareholders,"2.1 ALTERNATIVE INVESTMENTS SICAV PLC",19/04/2013,NULL
