name,type,company_name,registration_date,status
"JIRO KANEKO",directors,"AMMON SHIPPING LIMITED",12/12/2000,NULL
"MASATO KOIKE",directors,"AMMON SHIPPING LIMITED",12/12/2000,NULL
"MITSUOKI MORIYA",directors,"AMMON SHIPPING LIMITED",12/12/2000,NULL
"JIRO KANEKO","legal representatives","AMMON SHIPPING LIMITED",12/12/2000,NULL
"MASATO KOIKE","legal representatives","AMMON SHIPPING LIMITED",12/12/2000,NULL
"MITSUOKI MORIYA","legal representatives","AMMON SHIPPING LIMITED",12/12/2000,NULL
"JIRO KANEKO","judicial representatives","AMMON SHIPPING LIMITED",12/12/2000,NULL
"MASATO KOIKE","judicial representatives","AMMON SHIPPING LIMITED",12/12/2000,NULL
"MITSUOKI MORIYA","judicial representatives","AMMON SHIPPING LIMITED",12/12/2000,NULL
"SEIJI MASUDA",directors,"ADSUM LTD.",15/11/2013,NULL
"SEIJI MASUDA",shareholders,"ADSUM LTD.",15/11/2013,NULL
"SEIJI MASUDA","legal representatives","ADSUM LTD.",15/11/2013,NULL
"SEIJI MASUDA","judicial representatives","ADSUM LTD.",15/11/2013,NULL
"YUKA GOTO",directors,"Connecting Scandinavia Limited",13/08/2012,NULL
"YUKA GOTO","legal representatives","Connecting Scandinavia Limited",13/08/2012,NULL
"YUKA GOTO","judicial representatives","Connecting Scandinavia Limited",13/08/2012,NULL
"KEMMI AIDA",directors,"Cerca e Trova Holdings Ltd",20/08/2010,NULL
"KEMMI AIDA",shareholders,"Cerca e Trova Holdings Ltd",20/08/2010,NULL
"KEMMI AIDA","legal representatives","Cerca e Trova Holdings Ltd",20/08/2010,NULL
"KEMMI AIDA","judicial representatives","Cerca e Trova Holdings Ltd",20/08/2010,NULL
"KEMMI AIDA",secretaries,"Cerca e Trova Holdings Ltd",20/08/2010,NULL
"MARIKO DARLEY",secretaries,"DARLEY CONSULTING CO LTD",20/10/2014,NULL
"AKIKO MATSUBARA",directors,"FOUR DIAMONDS CLUB LTD",25/02/2015,NULL
"AKIKO MATSUBARA","legal representatives","FOUR DIAMONDS CLUB LTD",25/02/2015,NULL
"AKIKO MATSUBARA","judicial representatives","FOUR DIAMONDS CLUB LTD",25/02/2015,NULL
"AKIKO MATSUBARA",secretaries,"FOUR DIAMONDS CLUB LTD",25/02/2015,NULL
"MASAYOSHI KIKUCHI",directors,"FLM LIMITED",12/05/2015,NULL
"YOSHIHIDE NOGAMI",shareholders,"FLM LIMITED",12/05/2015,NULL
"MASAYOSHI KIKUCHI","legal representatives","FLM LIMITED",12/05/2015,NULL
"MASAYOSHI KIKUCHI","judicial representatives","FLM LIMITED",12/05/2015,NULL
"KEMMI AIDA",directors,"Green Initiative & Synergy Ltd",20/08/2010,NULL
"KEMMI AIDA","legal representatives","Green Initiative & Synergy Ltd",20/08/2010,NULL
"KEMMI AIDA","judicial representatives","Green Initiative & Synergy Ltd",20/08/2010,NULL
"KEMMI AIDA",secretaries,"Green Initiative & Synergy Ltd",20/08/2010,NULL
"SHUICHIRO INUZUKA",directors,"GNG CAPITAL LIMITED",25/04/2013,"In Dissolution"
"SHUICHIRO INUZUKA","legal representatives","GNG CAPITAL LIMITED",25/04/2013,"In Dissolution"
"SHUICHIRO INUZUKA","judicial representatives","GNG CAPITAL LIMITED",25/04/2013,"In Dissolution"
"SHUICHIRO INUZUKA",secretaries,"GNG CAPITAL LIMITED",25/04/2013,"In Dissolution"
"SHUICHIRO INUZUKA",directors,"GNG Capital Holdings Limited",25/04/2013,"In Dissolution"
"SHUICHIRO INUZUKA",shareholders,"GNG Capital Holdings Limited",25/04/2013,"In Dissolution"
"SHUICHIRO INUZUKA","legal representatives","GNG Capital Holdings Limited",25/04/2013,"In Dissolution"
"SHUICHIRO INUZUKA","judicial representatives","GNG Capital Holdings Limited",25/04/2013,"In Dissolution"
"SHUICHIRO INUZUKA",secretaries,"GNG Capital Holdings Limited",25/04/2013,"In Dissolution"
"TSUNEO KUSUNOKI",directors,"GEOS (MALTA) LANGUAGE LIMITED",29/07/1997,NULL
"JUNKO NAKAMURA",directors,"GEOS (MALTA) LANGUAGE LIMITED",29/07/1997,NULL
"TSUNEO KUSUNOKI",shareholders,"GEOS (MALTA) LANGUAGE LIMITED",29/07/1997,NULL
