name,type,company_name,registration_date,status
"AMER A. HASAN ALZUBAIDI",directors,"AZPET GROUP LIMITED",15/10/2013,NULL
"AMER A. HASAN ALZUBAIDI",shareholders,"AZPET GROUP LIMITED",15/10/2013,NULL
"AMER A. HASAN ALZUBAIDI","legal representatives","AZPET GROUP LIMITED",15/10/2013,NULL
"AMER A. HASAN ALZUBAIDI","judicial representatives","AZPET GROUP LIMITED",15/10/2013,NULL
"AMER A. HASAN ALZUBAIDI",secretaries,"AZPET GROUP LIMITED",15/10/2013,NULL
"AZMI ALI FARAH BANI SALMAN",directors,"AZMI JORDAN COMPANY LIMITED",13/06/2016,NULL
"AZMI ALI FARAH BANI SALMAN",shareholders,"AZMI JORDAN COMPANY LIMITED",13/06/2016,NULL
"AZMI ALI FARAH BANI SALMAN","legal representatives","AZMI JORDAN COMPANY LIMITED",13/06/2016,NULL
"AZMI ALI FARAH BANI SALMAN","judicial representatives","AZMI JORDAN COMPANY LIMITED",13/06/2016,NULL
"AZMI ALI FARAH BANI SALMAN",secretaries,"AZMI JORDAN COMPANY LIMITED",13/06/2016,NULL
"ABDALLAH AHMAD NAWAFLEH",directors,"AXB SUPPLIES LTD",31/01/2008,NULL
"ABDALLAH AHMAD NAWAFLEH","legal representatives","AXB SUPPLIES LTD",31/01/2008,NULL
"ABDALLAH AHMAD NAWAFLEH","judicial representatives","AXB SUPPLIES LTD",31/01/2008,NULL
"TAWFIQ A FARHAN",directors,"ARAB UNION CORPORATION FOR CONTRACTING AND ENGINEERING OVERSEA LIMITED",06/06/2002,NULL
"TAWFIQ A FARHAN",shareholders,"ARAB UNION CORPORATION FOR CONTRACTING AND ENGINEERING OVERSEA LIMITED",06/06/2002,NULL
"TAWFIQ A FARHAN","legal representatives","ARAB UNION CORPORATION FOR CONTRACTING AND ENGINEERING OVERSEA LIMITED",06/06/2002,NULL
"TAWFIQ A FARHAN","judicial representatives","ARAB UNION CORPORATION FOR CONTRACTING AND ENGINEERING OVERSEA LIMITED",06/06/2002,NULL
