name,type,company_name,registration_date,status
"BORISLAV ILICIC",shareholders,"CONTINENTAL ALIENS DESIGN LTD",13/11/2007,NULL
"MIROSLAV RADONJIC",shareholders,"CAMI LIMITED",29/08/2005,NULL
"IVONA BLAGOJEVIC",directors,"IVOVIC LIMITED",19/05/2010,NULL
"IVONA BLAGOJEVIC",shareholders,"IVOVIC LIMITED",19/05/2010,NULL
"IVONA BLAGOJEVIC","legal representatives","IVOVIC LIMITED",19/05/2010,NULL
"IVONA BLAGOJEVIC","judicial representatives","IVOVIC LIMITED",19/05/2010,NULL
"MIHAJLO KOMOCAR",directors,"KOM MAXI LTD",30/09/2011,NULL
"MIHAJLO KOMOCAR",shareholders,"KOM MAXI LTD",30/09/2011,NULL
"MIHAJLO KOMOCAR","legal representatives","KOM MAXI LTD",30/09/2011,NULL
"MIHAJLO KOMOCAR","judicial representatives","KOM MAXI LTD",30/09/2011,NULL
"MIHAJLO KOMOCAR",secretaries,"KOM MAXI LTD",30/09/2011,NULL
"DUSKA MALESEVIC",directors,"OVERSEAS LTD",05/02/2010,NULL
"DUSKA MALESEVIC","legal representatives","OVERSEAS LTD",05/02/2010,NULL
"DUSKA MALESEVIC","judicial representatives","OVERSEAS LTD",05/02/2010,NULL
"DUSKA MALESEVIC",secretaries,"OVERSEAS LTD",05/02/2010,NULL
"BRANISLAV VLAHOVIC",directors,"VLB COMPANY LIMITED",22/02/2006,NULL
"BILJANA VLAHOVIC",shareholders,"VLB COMPANY LIMITED",22/02/2006,NULL
"BRANISLAV VLAHOVIC",shareholders,"VLB COMPANY LIMITED",22/02/2006,NULL
"BRANISLAV VLAHOVIC","legal representatives","VLB COMPANY LIMITED",22/02/2006,NULL
"BRANISLAV VLAHOVIC","judicial representatives","VLB COMPANY LIMITED",22/02/2006,NULL
