name,type,company_name,registration_date,status
"BORIS NIKOLAYENKO",directors,"ADVAITA TRADE PRIVATE LIMITED",26/08/2014,NULL
"BORIS NIKOLAYENKO","legal representatives","ADVAITA TRADE PRIVATE LIMITED",26/08/2014,NULL
"BORIS NIKOLAYENKO","judicial representatives","ADVAITA TRADE PRIVATE LIMITED",26/08/2014,NULL
"VLADIMIR KIM",directors,"CUPRUM HOLDING LIMITED",10/09/2001,NULL
"VLADIMIR KIM","legal representatives","CUPRUM HOLDING LIMITED",10/09/2001,NULL
"VLADIMIR KIM","judicial representatives","CUPRUM HOLDING LIMITED",10/09/2001,NULL
"NURZHAN SUBKHANBERDIN",shareholders,"CARPE DIEM LIMITED",25/04/2012,NULL
"JAYNE BEZZINA",shareholders,"ENDEAVOUR INTERNATIONAL MANAGEMENT SERVICES LTD",31/08/2007,NULL
"JAYNE BEZZINA",secretaries,"ENDEAVOUR INTERNATIONAL MANAGEMENT SERVICES LTD",31/08/2007,NULL
"MARIYA SOLTUZ",secretaries,"EDENWARD LIMITED",11/02/2015,NULL
"SULTAN-TEMIR OMAROV",directors,"GREEN ORANGES LTD",11/12/2012,NULL
"SULTAN-TEMIR OMAROV","legal representatives","GREEN ORANGES LTD",11/12/2012,NULL
"SULTAN-TEMIR OMAROV","judicial representatives","GREEN ORANGES LTD",11/12/2012,NULL
"Natalya Kuryachaya",secretaries,"GoodID Limited",11/04/2011,"In Dissolution"
"RASHID DAUROV",directors,"HSBC LIFE ASSURANCE (MALTA) LTD",20/07/1995,NULL
"RASHID DAUROV","judicial representatives","HSBC LIFE ASSURANCE (MALTA) LTD",20/07/1995,NULL
"YELENA KADATSKAYA",shareholders,"KNIGHTSBRIDGE SCHOOLS INTERNATIONAL (MALTA) PLC",08/06/2009,NULL
"NURZHAN SUBKHANBERDIN",shareholders,"MY WAY LIMITED",25/04/2012,NULL
"BAUYRZHAN ASSIMKHANOV",directors,"RUSMANN CO MALTA LTD",17/10/2005,NULL
"ASBI TUSHIYEV",directors,"RUSMANN CO MALTA LTD",17/10/2005,NULL
"RUSLAN TUSHIYEV",directors,"RUSMANN CO MALTA LTD",17/10/2005,NULL
"BAUYRZHAN ASSIMKHANOV",shareholders,"RUSMANN CO MALTA LTD",17/10/2005,NULL
"ASBI TUSHIYEV",shareholders,"RUSMANN CO MALTA LTD",17/10/2005,NULL
"RUSLAN TUSHIYEV",shareholders,"RUSMANN CO MALTA LTD",17/10/2005,NULL
"BAUYRZHAN ASSIMKHANOV","legal representatives","RUSMANN CO MALTA LTD",17/10/2005,NULL
"ASBI TUSHIYEV","legal representatives","RUSMANN CO MALTA LTD",17/10/2005,NULL
"RUSLAN TUSHIYEV","legal representatives","RUSMANN CO MALTA LTD",17/10/2005,NULL
"BAUYRZHAN ASSIMKHANOV","judicial representatives","RUSMANN CO MALTA LTD",17/10/2005,NULL
"ASBI TUSHIYEV","judicial representatives","RUSMANN CO MALTA LTD",17/10/2005,NULL
"RUSLAN TUSHIYEV","judicial representatives","RUSMANN CO MALTA LTD",17/10/2005,NULL
"RUSLAN TUSHIYEV",secretaries,"RUSMANN CO MALTA LTD",17/10/2005,NULL
"RASHIT SARSENOV",directors,"SWIFT BRIGHT INVESTMENTS LTD.",12/05/2005,NULL
"RASHIT SARSENOV",shareholders,"SWIFT BRIGHT INVESTMENTS LTD.",12/05/2005,NULL
"RASHIT SARSENOV","legal representatives","SWIFT BRIGHT INVESTMENTS LTD.",12/05/2005,NULL
"RASHIT SARSENOV","judicial representatives","SWIFT BRIGHT INVESTMENTS LTD.",12/05/2005,NULL
"RASHIT SARSENOV",directors,"SWIFT BRIGHT CAPITAL LTD",12/05/2005,NULL
"RASHIT SARSENOV",shareholders,"SWIFT BRIGHT CAPITAL LTD",12/05/2005,NULL
"RASHIT SARSENOV","legal representatives","SWIFT BRIGHT CAPITAL LTD",12/05/2005,NULL
"RASHIT SARSENOV","judicial representatives","SWIFT BRIGHT CAPITAL LTD",12/05/2005,NULL
"KURALAY ELEMESOVA",directors,"SkyConsult Holdings Limited",12/04/2011,NULL
"KURALAY ELEMESOVA","legal representatives","SkyConsult Holdings Limited",12/04/2011,NULL
"KURALAY ELEMESOVA","judicial representatives","SkyConsult Holdings Limited",12/04/2011,NULL
"KURALAY ELEMESOVA",directors,"SKYCONSULT EUROPE LIMITED",14/04/2011,NULL
"KURALAY ELEMESOVA","legal representatives","SKYCONSULT EUROPE LIMITED",14/04/2011,NULL
"KURALAY ELEMESOVA","judicial representatives","SKYCONSULT EUROPE LIMITED",14/04/2011,NULL
"KURALAY ELEMESOVA",directors,"SB GROUP GLOBAL HOLDINGS LIMITED",05/01/2011,NULL
"TEMIRLAN OMARZHANOV",directors,"SB GROUP GLOBAL HOLDINGS LIMITED",05/01/2011,NULL
"KURALAY ELEMESOVA",shareholders,"SB GROUP GLOBAL HOLDINGS LIMITED",05/01/2011,NULL
"KURALAY ELEMESOVA","legal representatives","SB GROUP GLOBAL HOLDINGS LIMITED",05/01/2011,NULL
"TEMIRLAN OMARZHANOV","legal representatives","SB GROUP GLOBAL HOLDINGS LIMITED",05/01/2011,NULL
"KURALAY ELEMESOVA","judicial representatives","SB GROUP GLOBAL HOLDINGS LIMITED",05/01/2011,NULL
"TEMIRLAN OMARZHANOV","judicial representatives","SB GROUP GLOBAL HOLDINGS LIMITED",05/01/2011,NULL
"KURALAY ELEMESOVA",directors,"SB GROUP (MALTA) LIMITED",05/01/2011,NULL
"TEMIRLAN OMARZHANOV",directors,"SB GROUP (MALTA) LIMITED",05/01/2011,NULL
"KURALAY ELEMESOVA","legal representatives","SB GROUP (MALTA) LIMITED",05/01/2011,NULL
"TEMIRLAN OMARZHANOV","legal representatives","SB GROUP (MALTA) LIMITED",05/01/2011,NULL
"KURALAY ELEMESOVA","judicial representatives","SB GROUP (MALTA) LIMITED",05/01/2011,NULL
"TEMIRLAN OMARZHANOV","judicial representatives","SB GROUP (MALTA) LIMITED",05/01/2011,NULL
"ZHANAR BUKARBAYEVA",shareholders,"UNEX TRADING LIMITED",31/12/2012,NULL
"ZHANAR BUKARBAYEVA",shareholders,"UNEX HOLDINGS LIMITED",31/12/2012,NULL
"YEVGENIY OMASHEV",directors,"VISTA YACHTING LTD",06/04/2015,NULL
"YEVGENIY OMASHEV",shareholders,"VISTA YACHTING LTD",06/04/2015,NULL
"YEVGENIY OMASHEV","legal representatives","VISTA YACHTING LTD",06/04/2015,NULL
"YEVGENIY OMASHEV","judicial representatives","VISTA YACHTING LTD",06/04/2015,NULL
"YEVGENIY OMASHEV",directors,"VISTA ENERGY LIMITED",27/04/2015,"In Dissolution"
"YEVGENIY OMASHEV",shareholders,"VISTA ENERGY LIMITED",27/04/2015,"In Dissolution"
"YEVGENIY OMASHEV","legal representatives","VISTA ENERGY LIMITED",27/04/2015,"In Dissolution"
