name,type,company_name,registration_date,status
"AZAT CHIKEYEV",directors,"CHERRY INVESTMENTS LTD.",11/06/2013,NULL
"AZAT CHIKEYEV",shareholders,"CHERRY INVESTMENTS LTD.",11/06/2013,NULL
"AZAT CHIKEYEV","legal representatives","CHERRY INVESTMENTS LTD.",11/06/2013,NULL
"AZAT CHIKEYEV","judicial representatives","CHERRY INVESTMENTS LTD.",11/06/2013,NULL
"MAKSIM KRUTIAKOV",directors,"FODUSCO INVESTMENTS LIMITED",31/12/2013,NULL
"MAKSIM KRUTIAKOV","legal representatives","FODUSCO INVESTMENTS LIMITED",31/12/2013,NULL
"MAKSIM KRUTIAKOV","judicial representatives","FODUSCO INVESTMENTS LIMITED",31/12/2013,NULL
"ROMAN FAIZULIN",directors,"KSB INTERNATIONAL LTD",24/02/2015,NULL
"ROMAN FAIZULIN",shareholders,"KSB INTERNATIONAL LTD",24/02/2015,NULL
"ROMAN FAIZULIN","legal representatives","KSB INTERNATIONAL LTD",24/02/2015,NULL
"ROMAN FAIZULIN","judicial representatives","KSB INTERNATIONAL LTD",24/02/2015,NULL
"ROMAN FAIZULIN",secretaries,"KSB INTERNATIONAL LTD",24/02/2015,NULL
