name,type,company_name,registration_date,status
"PATRICK FUCHS",secretaries,"ARAGORN HOLDINGS LIMITED",28/11/2014,NULL
"THOMAS MARTIN JOSEPH WILHELM",directors,"APEX SOLUTIONS LIMITED",16/05/2016,NULL
"THOMAS MARTIN JOSEPH WILHELM","legal representatives","APEX SOLUTIONS LIMITED",16/05/2016,NULL
"THOMAS MARTIN JOSEPH WILHELM","judicial representatives","APEX SOLUTIONS LIMITED",16/05/2016,NULL
"BERNHARD WILHELM LAMPERT",directors,"ALLIED FINANCE MALTA LIMITED",20/09/2011,NULL
"BERNHARD WILHELM LAMPERT",shareholders,"ALLIED FINANCE MALTA LIMITED",20/09/2011,NULL
"BERNHARD WILHELM LAMPERT","legal representatives","ALLIED FINANCE MALTA LIMITED",20/09/2011,NULL
"BERNHARD WILHELM LAMPERT","judicial representatives","ALLIED FINANCE MALTA LIMITED",20/09/2011,NULL
"BERNHARD WILHELM LAMPERT",secretaries,"ALLIED FINANCE MALTA LIMITED",20/09/2011,NULL
"THOMAS MARTIN JOSEPH WILHELM",directors,"AF02 LIMITED",26/07/2016,NULL
"THOMAS MARTIN JOSEPH WILHELM","legal representatives","AF02 LIMITED",26/07/2016,NULL
"THOMAS MARTIN JOSEPH WILHELM","judicial representatives","AF02 LIMITED",26/07/2016,NULL
"THOMAS MARTIN JOSEPH WILHELM",directors,"CANTI02 LIMITED",26/07/2016,NULL
"THOMAS MARTIN JOSEPH WILHELM","legal representatives","CANTI02 LIMITED",26/07/2016,NULL
"THOMAS MARTIN JOSEPH WILHELM","judicial representatives","CANTI02 LIMITED",26/07/2016,NULL
"BERNHARD WILHELM LAMPERT",directors,"ABELLO LIMITED",04/08/2014,NULL
"BERNHARD WILHELM LAMPERT",shareholders,"ABELLO LIMITED",04/08/2014,NULL
"BERNHARD WILHELM LAMPERT","legal representatives","ABELLO LIMITED",04/08/2014,NULL
"BERNHARD WILHELM LAMPERT","judicial representatives","ABELLO LIMITED",04/08/2014,NULL
"WERNER VOGT",directors,"BLUE LIMITED",18/08/2010,NULL
"WERNER VOGT",shareholders,"BLUE LIMITED",18/08/2010,NULL
"WERNER VOGT","legal representatives","BLUE LIMITED",18/08/2010,NULL
"WERNER VOGT","judicial representatives","BLUE LIMITED",18/08/2010,NULL
"HORST ROBERT LAICH",shareholders,"BEAUTIFUL SHIPPING LTD",23/05/1996,"In Dissolution"
"MARKUS HASLER",directors,"Crypto Limited",23/06/2016,NULL
"MARKUS HASLER","legal representatives","Crypto Limited",23/06/2016,NULL
"MARKUS HASLER","judicial representatives","Crypto Limited",23/06/2016,NULL
"MICHAEL KRANZ",secretaries,"Crypto Limited",23/06/2016,NULL
"THOMAS NIGG",directors,"CONITO HOLDINGS LIMITED",24/03/2008,NULL
"THOMAS NIGG","legal representatives","CONITO HOLDINGS LIMITED",24/03/2008,NULL
"THOMAS NIGG","judicial representatives","CONITO HOLDINGS LIMITED",24/03/2008,NULL
"THOMAS NIGG",directors,"CINAMON LIMITED",07/07/2015,NULL
"THOMAS NIGG","legal representatives","CINAMON LIMITED",07/07/2015,NULL
"THOMAS NIGG","judicial representatives","CINAMON LIMITED",07/07/2015,NULL
"BERNHARD WILHELM LAMPERT",directors,"DIGO COMPANY LIMITED",13/10/2011,NULL
"BERNHARD WILHELM LAMPERT","legal representatives","DIGO COMPANY LIMITED",13/10/2011,NULL
"BERNHARD WILHELM LAMPERT","judicial representatives","DIGO COMPANY LIMITED",13/10/2011,NULL
"BERNHARD WILHELM LAMPERT",secretaries,"DIGO COMPANY LIMITED",13/10/2011,NULL
"BRIGITTE FEGER",directors,"DALMIR LTD",12/09/2008,NULL
"BRIGITTE FEGER",shareholders,"DALMIR LTD",12/09/2008,NULL
"BRIGITTE FEGER","legal representatives","DALMIR LTD",12/09/2008,NULL
"BRIGITTE FEGER","judicial representatives","DALMIR LTD",12/09/2008,NULL
"PATRICK FUCHS",secretaries,"ELROND HOLDINGS LIMITED",28/11/2014,NULL
"CLAUDIO FRICK",directors,"EB GLOBAL INVESTMENT FUNDS SICAV PLC",12/01/2015,NULL
"CLAUDIO FRICK",shareholders,"EB GLOBAL INVESTMENT FUNDS SICAV PLC",12/01/2015,NULL
"CLAUDIO FRICK","legal representatives","EB GLOBAL INVESTMENT FUNDS SICAV PLC",12/01/2015,NULL
"CLAUDIO FRICK","judicial representatives","EB GLOBAL INVESTMENT FUNDS SICAV PLC",12/01/2015,NULL
"OLIVER HEMMER",shareholders,"E-COMMERCE INTERNATIONAL LIMITED",09/01/2012,NULL
"MANFRED BATLINER",directors,"FALKUN MOTORS LIMITED",17/09/2013,NULL
"MANFRED BATLINER","legal representatives","FALKUN MOTORS LIMITED",17/09/2013,NULL
"MANFRED BATLINER","judicial representatives","FALKUN MOTORS LIMITED",17/09/2013,NULL
"THOMAS NIGG",directors,"GREEN VALLEY LIMITED",01/03/2007,NULL
"THOMAS NIGG",shareholders,"GREEN VALLEY LIMITED",01/03/2007,NULL
"THOMAS NIGG","legal representatives","GREEN VALLEY LIMITED",01/03/2007,NULL
"THOMAS NIGG","judicial representatives","GREEN VALLEY LIMITED",01/03/2007,NULL
"BERNHARD WILHELM LAMPERT",directors,"GOLDENLAKE LIMITED",02/09/2016,NULL
"BERNHARD WILHELM LAMPERT","legal representatives","GOLDENLAKE LIMITED",02/09/2016,NULL
"BERNHARD WILHELM LAMPERT","judicial representatives","GOLDENLAKE LIMITED",02/09/2016,NULL
"BERNHARD WILHELM LAMPERT",secretaries,"GOLDENLAKE LIMITED",02/09/2016,NULL
"BERNHARD WILHELM LAMPERT",shareholders,"GIF Holdings Limited",28/03/2006,"In Dissolution"
"BERNHARD WILHELM LAMPERT",shareholders,"GAUDIUM CAPITAL LIMITED",18/06/2004,"In Dissolution"
"BERNHARD WILHELM LAMPERT",directors,"MOONLAKE LIMITED",02/09/2016,NULL
"BERNHARD WILHELM LAMPERT","legal representatives","MOONLAKE LIMITED",02/09/2016,NULL
"BERNHARD WILHELM LAMPERT","judicial representatives","MOONLAKE LIMITED",02/09/2016,NULL
"BERNHARD WILHELM LAMPERT",secretaries,"MOONLAKE LIMITED",02/09/2016,NULL
"IVAN NICOLAI KAUFMANN",directors,"MONTCALM INVESTMENTS LTD.",25/06/2014,NULL
"IVAN NICOLAI KAUFMANN","legal representatives","MONTCALM INVESTMENTS LTD.",25/06/2014,NULL
"IVAN NICOLAI KAUFMANN","judicial representatives","MONTCALM INVESTMENTS LTD.",25/06/2014,NULL
"CLAUDIO FRICK",directors,"MLB INVESTMENT FUNDS SICAV PLC",12/01/2015,NULL
"CLAUDIO FRICK",shareholders,"MLB INVESTMENT FUNDS SICAV PLC",12/01/2015,NULL
"CLAUDIO FRICK","legal representatives","MLB INVESTMENT FUNDS SICAV PLC",12/01/2015,NULL
"CLAUDIO FRICK","judicial representatives","MLB INVESTMENT FUNDS SICAV PLC",12/01/2015,NULL
"CLAUDIO FRICK",directors,"MIKO INVESTMENT FUNDS SICAV PLC",12/01/2015,NULL
"CLAUDIO FRICK",shareholders,"MIKO INVESTMENT FUNDS SICAV PLC",12/01/2015,NULL
"CLAUDIO FRICK","legal representatives","MIKO INVESTMENT FUNDS SICAV PLC",12/01/2015,NULL
"CLAUDIO FRICK","judicial representatives","MIKO INVESTMENT FUNDS SICAV PLC",12/01/2015,NULL
"BERNHARD WILHELM LAMPERT",directors,"MERKUR LIMITED",24/06/2011,NULL
"BERNHARD WILHELM LAMPERT","legal representatives","MERKUR LIMITED",24/06/2011,NULL
"BERNHARD WILHELM LAMPERT","judicial representatives","MERKUR LIMITED",24/06/2011,NULL
"BERNHARD WILHELM LAMPERT",secretaries,"MERKUR LIMITED",24/06/2011,NULL
"OLIVER HEMMER",directors,"OCTAGON INDUSTRIES LIMITED",13/11/2014,NULL
"OLIVER HEMMER",shareholders,"OCTAGON INDUSTRIES LIMITED",13/11/2014,NULL
"OLIVER HEMMER","legal representatives","OCTAGON INDUSTRIES LIMITED",13/11/2014,NULL
"OLIVER HEMMER","judicial representatives","OCTAGON INDUSTRIES LIMITED",13/11/2014,NULL
"VEIT EGMOND FROMMELT",directors,"OCEANVIEW LIMITED",06/11/2014,NULL
"RICHARD NEGELE",directors,"OCEANVIEW LIMITED",06/11/2014,NULL
"VEIT EGMOND FROMMELT","legal representatives","OCEANVIEW LIMITED",06/11/2014,NULL
"RICHARD NEGELE","legal representatives","OCEANVIEW LIMITED",06/11/2014,NULL
"VEIT EGMOND FROMMELT","judicial representatives","OCEANVIEW LIMITED",06/11/2014,NULL
"RICHARD NEGELE","judicial representatives","OCEANVIEW LIMITED",06/11/2014,NULL
"CLAUDIO A. FRICK",directors,"Priveq Funds SICAV plc",08/03/2011,NULL
"CLAUDIO A. FRICK","legal representatives","Priveq Funds SICAV plc",08/03/2011,NULL
"CLAUDIO A. FRICK","judicial representatives","Priveq Funds SICAV plc",08/03/2011,NULL
"PATRICK FUCHS",secretaries,"PRISCA LIMITED",09/12/2015,NULL
"IWAN JOSEF ACKERMANN",directors,"PERLUCE TRADING LIMITED",30/05/2011,NULL
"IWAN JOSEF ACKERMANN","legal representatives","PERLUCE TRADING LIMITED",30/05/2011,NULL
"IWAN JOSEF ACKERMANN","judicial representatives","PERLUCE TRADING LIMITED",30/05/2011,NULL
