name,type,company_name,registration_date,status
"HUDA ALI REDHA MOHAMED JAWAD AL LAWATI",directors,"D1G LIMITED",28/07/2011,NULL
"HUDA ALI REDHA MOHAMED JAWAD AL LAWATI","legal representatives","D1G LIMITED",28/07/2011,NULL
"HUDA ALI REDHA MOHAMED JAWAD AL LAWATI","judicial representatives","D1G LIMITED",28/07/2011,NULL
"HASSAN KHAMIS ALI AL AJMI",directors,"FIDA MARITIME TRANSPORTATION COMPANY LIMITED",10/01/2008,NULL
"TARIK MOHAMED SULTAN AL-JUNAIDI",directors,"FIDA MARITIME TRANSPORTATION COMPANY LIMITED",10/01/2008,NULL
"HASSAN KHAMIS ALI AL AJMI","legal representatives","FIDA MARITIME TRANSPORTATION COMPANY LIMITED",10/01/2008,NULL
"TARIK MOHAMED SULTAN AL-JUNAIDI","legal representatives","FIDA MARITIME TRANSPORTATION COMPANY LIMITED",10/01/2008,NULL
"HASSAN KHAMIS ALI AL AJMI","judicial representatives","FIDA MARITIME TRANSPORTATION COMPANY LIMITED",10/01/2008,NULL
"TARIK MOHAMED SULTAN AL-JUNAIDI","judicial representatives","FIDA MARITIME TRANSPORTATION COMPANY LIMITED",10/01/2008,NULL
"SHEIKH SAIF BIN HASHIL AL MASKERY",directors,"L.O.K LIMITED",30/07/2008,"In Dissolution"
"SHEIKH SAIF BIN HASHIL AL MASKERY","legal representatives","L.O.K LIMITED",30/07/2008,"In Dissolution"
"SHEIKH SAIF BIN HASHIL AL MASKERY","judicial representatives","L.O.K LIMITED",30/07/2008,"In Dissolution"
"HASSAN KHAMIS ALI AL AJMI",directors,"MAZYONAH MARITIME TRANSPORTATION COMPANY LIMITED",10/01/2008,NULL
"ABDUL MALIK ABDUL KARIM EIDOK AL BALUSHI",directors,"MAZYONAH MARITIME TRANSPORTATION COMPANY LIMITED",10/01/2008,NULL
"TARIK MOHAMED SULTAN AL-JUNAIDI",directors,"MAZYONAH MARITIME TRANSPORTATION COMPANY LIMITED",10/01/2008,NULL
"HASSAN KHAMIS ALI AL AJMI","legal representatives","MAZYONAH MARITIME TRANSPORTATION COMPANY LIMITED",10/01/2008,NULL
"ABDUL MALIK ABDUL KARIM EIDOK AL BALUSHI","legal representatives","MAZYONAH MARITIME TRANSPORTATION COMPANY LIMITED",10/01/2008,NULL
