name,type,company_name,registration_date,status
"NIDAL S.A. ALDEEK",directors,"DEEK HOLDINGS LIMITED",05/12/2013,NULL
"NIDAL S.A. ALDEEK","legal representatives","DEEK HOLDINGS LIMITED",05/12/2013,NULL
"NIDAL S.A. ALDEEK","judicial representatives","DEEK HOLDINGS LIMITED",05/12/2013,NULL
"Said A. S. Jouda",directors,"Euro-ME Technology Ltd",20/03/2015,NULL
"Said A. S. Jouda",shareholders,"Euro-ME Technology Ltd",20/03/2015,NULL
"Said A. S. Jouda","legal representatives","Euro-ME Technology Ltd",20/03/2015,NULL
"Said A. S. Jouda","judicial representatives","Euro-ME Technology Ltd",20/03/2015,NULL
"Said A.S. Jouda",secretaries,"Euro-ME Technology Ltd",20/03/2015,NULL
"MOHAMED MR ALSHOURAFA",directors,"ENERGY TECHNOLOGIES LIMITED",11/11/2014,NULL
"MOHAMED MR ALSHOURAFA",shareholders,"ENERGY TECHNOLOGIES LIMITED",11/11/2014,NULL
"MOHAMED MR ALSHOURAFA","legal representatives","ENERGY TECHNOLOGIES LIMITED",11/11/2014,NULL
"MOHAMED MR ALSHOURAFA","judicial representatives","ENERGY TECHNOLOGIES LIMITED",11/11/2014,NULL
"MOHAMED MR ALSHOURAFA",secretaries,"ENERGY TECHNOLOGIES LIMITED",11/11/2014,NULL
"ALAA SULAIMAN ABID ALDEEK",directors,"INTERNATIONAL PATIENTS SERVICES LIMITED",08/01/2016,NULL
"ALAA SULAIMAN ABID ALDEEK","legal representatives","INTERNATIONAL PATIENTS SERVICES LIMITED",08/01/2016,NULL
"ALAA SULAIMAN ABID ALDEEK","judicial representatives","INTERNATIONAL PATIENTS SERVICES LIMITED",08/01/2016,NULL
"Mohamad Ammar",directors,"I TRADE GLOBAL TECHNOLOGY LTD",14/05/2015,NULL
"Mohamad Ammar",shareholders,"I TRADE GLOBAL TECHNOLOGY LTD",14/05/2015,NULL
"Mohamad Ammar","legal representatives","I TRADE GLOBAL TECHNOLOGY LTD",14/05/2015,NULL
"Mohamad Ammar","judicial representatives","I TRADE GLOBAL TECHNOLOGY LTD",14/05/2015,NULL
"Mohamad Ammar",secretaries,"I TRADE GLOBAL TECHNOLOGY LTD",14/05/2015,NULL
"Sami Abunada",directors,"MISK COMPANY LTD.",21/03/2011,NULL
"Sami Abunada","legal representatives","MISK COMPANY LTD.",21/03/2011,NULL
"Sami Abunada","judicial representatives","MISK COMPANY LTD.",21/03/2011,NULL
"Wael A.H. Alnabih",directors,"OceanTech Computer Trading Ltd",07/04/2015,NULL
"Wael A.H. Alnabih",shareholders,"OceanTech Computer Trading Ltd",07/04/2015,NULL
"Wael A.H. Alnabih","legal representatives","OceanTech Computer Trading Ltd",07/04/2015,NULL
"Wael A.H. Alnabih","judicial representatives","OceanTech Computer Trading Ltd",07/04/2015,NULL
"Wael A.H. Alnabih",secretaries,"OceanTech Computer Trading Ltd",07/04/2015,NULL
"MOHAMMED K.M. ALSHAIKH",directors,"REEM TECHNOLOGY INTERNATIONAL LTD",06/05/2014,NULL
"WALID K.M. ALSHAIKH",directors,"REEM TECHNOLOGY INTERNATIONAL LTD",06/05/2014,NULL
"MOHAMMED K.M. ALSHAIKH",shareholders,"REEM TECHNOLOGY INTERNATIONAL LTD",06/05/2014,NULL
"WALID K.M. ALSHAIKH",shareholders,"REEM TECHNOLOGY INTERNATIONAL LTD",06/05/2014,NULL
"MOHAMMED K.M. ALSHAIKH","legal representatives","REEM TECHNOLOGY INTERNATIONAL LTD",06/05/2014,NULL
"WALID K.M. ALSHAIKH","legal representatives","REEM TECHNOLOGY INTERNATIONAL LTD",06/05/2014,NULL
"MOHAMMED K.M. ALSHAIKH","judicial representatives","REEM TECHNOLOGY INTERNATIONAL LTD",06/05/2014,NULL
"WALID K.M. ALSHAIKH","judicial representatives","REEM TECHNOLOGY INTERNATIONAL LTD",06/05/2014,NULL
"WALID K.M. ALSHAIKH",secretaries,"REEM TECHNOLOGY INTERNATIONAL LTD",06/05/2014,NULL
"IBRAHIM ASSAAD TAHAN",directors,"TAHAN TRADING COMPANY LTD",19/11/2014,NULL
"DALIA TAHAN IBRAHIM",directors,"TAHAN TRADING COMPANY LTD",19/11/2014,NULL
"DINA TAHAN IBRAHIM",directors,"TAHAN TRADING COMPANY LTD",19/11/2014,NULL
"DALIA TAHAN IBRAHIM",shareholders,"TAHAN TRADING COMPANY LTD",19/11/2014,NULL
"DINA TAHAN IBRAHIM",shareholders,"TAHAN TRADING COMPANY LTD",19/11/2014,NULL
"IBRAHIM ASSAAD TAHAN",shareholders,"TAHAN TRADING COMPANY LTD",19/11/2014,NULL
"IBRAHIM ASSAAD TAHAN","legal representatives","TAHAN TRADING COMPANY LTD",19/11/2014,NULL
"DALIA TAHAN IBRAHIM","legal representatives","TAHAN TRADING COMPANY LTD",19/11/2014,NULL
"DINA TAHAN IBRAHIM","legal representatives","TAHAN TRADING COMPANY LTD",19/11/2014,NULL
"IBRAHIM ASSAAD TAHAN","judicial representatives","TAHAN TRADING COMPANY LTD",19/11/2014,NULL
"DALIA TAHAN IBRAHIM","judicial representatives","TAHAN TRADING COMPANY LTD",19/11/2014,NULL
"DINA TAHAN IBRAHIM","judicial representatives","TAHAN TRADING COMPANY LTD",19/11/2014,NULL
"IBRAHIM ASSAAD TAHAN",secretaries,"TAHAN TRADING COMPANY LTD",19/11/2014,NULL
