name,type,company_name,registration_date,status
"ARIS ALEXIS MEDINA CORONADO",secretaries,"2DMBs LIMITED",08/03/2006,NULL
"JOHN BENJAMIN FOSTER ACOSTA",directors,"AUDIOVISUAL CONTENT PRODUCTION LIMITED",27/03/2008,NULL
"JOHN BENJAMIN FOSTER ACOSTA","legal representatives","AUDIOVISUAL CONTENT PRODUCTION LIMITED",27/03/2008,NULL
"JOHN BENJAMIN FOSTER ACOSTA","judicial representatives","AUDIOVISUAL CONTENT PRODUCTION LIMITED",27/03/2008,NULL
"FERNANDO ANTONIO GIL",secretaries,"AUDIOVISUAL CONTENT PRODUCTION LIMITED",27/03/2008,NULL
"EDGARDO ELOY DIAZ FALCONET",secretaries,"ASSOCIATED SHIPPING & TRANSPORT LIMITED",27/12/2007,NULL
"KARIMA ISABEL MELENDEZ QUINTERO",directors,"Argeneus Ltd.",29/04/2014,"In Dissolution"
"KARIMA ISABEL MELENDEZ QUINTERO","legal representatives","Argeneus Ltd.",29/04/2014,"In Dissolution"
"KARIMA ISABEL MELENDEZ QUINTERO","judicial representatives","Argeneus Ltd.",29/04/2014,"In Dissolution"
"RAMON FERNANDEZ SINISTERRA",directors,"ANDA SHIPPING LIMITED",20/07/2004,NULL
"RAMON FERNANDEZ SINISTERRA","legal representatives","ANDA SHIPPING LIMITED",20/07/2004,NULL
"RAMON FERNANDEZ SINISTERRA","judicial representatives","ANDA SHIPPING LIMITED",20/07/2004,NULL
"JOSE ROBERTO LUTRELL TEDMAN",directors,"ALTA PHOCEA LTD",02/02/2016,NULL
"JOSE ROBERTO LUTRELL TEDMAN","legal representatives","ALTA PHOCEA LTD",02/02/2016,NULL
"JOSE ROBERTO LUTRELL TEDMAN","judicial representatives","ALTA PHOCEA LTD",02/02/2016,NULL
"GUSTAVO JOSE LUTTRELL MORATORIO",secretaries,"ALTA PHOCEA LTD",02/02/2016,NULL
"ISMAEL ENRIQUE GERLI CHAMPSAUR",directors,"A.SKY SHIPPING LIMITED",11/09/2003,NULL
"ISMAEL ENRIQUE GERLI CHAMPSAUR","legal representatives","A.SKY SHIPPING LIMITED",11/09/2003,NULL
"ISMAEL ENRIQUE GERLI CHAMPSAUR","judicial representatives","A.SKY SHIPPING LIMITED",11/09/2003,NULL
"ERASMO ALBERTO ORILLAC MOTTA",directors,"Browley Malta Limited",24/03/2011,"In Dissolution"
"ERASMO ALBERTO ORILLAC MOTTA","legal representatives","Browley Malta Limited",24/03/2011,"In Dissolution"
"ERASMO ALBERTO ORILLAC MOTTA","judicial representatives","Browley Malta Limited",24/03/2011,"In Dissolution"
"EMMA ROSA NUNEZ SOLIS",directors,"BRILLIANT TECHNO IDEAS ITC LIMITED",11/10/2006,NULL
"EMMA ROSA NUNEZ SOLIS",shareholders,"BRILLIANT TECHNO IDEAS ITC LIMITED",11/10/2006,NULL
"EMMA ROSA NUNEZ SOLIS","legal representatives","BRILLIANT TECHNO IDEAS ITC LIMITED",11/10/2006,NULL
"EMMA ROSA NUNEZ SOLIS","judicial representatives","BRILLIANT TECHNO IDEAS ITC LIMITED",11/10/2006,NULL
"EMMA ROSA NUNEZ SOLIS",secretaries,"BRILLIANT TECHNO IDEAS ITC LIMITED",11/10/2006,NULL
"VERNA LEE DE NELSON",secretaries,"ENGINEERING CONCEPT LTD",27/12/2013,NULL
"DORIA IMELDA YUNDA MINA",shareholders,"FINANCE SUISSE (MALTA) LIMITED",04/12/2013,NULL
"RINA RACHELL RIOS RODRIGUEZ",directors,"FABELL LIMITED",25/06/2013,NULL
