name,type,company_name,registration_date,status
"DIEGO RICARDO WASMOSY CARRASCO",directors,"4GB HOLDINGS LTD",07/10/2010,NULL
"DIEGO RICARDO WASMOSY CARRASCO",shareholders,"4GB HOLDINGS LTD",07/10/2010,NULL
"DIEGO RICARDO WASMOSY CARRASCO","legal representatives","4GB HOLDINGS LTD",07/10/2010,NULL
"DIEGO RICARDO WASMOSY CARRASCO","judicial representatives","4GB HOLDINGS LTD",07/10/2010,NULL
"DIEGO RICARDO WASMOSY CARRASCO",secretaries,"4GB HOLDINGS LTD",07/10/2010,NULL
"DIEGO RICARDO WASMOSY CARRASCO",directors,"BICHOSTARS LTD",07/10/2010,NULL
"DIEGO RICARDO WASMOSY CARRASCO",shareholders,"BICHOSTARS LTD",07/10/2010,NULL
"DIEGO RICARDO WASMOSY CARRASCO","legal representatives","BICHOSTARS LTD",07/10/2010,NULL
"DIEGO RICARDO WASMOSY CARRASCO","judicial representatives","BICHOSTARS LTD",07/10/2010,NULL
"DIEGO RICARDO WASMOSY CARRASCO",secretaries,"BICHOSTARS LTD",07/10/2010,NULL
