name,type,company_name,registration_date,status
"NASSER HASSAN AL-ANSARI",directors,"Al-Qataria Development Company Malta Limited",10/10/2007,NULL
"ABDUL AZIZ AL-THEYAB",directors,"Al-Qataria Development Company Malta Limited",10/10/2007,NULL
"NASSER HASSAN AL-ANSARI","legal representatives","Al-Qataria Development Company Malta Limited",10/10/2007,NULL
"ABDUL AZIZ AL-THEYAB","legal representatives","Al-Qataria Development Company Malta Limited",10/10/2007,NULL
"NASSER HASSAN AL-ANSARI","judicial representatives","Al-Qataria Development Company Malta Limited",10/10/2007,NULL
"ABDUL AZIZ AL-THEYAB","judicial representatives","Al-Qataria Development Company Malta Limited",10/10/2007,NULL
"ABDUL AZIZ AL-THEYAB",secretaries,"Al-Qataria Development Company Malta Limited",10/10/2007,NULL
"SHEIKH MOHAMED FEISAL Q.F. AL-THANI",directors,"Al Faisal International for Investment Malta Limited",12/02/2016,NULL
"SHEIKH MOHAMED FEISAL Q.F. AL-THANI","legal representatives","Al Faisal International for Investment Malta Limited",12/02/2016,NULL
"SHEIKH MOHAMED FEISAL Q.F. AL-THANI","judicial representatives","Al Faisal International for Investment Malta Limited",12/02/2016,NULL
"AHMED HUSSAIN A M AL-KHALAF",directors,"BEDOUR YACHTS LIMITED",23/10/2009,NULL
"AHMED HUSSAIN A M AL-KHALAF",shareholders,"BEDOUR YACHTS LIMITED",23/10/2009,NULL
"AHMED HUSSAIN A M AL-KHALAF","legal representatives","BEDOUR YACHTS LIMITED",23/10/2009,NULL
"AHMED HUSSAIN A M AL-KHALAF","judicial representatives","BEDOUR YACHTS LIMITED",23/10/2009,NULL
"MOHAMED IBRAHIM A A AL-MOHANNADI",directors,"GULF MED AVIATION SERVICES LIMITED",25/01/2016,NULL
"MOHAMED AHMED J. AL-THANI",directors,"MONIFA WINGS COMPANY LIMITED",04/05/2016,NULL
"HANADI NASSER K.A. AL-THANI",shareholders,"MONIFA WINGS COMPANY LIMITED",04/05/2016,NULL
"MOHAMED AHMED J. AL-THANI",shareholders,"MONIFA WINGS COMPANY LIMITED",04/05/2016,NULL
"MOHAMED AHMED J. AL-THANI","legal representatives","MONIFA WINGS COMPANY LIMITED",04/05/2016,NULL
"MOHAMED AHMED J. AL-THANI","judicial representatives","MONIFA WINGS COMPANY LIMITED",04/05/2016,NULL
"BADER OMAR I. AL-DAFA",shareholders,"ORBITAL HOLDINGS LIMITED",09/09/2014,NULL
"SHAIKHA SULTAN J M AL-JABIR",directors,"OOREDOO TUNISIA HOLDINGS LIMITED",19/12/2006,NULL
"SHAIKHA SULTAN J M AL-JABIR","legal representatives","OOREDOO TUNISIA HOLDINGS LIMITED",19/12/2006,NULL
"SHAIKHA SULTAN J M AL-JABIR","judicial representatives","OOREDOO TUNISIA HOLDINGS LIMITED",19/12/2006,NULL
"SHAIKHA SULTAN J M AL-JABIR",directors,"OOREDOO CONSORTIUM LIMITED",19/12/2006,NULL
"SHAIKHA SULTAN J M AL-JABIR","legal representatives","OOREDOO CONSORTIUM LIMITED",19/12/2006,NULL
"SHAIKHA SULTAN J M AL-JABIR","judicial representatives","OOREDOO CONSORTIUM LIMITED",19/12/2006,NULL
"ALI ALFADALA",directors,"QIC EUROPE LIMITED",20/11/2014,NULL
"KHALIFA ABDULLA T. AL-SUBAEY",shareholders,"QIC EUROPE LIMITED",20/11/2014,NULL
"ALI ALFADALA","legal representatives","QIC EUROPE LIMITED",20/11/2014,NULL
"ALI ALFADALA","judicial representatives","QIC EUROPE LIMITED",20/11/2014,NULL
"GHANIM SAAD M ALSAAD AL-KUWARI",shareholders,"SWISS MIDEAST LIMITED",17/09/2007,NULL
