name,type,company_name,registration_date,status
"ADEL MOHAMED ORRI",directors,"ARGONAFTIS SHIPPING COMPANY LIMITED",02/08/1978,NULL
"IBRAHIM MOHAMED ORRI",directors,"ARGONAFTIS SHIPPING COMPANY LIMITED",02/08/1978,NULL
"SABAH MOHAMMED MUTLAQ AL MUTLAQ",shareholders,"ARCDesign Limited",09/06/2015,NULL
"ALHAMDAN SOLAYMAN ABDULAZIZ S",directors,"APRON AIRPORTS HANDLING SERVICES LTD",19/09/2013,NULL
"ALHAMDAN SOLAYMAN ABDULAZIZ S",shareholders,"APRON AIRPORTS HANDLING SERVICES LTD",19/09/2013,NULL
"ALHAMDAN SOLAYMAN ABDULAZIZ S","legal representatives","APRON AIRPORTS HANDLING SERVICES LTD",19/09/2013,NULL
"ALHAMDAN SOLAYMAN ABDULAZIZ S","judicial representatives","APRON AIRPORTS HANDLING SERVICES LTD",19/09/2013,NULL
"ABDULMOHSSEN ABDULAZIZ F. ALHOKAIR",shareholders,"AMH INVESTMENTS LIMITED",29/09/2015,NULL
"ASIM SALEH ABDULKADER AMBAH",directors,"AMBAH LIMITED",23/12/2015,NULL
"ASIM SALEH ABDULKADER AMBAH","legal representatives","AMBAH LIMITED",23/12/2015,NULL
"ASIM SALEH ABDULKADER AMBAH","judicial representatives","AMBAH LIMITED",23/12/2015,NULL
"ASIM SALEH ABDULKADER AMBAH",secretaries,"AMBAH LIMITED",23/12/2015,NULL
"ASIM SALEH ABDULKADER AMBAH",directors,"AMBAH IP LIMITED",23/12/2015,NULL
"ASIM SALEH ABDULKADER AMBAH","legal representatives","AMBAH IP LIMITED",23/12/2015,NULL
"ASIM SALEH ABDULKADER AMBAH","judicial representatives","AMBAH IP LIMITED",23/12/2015,NULL
"ASIM SALEH ABDULKADER AMBAH",secretaries,"AMBAH IP LIMITED",23/12/2015,NULL
"WALEED FAROOQ A. ALDAWOOD",directors,"ALULA LIMITED",05/11/2010,NULL
"WALEED FAROOQ A. ALDAWOOD","legal representatives","ALULA LIMITED",05/11/2010,NULL
"WALEED FAROOQ A. ALDAWOOD","judicial representatives","ALULA LIMITED",05/11/2010,NULL
"SYED SAEED ATHAR",directors,"ALPHA PRIME INTERNATIONAL LTD",20/03/2001,NULL
"ABDUL FATTAH",directors,"ALPHA PRIME INTERNATIONAL LTD",20/03/2001,NULL
"MAHMOOD BAQI MOULVI",directors,"ALPHA PRIME INTERNATIONAL LTD",20/03/2001,NULL
"SYED SAEED ATHAR",shareholders,"ALPHA PRIME INTERNATIONAL LTD",20/03/2001,NULL
"ABDUL FATTAH",shareholders,"ALPHA PRIME INTERNATIONAL LTD",20/03/2001,NULL
"AHMED MOHAMMED SOROUR",directors,"AL-KWATHER MARITIME COMPANY LIMITED",23/07/1987,NULL
"WALEED FAROOQ A. ALDAWOOD",directors,"AL ZUBARA LIMITED",07/08/2013,NULL
"WALEED FAROOQ A. ALDAWOOD","legal representatives","AL ZUBARA LIMITED",07/08/2013,NULL
"WALEED FAROOQ A. ALDAWOOD","judicial representatives","AL ZUBARA LIMITED",07/08/2013,NULL
"WALEED FAROOQ A. ALDAWOOD",directors,"AL RIFFA LIMITED",05/11/2010,NULL
"WALEED FAROOQ A. ALDAWOOD","legal representatives","AL RIFFA LIMITED",05/11/2010,NULL
"WALEED FAROOQ A. ALDAWOOD","judicial representatives","AL RIFFA LIMITED",05/11/2010,NULL
"WALEED FAROOQ A. ALDAWOOD",directors,"AL NEFUD LIMITED",07/08/2013,NULL
"WALEED FAROOQ A. ALDAWOOD","legal representatives","AL NEFUD LIMITED",07/08/2013,NULL
"WALEED FAROOQ A. ALDAWOOD","judicial representatives","AL NEFUD LIMITED",07/08/2013,NULL
"WALEED FAROOQ A. ALDAWOOD",directors,"AL MURAYKH LIMITED",07/08/2013,NULL
"WALEED FAROOQ A. ALDAWOOD","legal representatives","AL MURAYKH LIMITED",07/08/2013,NULL
"WALEED FAROOQ A. ALDAWOOD","judicial representatives","AL MURAYKH LIMITED",07/08/2013,NULL
"WALEED FAROOQ A. ALDAWOOD",directors,"AL DAHNA LIMITED",07/08/2013,NULL
"WALEED FAROOQ A. ALDAWOOD","legal representatives","AL DAHNA LIMITED",07/08/2013,NULL
"WALEED FAROOQ A. ALDAWOOD","judicial representatives","AL DAHNA LIMITED",07/08/2013,NULL
"WALEED FAROOQ A. ALDAWOOD",directors,"AIN ESNAN LIMITED",17/01/2011,NULL
"WALEED FAROOQ A. ALDAWOOD","legal representatives","AIN ESNAN LIMITED",17/01/2011,NULL
"WALEED FAROOQ A. ALDAWOOD","judicial representatives","AIN ESNAN LIMITED",17/01/2011,NULL
"ABDULAZIZ MOHAMMED A ALRAWAF",directors,"BERLIN REAL ESTATE INVESTMENTS LIMITED",01/03/2016,NULL
"SAUD MOHAMMED Z ALARIFI",shareholders,"BERLIN REAL ESTATE INVESTMENTS LIMITED",01/03/2016,NULL
"ABDULAZIZ MOHAMMED A ALRAWAF",shareholders,"BERLIN REAL ESTATE INVESTMENTS LIMITED",01/03/2016,NULL
"ABDULAZIZ ABDULRAMAN M ALYABES",shareholders,"BERLIN REAL ESTATE INVESTMENTS LIMITED",01/03/2016,NULL
"ABDULAZIZ MOHAMMED A ALRAWAF","legal representatives","BERLIN REAL ESTATE INVESTMENTS LIMITED",01/03/2016,NULL
"ABDULAZIZ MOHAMMED A ALRAWAF","judicial representatives","BERLIN REAL ESTATE INVESTMENTS LIMITED",01/03/2016,NULL
"SAMAUAL ABDULLAH T. BAKHSH",shareholders,"BEECHBROOK LIMITED",18/03/2015,NULL
"WALEED FAROOQ A ALDAWOOD",directors,"BARZAN LIMITED",07/08/2013,NULL
"WALEED FAROOQ A ALDAWOOD","legal representatives","BARZAN LIMITED",07/08/2013,NULL
"WALEED FAROOQ A ALDAWOOD","judicial representatives","BARZAN LIMITED",07/08/2013,NULL
"KHALID ABDULRAHMAN O. HASSAN",directors,"CREGLAN LTD",11/08/2016,NULL
"KHALID ABDULRAHMAN O. HASSAN",shareholders,"CREGLAN LTD",11/08/2016,NULL
"KHALID ABDULRAHMAN O. HASSAN","legal representatives","CREGLAN LTD",11/08/2016,NULL
"KHALID ABDULRAHMAN O. HASSAN","judicial representatives","CREGLAN LTD",11/08/2016,NULL
"ABDULJALEEL ABDULLAH H. ALKHALIFA",directors,"DRAGON OIL (HOLDINGS) LIMITED",11/11/2008,NULL
"ABDULJALEEL ABDULLAH H. ALKHALIFA","legal representatives","DRAGON OIL (HOLDINGS) LIMITED",11/11/2008,NULL
"ABDULJALEEL ABDULLAH H. ALKHALIFA","judicial representatives","DRAGON OIL (HOLDINGS) LIMITED",11/11/2008,NULL
"SALEH ALFURAIH",directors,"EntraWorld p.l.c.",25/02/2011,"In Dissolution"
"SALEH ALFURAIH",shareholders,"EntraWorld p.l.c.",25/02/2011,"In Dissolution"
"FAHAD MOHAMMED S. ALATHEL",directors,"ELEMENTS YACHTING LIMITED",07/03/2012,NULL
"FAHAD MOHAMMED S. ALATHEL",shareholders,"ELEMENTS YACHTING LIMITED",07/03/2012,NULL
"FAHAD MOHAMMED S. ALATHEL","legal representatives","ELEMENTS YACHTING LIMITED",07/03/2012,NULL
"FAHAD MOHAMMED S. ALATHEL","judicial representatives","ELEMENTS YACHTING LIMITED",07/03/2012,NULL
"MOHAMMED GASSAN A. ALBAKRI",directors,"FUTURE NAVIGATION MALTA LIMITED",05/08/2010,NULL
