name,type,company_name,registration_date,status
"MIROLJUB CVETKOVIC",directors,"2MALTA RU LIMITED",09/06/2014,NULL
"MIROLJUB CVETKOVIC",shareholders,"2MALTA RU LIMITED",09/06/2014,NULL
"MIROLJUB CVETKOVIC","legal representatives","2MALTA RU LIMITED",09/06/2014,NULL
"MIROLJUB CVETKOVIC","judicial representatives","2MALTA RU LIMITED",09/06/2014,NULL
"GORAN ALEKSIC",directors,"4Kings Limited",04/02/2013,NULL
"RADOMIR DELIC",directors,"4Kings Limited",04/02/2013,NULL
"GORAN ALEKSIC",shareholders,"4Kings Limited",04/02/2013,NULL
"RADOMIR DELIC",shareholders,"4Kings Limited",04/02/2013,NULL
"GORAN ALEKSIC","legal representatives","4Kings Limited",04/02/2013,NULL
"RADOMIR DELIC","legal representatives","4Kings Limited",04/02/2013,NULL
"GORAN ALEKSIC","judicial representatives","4Kings Limited",04/02/2013,NULL
"RADOMIR DELIC","judicial representatives","4Kings Limited",04/02/2013,NULL
"AIDA DJAKOV",directors,"ATKEY LIMITED",22/12/2014,NULL
"AIDA DJAKOV","legal representatives","ATKEY LIMITED",22/12/2014,NULL
"AIDA DJAKOV","judicial representatives","ATKEY LIMITED",22/12/2014,NULL
"DENIC DUSAN",shareholders,"ALLERGY & BIOMEDICAL LIMITED",05/01/2012,NULL
"AIDA DJAKOV",directors,"AFARAK TRADING LIMITED",09/01/2008,NULL
"AIDA DJAKOV","legal representatives","AFARAK TRADING LIMITED",09/01/2008,NULL
"AIDA DJAKOV","judicial representatives","AFARAK TRADING LIMITED",09/01/2008,NULL
"RADOVAN JOVANOVIC",directors,"BTK COMPANY LTD",03/12/2015,NULL
"BILJANA SPIRIC",directors,"BTK COMPANY LTD",03/12/2015,NULL
"BILJANA SPIRIC",shareholders,"BTK COMPANY LTD",03/12/2015,NULL
"RADOVAN JOVANOVIC","legal representatives","BTK COMPANY LTD",03/12/2015,NULL
"BILJANA SPIRIC","legal representatives","BTK COMPANY LTD",03/12/2015,NULL
"RADOVAN JOVANOVIC","judicial representatives","BTK COMPANY LTD",03/12/2015,NULL
"BILJANA SPIRIC","judicial representatives","BTK COMPANY LTD",03/12/2015,NULL
"MIRKO UROSEVIC",directors,"BNB YACHTS LIMITED",04/07/2016,NULL
"MIRKO UROSEVIC",shareholders,"BNB YACHTS LIMITED",04/07/2016,NULL
"MIRKO UROSEVIC","legal representatives","BNB YACHTS LIMITED",04/07/2016,NULL
"MIRKO UROSEVIC","judicial representatives","BNB YACHTS LIMITED",04/07/2016,NULL
"ZORAN RANKOVIC",directors,"BIG BLUE LTD.",16/05/2007,NULL
"ZORAN RANKOVIC",shareholders,"BIG BLUE LTD.",16/05/2007,NULL
"ZORAN RANKOVIC","legal representatives","BIG BLUE LTD.",16/05/2007,NULL
"ZORAN RANKOVIC","judicial representatives","BIG BLUE LTD.",16/05/2007,NULL
"DEJAN LEKIC",directors,"BETTBET.COM LIMITED",27/08/2008,NULL
"DEJAN LEKIC",shareholders,"BETTBET.COM LIMITED",27/08/2008,NULL
"DEJAN LEKIC","legal representatives","BETTBET.COM LIMITED",27/08/2008,NULL
"DEJAN LEKIC","judicial representatives","BETTBET.COM LIMITED",27/08/2008,NULL
"DEJAN LEKIC",directors,"BETTBET HOLDING LIMITED",27/08/2008,NULL
"DEJAN LEKIC",shareholders,"BETTBET HOLDING LIMITED",27/08/2008,NULL
"DEJAN LEKIC","legal representatives","BETTBET HOLDING LIMITED",27/08/2008,NULL
"DEJAN LEKIC","judicial representatives","BETTBET HOLDING LIMITED",27/08/2008,NULL
"BRANISLAV BOKUR",directors,"BCB SOLUTION LTD.",05/11/2004,NULL
"BOBAN STEFANOVIC",directors,"BCB SOLUTION LTD.",05/11/2004,NULL
"BRANISLAV BOKUR",shareholders,"BCB SOLUTION LTD.",05/11/2004,NULL
"BOBAN STEFANOVIC",shareholders,"BCB SOLUTION LTD.",05/11/2004,NULL
"BRANISLAV BOKUR","legal representatives","BCB SOLUTION LTD.",05/11/2004,NULL
"BOBAN STEFANOVIC","legal representatives","BCB SOLUTION LTD.",05/11/2004,NULL
"BRANISLAV BOKUR","judicial representatives","BCB SOLUTION LTD.",05/11/2004,NULL
"BOBAN STEFANOVIC","judicial representatives","BCB SOLUTION LTD.",05/11/2004,NULL
"BOBAN STEFANOVIC",secretaries,"BCB SOLUTION LTD.",05/11/2004,NULL
"ALEKSANDAR RISTIC",directors,"CREATIVE EUROPE LIMITED",08/07/2005,NULL
"ALEKSANDAR RISTIC",shareholders,"CREATIVE EUROPE LIMITED",08/07/2005,NULL
"ALEKSANDAR RISTIC","legal representatives","CREATIVE EUROPE LIMITED",08/07/2005,NULL
"ALEKSANDAR RISTIC","judicial representatives","CREATIVE EUROPE LIMITED",08/07/2005,NULL
"ALEKSANDAR RISTIC",secretaries,"CREATIVE EUROPE LIMITED",08/07/2005,NULL
"SKORIC SLOBODAN",directors,"CONTINENTAL ALIENS DESIGN LTD",13/11/2007,NULL
"SKORIC SLOBODAN",shareholders,"CONTINENTAL ALIENS DESIGN LTD",13/11/2007,NULL
"SKORIC SLOBODAN","legal representatives","CONTINENTAL ALIENS DESIGN LTD",13/11/2007,NULL
"SKORIC SLOBODAN","judicial representatives","CONTINENTAL ALIENS DESIGN LTD",13/11/2007,NULL
"SKORIC SLOBODAN",secretaries,"CONTINENTAL ALIENS DESIGN LTD",13/11/2007,NULL
"RADOS RUBAKOVIC",directors,"COFIS EXPORT-IMPORT CO. LIMITED",30/12/2008,NULL
"RADOS RUBAKOVIC",shareholders,"COFIS EXPORT-IMPORT CO. LIMITED",30/12/2008,NULL
"RADOS RUBAKOVIC","legal representatives","COFIS EXPORT-IMPORT CO. LIMITED",30/12/2008,NULL
"RADOS RUBAKOVIC","judicial representatives","COFIS EXPORT-IMPORT CO. LIMITED",30/12/2008,NULL
"RADOS RUBAKOVIC",secretaries,"COFIS EXPORT-IMPORT CO. LIMITED",30/12/2008,NULL
"ALEKSANDAR LJUBOJEVIC",directors,"CITE CONSULTANCY LIMITED",24/07/2007,"In Dissolution"
"ALEKSANDAR LJUBOJEVIC",shareholders,"CITE CONSULTANCY LIMITED",24/07/2007,"In Dissolution"
"ALEKSANDAR LJUBOJEVIC","legal representatives","CITE CONSULTANCY LIMITED",24/07/2007,"In Dissolution"
"MARIJA KESIC",shareholders,"CHEMO-MEDICA LTD",03/10/2012,NULL
"IVANA MARKOVIC DENIC",shareholders,"CHEMO-MEDICA LTD",03/10/2012,NULL
"MIROSLAV STANOJEVIC",directors,"CARVEL MALTA LIMITED",18/09/2015,NULL
"MIROSLAV STANOJEVIC",shareholders,"CARVEL MALTA LIMITED",18/09/2015,NULL
"MIROSLAV STANOJEVIC","legal representatives","CARVEL MALTA LIMITED",18/09/2015,NULL
"MIROSLAV STANOJEVIC","judicial representatives","CARVEL MALTA LIMITED",18/09/2015,NULL
"RADOVAN SLIJEPCEVIC",directors,"DOA CHARTER LIMITED",10/06/2011,NULL
"RADOVAN SLIJEPCEVIC",shareholders,"DOA CHARTER LIMITED",10/06/2011,NULL
"RADOVAN SLIJEPCEVIC","legal representatives","DOA CHARTER LIMITED",10/06/2011,NULL
"RADOVAN SLIJEPCEVIC","judicial representatives","DOA CHARTER LIMITED",10/06/2011,NULL
"ZONA IVANOVIC",directors,"DIP COMPANY LTD.",20/07/2016,NULL
