name,type,company_name,registration_date,status
"CELIA ABIGAIL BOUDRI REDWOOD-SAWYERR",directors,"ANGLOGOLD FINANCE AUSTRALIA LIMITED",21/12/2000,NULL
"CELIA ABIGAIL BOUDRI REDWOOD-SAWYERR","legal representatives","ANGLOGOLD FINANCE AUSTRALIA LIMITED",21/12/2000,NULL
"CELIA ABIGAIL BOUDRI REDWOOD-SAWYERR","judicial representatives","ANGLOGOLD FINANCE AUSTRALIA LIMITED",21/12/2000,NULL
"CELIA ABIGAIL BOUDRI REDWOOD-SAWYERR",directors,"ANGLOGOLD FINANCE AUSTRALIA HOLDINGS LIMITED",20/12/2000,NULL
"CELIA ABIGAIL BOUDRI REDWOOD-SAWYERR","legal representatives","ANGLOGOLD FINANCE AUSTRALIA HOLDINGS LIMITED",20/12/2000,NULL
"CELIA ABIGAIL BOUDRI REDWOOD-SAWYERR","judicial representatives","ANGLOGOLD FINANCE AUSTRALIA HOLDINGS LIMITED",20/12/2000,NULL
"ALIEU B. MUCKTARRU-KALLAY",directors,"MALTA SIERRA LEONE INVESTMENTS TRADING COMPANY LIMITED",13/03/2012,NULL
"ALIEU B. MUCKTARRU-KALLAY",shareholders,"MALTA SIERRA LEONE INVESTMENTS TRADING COMPANY LIMITED",13/03/2012,NULL
"ALIEU B. MUCKTARRU-KALLAY","legal representatives","MALTA SIERRA LEONE INVESTMENTS TRADING COMPANY LIMITED",13/03/2012,NULL
"ALIEU B. MUCKTARRU-KALLAY","judicial representatives","MALTA SIERRA LEONE INVESTMENTS TRADING COMPANY LIMITED",13/03/2012,NULL
