name,type,company_name,registration_date,status
"ROBIN ONG ENG JIN",directors,"(SIH) Star Invest Holdings Limited",01/07/2013,NULL
"ROBIN ONG ENG JIN","legal representatives","(SIH) Star Invest Holdings Limited",01/07/2013,NULL
"ROBIN ONG ENG JIN","judicial representatives","(SIH) Star Invest Holdings Limited",01/07/2013,NULL
"DEVANANDAN KIZHAKKOOT KUNJAYYAPPAN",directors,"AVANTGARDE TANKERS LTD",12/02/2015,NULL
"DEVANANDAN KIZHAKKOOT KUNJAYYAPPAN","legal representatives","AVANTGARDE TANKERS LTD",12/02/2015,NULL
"DEVANANDAN KIZHAKKOOT KUNJAYYAPPAN","judicial representatives","AVANTGARDE TANKERS LTD",12/02/2015,NULL
"KOK FAI KONG",directors,"ASM ASSEMBLY EQUIPMENT MALTA LIMITED",29/09/2000,NULL
"KOK FAI KONG","legal representatives","ASM ASSEMBLY EQUIPMENT MALTA LIMITED",29/09/2000,NULL
"KOK FAI KONG","judicial representatives","ASM ASSEMBLY EQUIPMENT MALTA LIMITED",29/09/2000,NULL
"JENAGI RATNAM",directors,"ARANCO LINE SHIPPING COMPANY LIMITED",25/08/1986,NULL
"NADESAN RATNAM",directors,"ARANCO LINE SHIPPING COMPANY LIMITED",25/08/1986,NULL
"CHIA PUAY SAN",directors,"AQUANOVA LIMITED",19/05/2014,NULL
"CHIA PUAY SAN","legal representatives","AQUANOVA LIMITED",19/05/2014,NULL
"CHIA PUAY SAN","judicial representatives","AQUANOVA LIMITED",19/05/2014,NULL
"SIAW KIN YEOW",directors,"ALOHA CONSTRUCTION LIMITED",27/04/2004,NULL
"SIAW KIN YEOW","judicial representatives","ALOHA CONSTRUCTION LIMITED",27/04/2004,NULL
"CHARIS LEE TING LI",shareholders,"AKIN HOLDINGS INTERNATIONAL LIMITED",09/08/2012,NULL
"TAY KAY HAN",directors,"ADVAITA TRADE PRIVATE LIMITED",26/08/2014,NULL
"MAHESH S/O PULANDARAN",directors,"ADVAITA TRADE PRIVATE LIMITED",26/08/2014,NULL
"MAHESH S/O PULANDARAN","legal representatives","ADVAITA TRADE PRIVATE LIMITED",26/08/2014,NULL
"MAHESH S/O PULANDARAN","judicial representatives","ADVAITA TRADE PRIVATE LIMITED",26/08/2014,NULL
"TOH GEOK HONG",secretaries,"ADVAITA TRADE PRIVATE LIMITED",26/08/2014,NULL
"RAVI BABU CHILUKURI",directors,"BIOFUELS INTERNATIONAL LIMITED",09/01/2008,NULL
"RAVI BABU CHILUKURI",shareholders,"BIOFUELS INTERNATIONAL LIMITED",09/01/2008,NULL
"RAVI BABU CHILUKURI","legal representatives","BIOFUELS INTERNATIONAL LIMITED",09/01/2008,NULL
"RAVI BABU CHILUKURI","judicial representatives","BIOFUELS INTERNATIONAL LIMITED",09/01/2008,NULL
"RAVI BABU CHILUKURI",directors,"BIOFUELS HOLDINGS (HUNGARY) LIMITED",17/03/2008,NULL
"RAVI BABU CHILUKURI","legal representatives","BIOFUELS HOLDINGS (HUNGARY) LIMITED",17/03/2008,NULL
"RAVI BABU CHILUKURI","judicial representatives","BIOFUELS HOLDINGS (HUNGARY) LIMITED",17/03/2008,NULL
"ALN LIM CHOI HWEE",directors,"BARITON PTE LTD",26/01/2010,NULL
"ROBIN ONG ENG JIN",directors,"CONSUMER PREFERRED CHOICE LIMITED",15/09/2016,NULL
"ROBIN ONG ENG JIN","legal representatives","CONSUMER PREFERRED CHOICE LIMITED",15/09/2016,NULL
"ROBIN ONG ENG JIN","judicial representatives","CONSUMER PREFERRED CHOICE LIMITED",15/09/2016,NULL
"ROBIN ONG ENG JIN",directors,"CONNECT IMPROVEMENT LIMITED",18/03/2014,NULL
"ROBIN ONG ENG JIN","legal representatives","CONNECT IMPROVEMENT LIMITED",18/03/2014,NULL
"ROBIN ONG ENG JIN","judicial representatives","CONNECT IMPROVEMENT LIMITED",18/03/2014,NULL
"ROBIN ONG ENG JIN",directors,"COMPLETE LOGISTIC SOLUTIONS LIMITED",15/09/2016,NULL
"ROBIN ONG ENG JIN","legal representatives","COMPLETE LOGISTIC SOLUTIONS LIMITED",15/09/2016,NULL
"ROBIN ONG ENG JIN","judicial representatives","COMPLETE LOGISTIC SOLUTIONS LIMITED",15/09/2016,NULL
"ROBIN ONG ENG JIN",directors,"CLARITY INVESTMENTS LIMITED",18/12/2014,NULL
"ROBIN ONG ENG JIN","legal representatives","CLARITY INVESTMENTS LIMITED",18/12/2014,NULL
"ROBIN ONG ENG JIN","judicial representatives","CLARITY INVESTMENTS LIMITED",18/12/2014,NULL
"ROBIN ONG ENG JIN",directors,"CAPITAL STRENGTH LIMITED",18/11/2014,NULL
"ROBIN ONG ENG JIN","legal representatives","CAPITAL STRENGTH LIMITED",18/11/2014,NULL
"ROBIN ONG ENG JIN","judicial representatives","CAPITAL STRENGTH LIMITED",18/11/2014,NULL
"KISHORE KUMAR JAIKISHIN BUXANI",directors,"EP CAPITAL LIMITED",27/07/2016,NULL
"KISHORE KUMAR JAIKISHIN BUXANI",shareholders,"EP CAPITAL LIMITED",27/07/2016,NULL
"KISHORE KUMAR JAIKISHIN BUXANI","legal representatives","EP CAPITAL LIMITED",27/07/2016,NULL
"KISHORE KUMAR JAIKISHIN BUXANI","judicial representatives","EP CAPITAL LIMITED",27/07/2016,NULL
"MEDELEINE SOR LIAN CHEAH",directors,"FLOREN INVESTMENTS LIMITED",19/01/2005,NULL
"MEDELEINE SOR LIAN CHEAH",shareholders,"FLOREN INVESTMENTS LIMITED",19/01/2005,NULL
"MEDELEINE SOR LIAN CHEAH","legal representatives","FLOREN INVESTMENTS LIMITED",19/01/2005,NULL
"MEDELEINE SOR LIAN CHEAH","judicial representatives","FLOREN INVESTMENTS LIMITED",19/01/2005,NULL
"ROBIN ONG ENG JIN",directors,"Guardian Holdings Limited",23/07/2012,NULL
"ROBIN ONG ENG JIN","legal representatives","Guardian Holdings Limited",23/07/2012,NULL
"ROBIN ONG ENG JIN","judicial representatives","Guardian Holdings Limited",23/07/2012,NULL
"TAN FUH GIH",directors,"GSP ORIZONT LTD",19/06/2007,NULL
"TANG KHENG GUAN KELVIN",directors,"GSP ORIZONT LTD",19/06/2007,NULL
"LEE KON MENG",directors,"GSP ORIZONT LTD",19/06/2007,NULL
"TAN FUH GIH",shareholders,"GSP ORIZONT LTD",19/06/2007,NULL
"TAN FUH GIH","legal representatives","GSP ORIZONT LTD",19/06/2007,NULL
"TANG KHENG GUAN KELVIN","legal representatives","GSP ORIZONT LTD",19/06/2007,NULL
"LEE KON MENG","legal representatives","GSP ORIZONT LTD",19/06/2007,NULL
"TAN FUH GIH","judicial representatives","GSP ORIZONT LTD",19/06/2007,NULL
"TANG KHENG GUAN KELVIN","judicial representatives","GSP ORIZONT LTD",19/06/2007,NULL
"LEE KON MENG","judicial representatives","GSP ORIZONT LTD",19/06/2007,NULL
"TAN FUH GIH",directors,"GSP ATLAS LTD",19/06/2007,NULL
"TANG KHENG GUAN KELVIN",directors,"GSP ATLAS LTD",19/06/2007,NULL
"LEE KON MENG",directors,"GSP ATLAS LTD",19/06/2007,NULL
"TAN FUH GIH",shareholders,"GSP ATLAS LTD",19/06/2007,NULL
"TAN FUH GIH","legal representatives","GSP ATLAS LTD",19/06/2007,NULL
"TANG KHENG GUAN KELVIN","legal representatives","GSP ATLAS LTD",19/06/2007,NULL
"LEE KON MENG","legal representatives","GSP ATLAS LTD",19/06/2007,NULL
"TAN FUH GIH","judicial representatives","GSP ATLAS LTD",19/06/2007,NULL
"TANG KHENG GUAN KELVIN","judicial representatives","GSP ATLAS LTD",19/06/2007,NULL
"LEE KON MENG","judicial representatives","GSP ATLAS LTD",19/06/2007,NULL
"YVONNE LOW",directors,"GROW WEALTH SICAV PLC",22/12/2011,NULL
"YVONNE LOW",shareholders,"GROW WEALTH SICAV PLC",22/12/2011,NULL
"YVONNE LOW","legal representatives","GROW WEALTH SICAV PLC",22/12/2011,NULL
"YVONNE LOW","judicial representatives","GROW WEALTH SICAV PLC",22/12/2011,NULL
"SIM BOON KWANG",directors,"GOLDEN SANDS RESORT LIMITED",05/12/2002,NULL
"SIM BOON KWANG","legal representatives","GOLDEN SANDS RESORT LIMITED",05/12/2002,NULL
"SIM BOON KWANG","judicial representatives","GOLDEN SANDS RESORT LIMITED",05/12/2002,NULL
"Tian Bo",shareholders,"GM GROUP P.L.C.",20/02/2015,NULL
"Heidryn Cheong",shareholders,"GM GROUP P.L.C.",20/02/2015,NULL
"Lin Hanqiang",shareholders,"GM GROUP P.L.C.",20/02/2015,NULL
"Amir Anna Kelem",shareholders,"GM GROUP P.L.C.",20/02/2015,NULL
"Jacky Liang",shareholders,"GM GROUP P.L.C.",20/02/2015,NULL
"So Chen Linda Lim",shareholders,"GM GROUP P.L.C.",20/02/2015,NULL
"Aye Mi San",shareholders,"GM GROUP P.L.C.",20/02/2015,NULL
"Gloren Reyes",shareholders,"GM GROUP P.L.C.",20/02/2015,NULL
"Thor Hui Ting",shareholders,"GM GROUP P.L.C.",20/02/2015,NULL
"Francis Yang",shareholders,"GM GROUP P.L.C.",20/02/2015,NULL
"Nyein Thwin Zaw",shareholders,"GM GROUP P.L.C.",20/02/2015,NULL
"TRUDY TAN CHING ER",shareholders,"GLOBAL DIGITAL SERVICES PLC",19/12/2012,NULL
"ERIC WOO SEN FONG",directors,"ISERVE SOLUTIONS LTD",30/08/2016,NULL
"ERIC WOO SEN FONG",shareholders,"ISERVE SOLUTIONS LTD",30/08/2016,NULL
"ERIC WOO SEN FONG","legal representatives","ISERVE SOLUTIONS LTD",30/08/2016,NULL
"ERIC WOO SEN FONG","judicial representatives","ISERVE SOLUTIONS LTD",30/08/2016,NULL
