name,type,company_name,registration_date,status
"VARTAN IBRANYAN YERECYAN",shareholders,"@TEAM INVESTMENT LIMITED",27/06/2014,NULL
"SYLVIA BERNADETTE DE GUZMAN GONZALEZ",directors,"11.11. HOLDINGS (MALTA) LIMITED",12/05/2011,NULL
"SYLVIA BERNADETTE DE GUZMAN GONZALEZ",shareholders,"11.11. HOLDINGS (MALTA) LIMITED",12/05/2011,NULL
"SYLVIA BERNADETTE DE GUZMAN GONZALEZ","legal representatives","11.11. HOLDINGS (MALTA) LIMITED",12/05/2011,NULL
"SYLVIA BERNADETTE DE GUZMAN GONZALEZ","judicial representatives","11.11. HOLDINGS (MALTA) LIMITED",12/05/2011,NULL
"JOAQUIN EDO SILVESTRE",directors,"440 MEDIA GROUP LIMITED",20/06/2012,NULL
"JOAQUIN EDO SILVESTRE","legal representatives","440 MEDIA GROUP LIMITED",20/06/2012,NULL
"JOAQUIN EDO SILVESTRE","judicial representatives","440 MEDIA GROUP LIMITED",20/06/2012,NULL
"ANDY DAYVIS MATOS AZANERO",directors,"AZAS HOLDINGS LIMITED",25/03/2015,NULL
"ANDY DAYVIS MATOS AZANERO","legal representatives","AZAS HOLDINGS LIMITED",25/03/2015,NULL
"ANDY DAYVIS MATOS AZANERO","judicial representatives","AZAS HOLDINGS LIMITED",25/03/2015,NULL
"ANDY DAYVIS MATOS AZANERO",secretaries,"AZAS HOLDINGS LIMITED",25/03/2015,NULL
"NELSON LOPEZ CENTENO",directors,"AWS Malta Ltd",12/02/2014,NULL
"Alberto LLANEZA MARTIN",directors,"AUDENTIA CAPITAL SICAV PLC",26/10/2011,NULL
"Alberto LLANEZA MARTIN","legal representatives","AUDENTIA CAPITAL SICAV PLC",26/10/2011,NULL
"Alberto LLANEZA MARTIN","judicial representatives","AUDENTIA CAPITAL SICAV PLC",26/10/2011,NULL
"ALBERTO LLANEZA MARTIN",directors,"AUDENTIA CAPITAL SICAV II PLC",16/11/2015,NULL
"JORGE RODRIGUEZ MODRONO",directors,"AUDENTIA CAPITAL SICAV II PLC",16/11/2015,NULL
"JORGE RODRIGUEZ MODRONO",shareholders,"AUDENTIA CAPITAL SICAV II PLC",16/11/2015,NULL
"ALBERTO LLANEZA MARTIN","legal representatives","AUDENTIA CAPITAL SICAV II PLC",16/11/2015,NULL
"JORGE RODRIGUEZ MODRONO","legal representatives","AUDENTIA CAPITAL SICAV II PLC",16/11/2015,NULL
"ALBERTO LLANEZA MARTIN","judicial representatives","AUDENTIA CAPITAL SICAV II PLC",16/11/2015,NULL
"JORGE RODRIGUEZ MODRONO","judicial representatives","AUDENTIA CAPITAL SICAV II PLC",16/11/2015,NULL
