name,type,company_name,registration_date,status
"MAMDOUH ALTLLAS",directors,"AMIR LTD",07/11/2014,NULL
"MAMDOUH ALTLLAS",shareholders,"AMIR LTD",07/11/2014,NULL
"MAMDOUH ALTLLAS","legal representatives","AMIR LTD",07/11/2014,NULL
"MAMDOUH ALTLLAS","judicial representatives","AMIR LTD",07/11/2014,NULL
"MAMDOUH ALTLLAS",secretaries,"AMIR LTD",07/11/2014,NULL
"HASSAN RAWI SMIR",directors,"ALZAFRI EXPORTS LIMITED",16/04/1999,NULL
"HASSAN RAWI SMIR","judicial representatives","ALZAFRI EXPORTS LIMITED",16/04/1999,NULL
"HASSAN RAWI SMIR",secretaries,"ALZAFRI EXPORTS LIMITED",16/04/1999,NULL
"MAMDOUH ALTLLAS",directors,"ALTLLAS CO. LTD",11/10/2011,"In Dissolution"
"MAMDOUH ALTLLAS",shareholders,"ALTLLAS CO. LTD",11/10/2011,"In Dissolution"
"MAMDOUH ALTLLAS","legal representatives","ALTLLAS CO. LTD",11/10/2011,"In Dissolution"
"MAMDOUH ALTLLAS","judicial representatives","ALTLLAS CO. LTD",11/10/2011,"In Dissolution"
"MAMDOUH ALTLLAS",secretaries,"ALTLLAS CO. LTD",11/10/2011,"In Dissolution"
"Maher Alakrami",directors,"ALSEHAM CO LTD",05/12/2014,NULL
"Maher Alakrami",shareholders,"ALSEHAM CO LTD",05/12/2014,NULL
"Maher Alakrami","legal representatives","ALSEHAM CO LTD",05/12/2014,NULL
"Maher Alakrami","judicial representatives","ALSEHAM CO LTD",05/12/2014,NULL
"Maher Alakrami",secretaries,"ALSEHAM CO LTD",05/12/2014,NULL
"ABDALLAH ABDULRAHMAN TABALO",directors,"ALMA-MYRA TRANSPORT LTD.",05/11/2001,NULL
"ALI RAED",directors,"ALI BROTHERS LIMITED",03/02/2010,NULL
"ALI RAED",shareholders,"ALI BROTHERS LIMITED",03/02/2010,NULL
"ALI RAED","legal representatives","ALI BROTHERS LIMITED",03/02/2010,NULL
"ALI RAED","judicial representatives","ALI BROTHERS LIMITED",03/02/2010,NULL
"ALI RAED",secretaries,"ALI BROTHERS LIMITED",03/02/2010,NULL
"AMER ALAYED",directors,"ALEPO EXPORT LTD.",05/10/2000,NULL
"KHALED ELABED",directors,"ALEPO EXPORT LTD.",05/10/2000,NULL
"YASSER HAMOUDALABED",directors,"ALEPO EXPORT LTD.",05/10/2000,NULL
"AMER ALAYED","judicial representatives","ALEPO EXPORT LTD.",05/10/2000,NULL
"KHALED ELABED","judicial representatives","ALEPO EXPORT LTD.",05/10/2000,NULL
"YASSER HAMOUDALABED","judicial representatives","ALEPO EXPORT LTD.",05/10/2000,NULL
"KHOLOUD ALBAGHDADI",directors,"ALBAGHDADI INTERNATIONAL LTD",12/07/2006,NULL
"KHOLOUD ALBAGHDADI",shareholders,"ALBAGHDADI INTERNATIONAL LTD",12/07/2006,NULL
"KHOLOUD ALBAGHDADI","legal representatives","ALBAGHDADI INTERNATIONAL LTD",12/07/2006,NULL
"KHOLOUD ALBAGHDADI","judicial representatives","ALBAGHDADI INTERNATIONAL LTD",12/07/2006,NULL
"KHOLOUD ALBAGHDADI",secretaries,"ALBAGHDADI INTERNATIONAL LTD",12/07/2006,NULL
"AHMAD AL ZAFRI",directors,"AL JAMAL GROUP OF COMPANIES LTD",15/01/2003,NULL
"MAHER AL ZAFRI",directors,"AL JAMAL GROUP OF COMPANIES LTD",15/01/2003,NULL
"AHMAD AL ZAFRI",shareholders,"AL JAMAL GROUP OF COMPANIES LTD",15/01/2003,NULL
"MAHER AL ZAFRI",shareholders,"AL JAMAL GROUP OF COMPANIES LTD",15/01/2003,NULL
"AHMAD AL ZAFRI","legal representatives","AL JAMAL GROUP OF COMPANIES LTD",15/01/2003,NULL
"MAHER AL ZAFRI","legal representatives","AL JAMAL GROUP OF COMPANIES LTD",15/01/2003,NULL
"AHMAD AL ZAFRI","judicial representatives","AL JAMAL GROUP OF COMPANIES LTD",15/01/2003,NULL
"MAHER AL ZAFRI","judicial representatives","AL JAMAL GROUP OF COMPANIES LTD",15/01/2003,NULL
"MAHER AL ZAFRI",secretaries,"AL JAMAL GROUP OF COMPANIES LTD",15/01/2003,NULL
"AHMAD MUSTAFA JOUHAR",directors,"AL FURAT SHIPPING CO. LTD",14/04/1998,"In Dissolution"
"ISMAIL EBDOU ABOD",directors,"AGIUS & ABOD (IMPORT EXPORT) LIMITED",04/11/2002,NULL
"ISMAIL EBDOU ABOD","judicial representatives","AGIUS & ABOD (IMPORT EXPORT) LIMITED",04/11/2002,NULL
"MOHAMAD AL SAJ",directors,"A.M. GLOBAL IMPEX LTD",12/06/2015,NULL
"MOHAMAD AL SAJ",shareholders,"A.M. GLOBAL IMPEX LTD",12/06/2015,NULL
"MOHAMAD AL SAJ","legal representatives","A.M. GLOBAL IMPEX LTD",12/06/2015,NULL
"MOHAMAD AL SAJ","judicial representatives","A.M. GLOBAL IMPEX LTD",12/06/2015,NULL
"MOHAMAD AL SAJ",secretaries,"A.M. GLOBAL IMPEX LTD",12/06/2015,NULL
"IBRAHIM AL SOULEIMAN",directors,"A.B.M.S. Gmbh",17/08/2015,NULL
"IBRAHIM AL SOULEIMAN","legal representatives","A.B.M.S. Gmbh",17/08/2015,NULL
"YASMIN SALOUM",directors,"BIEN ETRE COMPANY LIMITED",26/03/2004,NULL
"YASMIN SALOUM",shareholders,"BIEN ETRE COMPANY LIMITED",26/03/2004,NULL
"YASMIN SALOUM","judicial representatives","BIEN ETRE COMPANY LIMITED",26/03/2004,NULL
"HAMOUD ALASOUAD","judicial representatives","CHAIR EXPORT LIMITED",15/02/2002,NULL
"RIAD CHAIR","judicial representatives","CHAIR EXPORT LIMITED",15/02/2002,NULL
"RAMI ALNAMAT",directors,"DAMAS EXPORT LTD",05/10/2000,NULL
"MHD. MAHER BAHRI",directors,"DAMA GROUP INTERNATIONAL LIMITED",19/10/2009,NULL
"MHD. MAHER BAHRI",shareholders,"DAMA GROUP INTERNATIONAL LIMITED",19/10/2009,NULL
"MHD. MAHER BAHRI","legal representatives","DAMA GROUP INTERNATIONAL LIMITED",19/10/2009,NULL
"MHD. MAHER BAHRI","judicial representatives","DAMA GROUP INTERNATIONAL LIMITED",19/10/2009,NULL
"AHMED ALLOUSH",directors,"D & H ENTERPRISES LIMITED",01/12/2004,NULL
"HUSSEIN MOHAMMED NAASAN",directors,"D & H ENTERPRISES LIMITED",01/12/2004,NULL
"OSAMA MOHAMED NAASAN",directors,"D & H ENTERPRISES LIMITED",01/12/2004,NULL
"AHMED ALLOUSH",shareholders,"D & H ENTERPRISES LIMITED",01/12/2004,NULL
"IBRAHIM AMARA",shareholders,"D & H ENTERPRISES LIMITED",01/12/2004,NULL
"HUSSEIN MOHAMMED NAASAN",shareholders,"D & H ENTERPRISES LIMITED",01/12/2004,NULL
"OSAMA MOHAMED NAASAN",shareholders,"D & H ENTERPRISES LIMITED",01/12/2004,NULL
"HUSSEIN MOHAMMED NAASAN","legal representatives","D & H ENTERPRISES LIMITED",01/12/2004,NULL
"HUSSEIN MOHAMMED NAASAN","judicial representatives","D & H ENTERPRISES LIMITED",01/12/2004,NULL
"HUSSEIN MOHAMMED NAASAN",secretaries,"D & H ENTERPRISES LIMITED",01/12/2004,NULL
"ABDUL KADER SAMIN",directors,"EXPOMAR NAVIGATION LIMITED",27/04/2004,NULL
"ALI SAMIN",directors,"EXPOMAR NAVIGATION LIMITED",27/04/2004,NULL
"ABDUL KADER SAMIN",shareholders,"EXPOMAR NAVIGATION LIMITED",27/04/2004,NULL
"ALI SAMIN",shareholders,"EXPOMAR NAVIGATION LIMITED",27/04/2004,NULL
"ABDUL KADER SAMIN","legal representatives","EXPOMAR NAVIGATION LIMITED",27/04/2004,NULL
"ALI SAMIN","legal representatives","EXPOMAR NAVIGATION LIMITED",27/04/2004,NULL
"ABDUL KADER SAMIN","judicial representatives","EXPOMAR NAVIGATION LIMITED",27/04/2004,NULL
"ALI SAMIN","judicial representatives","EXPOMAR NAVIGATION LIMITED",27/04/2004,NULL
"BASSAM EL-AMAMI",directors,"EARTH RESOURCES INTERNATIONAL LIMITED",15/01/2013,NULL
"RACHA NASR",shareholders,"EARTH RESOURCES INTERNATIONAL LIMITED",15/01/2013,NULL
"BASSAM EL-AMAMI","legal representatives","EARTH RESOURCES INTERNATIONAL LIMITED",15/01/2013,NULL
"BASSAM EL-AMAMI","judicial representatives","EARTH RESOURCES INTERNATIONAL LIMITED",15/01/2013,NULL
"BASSAM EL-AMAMI",secretaries,"EARTH RESOURCES INTERNATIONAL LIMITED",15/01/2013,NULL
"ALBERT HANNA FADDUL",directors,"FABCO INTERNATIONAL LTD",30/04/2015,NULL
"FADLO HANNA FADDUL",directors,"FABCO INTERNATIONAL LTD",30/04/2015,NULL
"GEORGE HANNA FADDUL",directors,"FABCO INTERNATIONAL LTD",30/04/2015,NULL
"MICHEL HANNA FADOUL",directors,"FABCO INTERNATIONAL LTD",30/04/2015,NULL
"ALBERT HANNA FADDUL",shareholders,"FABCO INTERNATIONAL LTD",30/04/2015,NULL
"FADLO HANNA FADDUL",shareholders,"FABCO INTERNATIONAL LTD",30/04/2015,NULL
"GEORGE HANNA FADDUL",shareholders,"FABCO INTERNATIONAL LTD",30/04/2015,NULL
"MICHEL HANNA FADOUL",shareholders,"FABCO INTERNATIONAL LTD",30/04/2015,NULL
"ALBERT HANNA FADDUL","legal representatives","FABCO INTERNATIONAL LTD",30/04/2015,NULL
"FADLO HANNA FADDUL","legal representatives","FABCO INTERNATIONAL LTD",30/04/2015,NULL
"GEORGE HANNA FADDUL","legal representatives","FABCO INTERNATIONAL LTD",30/04/2015,NULL
"MICHEL HANNA FADOUL","legal representatives","FABCO INTERNATIONAL LTD",30/04/2015,NULL
"ALBERT HANNA FADDUL","judicial representatives","FABCO INTERNATIONAL LTD",30/04/2015,NULL
"FADLO HANNA FADDUL","judicial representatives","FABCO INTERNATIONAL LTD",30/04/2015,NULL
"GEORGE HANNA FADDUL","judicial representatives","FABCO INTERNATIONAL LTD",30/04/2015,NULL
"MICHEL HANNA FADOUL","judicial representatives","FABCO INTERNATIONAL LTD",30/04/2015,NULL
"MICHEL HANNA FADOUL",secretaries,"FABCO INTERNATIONAL LTD",30/04/2015,NULL
"MARWAN AL ZAEIM",directors,"GULF-COM MARINE LTD",05/10/2007,NULL
"AHMAD B AL ZAIM",directors,"GULF-COM MARINE LTD",05/10/2007,NULL
"MARWAN AL ZAEIM","legal representatives","GULF-COM MARINE LTD",05/10/2007,NULL
"AHMAD B AL ZAIM","legal representatives","GULF-COM MARINE LTD",05/10/2007,NULL
"MARWAN AL ZAEIM","judicial representatives","GULF-COM MARINE LTD",05/10/2007,NULL
"AHMAD B AL ZAIM","judicial representatives","GULF-COM MARINE LTD",05/10/2007,NULL
"BASSAM AL MAHMOUD",directors,"GULF BULK TRADE & LOGISTICS LIMITED",13/06/2011,NULL
"HASSAN AL MAHMOUD",directors,"GULF BULK TRADE & LOGISTICS LIMITED",13/06/2011,NULL
"BASSAM AL MAHMOUD",shareholders,"GULF BULK TRADE & LOGISTICS LIMITED",13/06/2011,NULL
"HASSAN AL MAHMOUD",shareholders,"GULF BULK TRADE & LOGISTICS LIMITED",13/06/2011,NULL
"BASSAM AL MAHMOUD","legal representatives","GULF BULK TRADE & LOGISTICS LIMITED",13/06/2011,NULL
"HASSAN AL MAHMOUD","legal representatives","GULF BULK TRADE & LOGISTICS LIMITED",13/06/2011,NULL
"BASSAM AL MAHMOUD","judicial representatives","GULF BULK TRADE & LOGISTICS LIMITED",13/06/2011,NULL
"HASSAN AL MAHMOUD","judicial representatives","GULF BULK TRADE & LOGISTICS LIMITED",13/06/2011,NULL
"HASSAN AL MAHMOUD",secretaries,"GULF BULK TRADE & LOGISTICS LIMITED",13/06/2011,NULL
"BATOUL YASSINE",directors,"GOLDEN 7 LIMITED",23/08/2012,NULL
"EMAD AHMAD SMEEN",directors,"GHINA MARINE LTD",28/12/2010,"In Dissolution"
"EMAD AHMAD SMEEN",shareholders,"GHINA MARINE LTD",28/12/2010,"In Dissolution"
"EMAD AHMAD SMEEN","legal representatives","GHINA MARINE LTD",28/12/2010,"In Dissolution"
"EMAD AHMAD SMEEN","judicial representatives","GHINA MARINE LTD",28/12/2010,"In Dissolution"
"HARMOUSH YASAN",directors,"HYH LIMITED",10/05/2013,NULL
"HARMOUSH YASAN",shareholders,"HYH LIMITED",10/05/2013,NULL
"HARMOUSH YASAN","legal representatives","HYH LIMITED",10/05/2013,NULL
"HARMOUSH YASAN","judicial representatives","HYH LIMITED",10/05/2013,NULL
"HARMOUSH YASAN",secretaries,"HYH LIMITED",10/05/2013,NULL
"MAHMOUD MS ALMOUSA",directors,"HOMS EXPORT LIMITED",15/02/2002,NULL
"MAHMOUD MS ALMOUSA","judicial representatives","HOMS EXPORT LIMITED",15/02/2002,NULL
"ISMAEL ABDULRAZZAK",directors,"HILA SHIPPING CO. LTD",08/06/2011,NULL
"ISMAEL MOURAD",directors,"HILA SHIPPING CO. LTD",08/06/2011,NULL
"ISMAEL ABDULRAZZAK","legal representatives","HILA SHIPPING CO. LTD",08/06/2011,NULL
"ISMAEL MOURAD","legal representatives","HILA SHIPPING CO. LTD",08/06/2011,NULL
"ISMAEL ABDULRAZZAK","judicial representatives","HILA SHIPPING CO. LTD",08/06/2011,NULL
"ISMAEL MOURAD","judicial representatives","HILA SHIPPING CO. LTD",08/06/2011,NULL
"ANWAR HAMIDA",directors,"HAMIDA TRADING SERVICES LIMITED",25/05/2005,NULL
"SAMER HAMIDA",directors,"HAMIDA TRADING SERVICES LIMITED",25/05/2005,NULL
"ANWAR HAMIDA",shareholders,"HAMIDA TRADING SERVICES LIMITED",25/05/2005,NULL
"ANWAR HAMIDA","legal representatives","HAMIDA TRADING SERVICES LIMITED",25/05/2005,NULL
"ANWAR HAMIDA","judicial representatives","HAMIDA TRADING SERVICES LIMITED",25/05/2005,NULL
"ANWAR HAMIDA",secretaries,"HAMIDA TRADING SERVICES LIMITED",25/05/2005,NULL
"MOURAD ISMAEL",directors,"H M NAVIGATION LIMITED",26/11/1997,NULL
"ABDULRAZZAK M. ISMAIL",shareholders,"H M NAVIGATION LIMITED",26/11/1997,NULL
"MOURAD ISMAEL","legal representatives","H M NAVIGATION LIMITED",26/11/1997,NULL
"MOURAD ISMAEL","judicial representatives","H M NAVIGATION LIMITED",26/11/1997,NULL
"MOULHAM HAJJAR",directors,"INTEROCREA CO. LIMITED",27/01/1999,NULL
"AHMED HUSSEIN",directors,"INTEROCREA CO. LIMITED",27/01/1999,NULL
"OMAR HUSSEIN",directors,"INTEROCREA CO. LIMITED",27/01/1999,NULL
"MOHAMMED SULAYMAN",directors,"INTEROCREA CO. LIMITED",27/01/1999,NULL
"AHMED MHANA",shareholders,"INTEROCREA CO. LIMITED",27/01/1999,NULL
"ABDEL RAHMAN SHIEKH",shareholders,"INTEROCREA CO. LIMITED",27/01/1999,NULL
"FADEL SHIEKH",shareholders,"INTEROCREA CO. LIMITED",27/01/1999,NULL
"MOHAMMED SULAYMAN",shareholders,"INTEROCREA CO. LIMITED",27/01/1999,NULL
"MOHAMMED SULAYMAN","legal representatives","INTEROCREA CO. LIMITED",27/01/1999,NULL
"MOHAMMED SULAYMAN","judicial representatives","INTEROCREA CO. LIMITED",27/01/1999,NULL
"AMMAR ARNAOUT",directors,"INTERNATIONAL PUBLISHING & CONSULTING GROUP LTD",22/01/2003,NULL
"ANAS ARNAOUT",directors,"INTERNATIONAL PUBLISHING & CONSULTING GROUP LTD",22/01/2003,NULL
"YASSER ARNAOUT",directors,"INTERNATIONAL PUBLISHING & CONSULTING GROUP LTD",22/01/2003,NULL
"AMMAR ARNAOUT","judicial representatives","INTERNATIONAL PUBLISHING & CONSULTING GROUP LTD",22/01/2003,NULL
"ANAS ARNAOUT","judicial representatives","INTERNATIONAL PUBLISHING & CONSULTING GROUP LTD",22/01/2003,NULL
"YASSER ARNAOUT","judicial representatives","INTERNATIONAL PUBLISHING & CONSULTING GROUP LTD",22/01/2003,NULL
"AMMAR ARNAOUT",secretaries,"INTERNATIONAL PUBLISHING & CONSULTING GROUP LTD",22/01/2003,NULL
"HUSSEIN IBRAHIM",directors,"INTERNATIONAL OVERSEAS SERVICES LTD.",12/02/2002,NULL
"MHD ATA AL ZAEEM",directors,"INTEGRATED PETROLEUM COMPANY LIMITED",16/01/2007,NULL
"MHD ATA AL ZAEEM","legal representatives","INTEGRATED PETROLEUM COMPANY LIMITED",16/01/2007,NULL
"MHD ATA AL ZAEEM","judicial representatives","INTEGRATED PETROLEUM COMPANY LIMITED",16/01/2007,NULL
"AIMAN FAOZI ALKABANI",directors,"IJET LIMITED",18/12/2014,NULL
"ADNAN GHASSAN BRANBO",directors,"IJET LIMITED",18/12/2014,NULL
"AIMAN FAOZI ALKABANI","legal representatives","IJET LIMITED",18/12/2014,NULL
"ADNAN GHASSAN BRANBO","legal representatives","IJET LIMITED",18/12/2014,NULL
