name,type,company_name,registration_date,status
"SOMBAT KITTIJAROENVECH",shareholders,"AQCUMEN RESOURCE MANAGEMENT LIMITED",17/02/2012,"In Dissolution"
"HARNJONG ONG EK IAM",directors,"AMARANTH LIMITED",28/02/2003,NULL
"HARNJONG ONG EK IAM","judicial representatives","AMARANTH LIMITED",28/02/2003,NULL
"CHUTIPA SRINAKORN",directors,"GREYHOUND INTERNATIONAL LTD.",06/04/2011,NULL
"CHUTIPA SRINAKORN",shareholders,"GREYHOUND INTERNATIONAL LTD.",06/04/2011,NULL
"CHUTIPA SRINAKORN","legal representatives","GREYHOUND INTERNATIONAL LTD.",06/04/2011,NULL
"CHUTIPA SRINAKORN","judicial representatives","GREYHOUND INTERNATIONAL LTD.",06/04/2011,NULL
"CHUTIPA SRINAKORN",secretaries,"GREYHOUND INTERNATIONAL LTD.",06/04/2011,NULL
"MANATSIKAN CHAROENMIT",directors,"ORIENTAL THAI SPA LIMITED",13/09/2007,NULL
"MANATSIKAN CHAROENMIT",shareholders,"ORIENTAL THAI SPA LIMITED",13/09/2007,NULL
"MANATSIKAN CHAROENMIT","legal representatives","ORIENTAL THAI SPA LIMITED",13/09/2007,NULL
"MANATSIKAN CHAROENMIT","judicial representatives","ORIENTAL THAI SPA LIMITED",13/09/2007,NULL
"MANATSIKAN CHAROENMIT",secretaries,"ORIENTAL THAI SPA LIMITED",13/09/2007,NULL
"ORAWAN SRIUDOMSUK",directors,"SOLUTION-L LTD",27/10/2015,NULL
"ORAWAN SRIUDOMSUK","legal representatives","SOLUTION-L LTD",27/10/2015,NULL
"ORAWAN SRIUDOMSUK","judicial representatives","SOLUTION-L LTD",27/10/2015,NULL
"CHUTTHRATHIPYA MONTHONKAN",directors,"TYRE LIMITED",01/02/2011,NULL
"CHUTTHRATHIPYA MONTHONKAN","legal representatives","TYRE LIMITED",01/02/2011,NULL
"CHUTTHRATHIPYA MONTHONKAN","judicial representatives","TYRE LIMITED",01/02/2011,NULL
"KANMANEE NOPSOMBOON",shareholders,"THONG KAM COMPANY LIMITED",10/06/2005,NULL
"CHATPHOTHIWAT WARANIT",shareholders,"THE MOSAIC SERVICE LTD",07/10/2013,NULL
"PATCHARI YEAMCHUD",shareholders,"THAIBAIPO LIMITED",05/06/2006,NULL
"PATCHARI YEAMCHUD",secretaries,"THAIBAIPO LIMITED",05/06/2006,NULL
"Kanchanok Chummongkhon",directors,"UNIVERSAL BOAT PLANS, DESIGN AND ENGINEERING LTD.",07/04/2014,NULL
"Kanchanok Chummongkhon",shareholders,"UNIVERSAL BOAT PLANS, DESIGN AND ENGINEERING LTD.",07/04/2014,NULL
"Kanchanok Chummongkhon","legal representatives","UNIVERSAL BOAT PLANS, DESIGN AND ENGINEERING LTD.",07/04/2014,NULL
"Kanchanok Chummongkhon","judicial representatives","UNIVERSAL BOAT PLANS, DESIGN AND ENGINEERING LTD.",07/04/2014,NULL
"Kanchanok Chummongkhon",secretaries,"UNIVERSAL BOAT PLANS, DESIGN AND ENGINEERING LTD.",07/04/2014,NULL
