name,type,company_name,registration_date,status
"ZEYNEP YILDIRIM",directors,"M S SHIPPING LIMITED",02/09/2015,NULL
"ZEYNEP YILDIRIM",shareholders,"M S SHIPPING LIMITED",02/09/2015,NULL
"ZEYNEP YILDIRIM","legal representatives","M S SHIPPING LIMITED",02/09/2015,NULL
"ZEYNEP YILDIRIM","judicial representatives","M S SHIPPING LIMITED",02/09/2015,NULL
"CUNEYIT ARIKAN",directors,"PUMPKIN PRODUCTION LTD",24/06/2016,NULL
"CUNEYIT ARIKAN","legal representatives","PUMPKIN PRODUCTION LTD",24/06/2016,NULL
"CUNEYIT ARIKAN","judicial representatives","PUMPKIN PRODUCTION LTD",24/06/2016,NULL
"CUNEYIT ARIKAN",secretaries,"PUMPKIN PRODUCTION LTD",24/06/2016,NULL
"CUNEYIT ARIKAN",directors,"PUMPKIN PRODUCTION HOLDING LTD",24/06/2016,NULL
"CUNEYIT ARIKAN",shareholders,"PUMPKIN PRODUCTION HOLDING LTD",24/06/2016,NULL
"CUNEYIT ARIKAN","legal representatives","PUMPKIN PRODUCTION HOLDING LTD",24/06/2016,NULL
"CUNEYIT ARIKAN","judicial representatives","PUMPKIN PRODUCTION HOLDING LTD",24/06/2016,NULL
"CUNEYIT ARIKAN",secretaries,"PUMPKIN PRODUCTION HOLDING LTD",24/06/2016,NULL
