name,type,company_name,registration_date,status
"MARIIA FEDCHENKO",directors,"3Z YACHTING LTD.",27/05/2015,NULL
"IGOR FEDCHENKO",shareholders,"3Z YACHTING LTD.",27/05/2015,NULL
"MARIIA FEDCHENKO","legal representatives","3Z YACHTING LTD.",27/05/2015,NULL
"MARIIA FEDCHENKO","judicial representatives","3Z YACHTING LTD.",27/05/2015,NULL
"OLEKSANDR MAKSYMCHUK",directors,"4A GAMES LIMITED",09/05/2014,NULL
"ANDRIY PROKHOROV",directors,"4A GAMES LIMITED",09/05/2014,NULL
"OLEKSANDR SHYSHKOVTSOV",directors,"4A GAMES LIMITED",09/05/2014,NULL
"ANDRIY TKACHENKO",directors,"4A GAMES LIMITED",09/05/2014,NULL
"OLEKSANDR MAKSYMCHUK","legal representatives","4A GAMES LIMITED",09/05/2014,NULL
"ANDRIY PROKHOROV","legal representatives","4A GAMES LIMITED",09/05/2014,NULL
"OLEKSANDR SHYSHKOVTSOV","legal representatives","4A GAMES LIMITED",09/05/2014,NULL
"ANDRIY TKACHENKO","legal representatives","4A GAMES LIMITED",09/05/2014,NULL
"OLEKSANDR MAKSYMCHUK","judicial representatives","4A GAMES LIMITED",09/05/2014,NULL
"ANDRIY PROKHOROV","judicial representatives","4A GAMES LIMITED",09/05/2014,NULL
"OLEKSANDR SHYSHKOVTSOV","judicial representatives","4A GAMES LIMITED",09/05/2014,NULL
"ANDRIY TKACHENKO","judicial representatives","4A GAMES LIMITED",09/05/2014,NULL
"ANDRIY TKACHENKO",secretaries,"4A GAMES LIMITED",09/05/2014,NULL
"FEDCHENKO VOLODYMYR",directors,"5F YACHTING CO. LTD",15/12/2009,NULL
"IGOR FEDCHENKO",shareholders,"5F YACHTING CO. LTD",15/12/2009,NULL
"FEDCHENKO VOLODYMYR","legal representatives","5F YACHTING CO. LTD",15/12/2009,NULL
"FEDCHENKO VOLODYMYR","judicial representatives","5F YACHTING CO. LTD",15/12/2009,NULL
"SVITLANA PARTYTSKA",secretaries,"AVIACOM LTD",30/06/2009,NULL
"VLADYSLAV TSALKO",directors,"Aspen Shipping Limited",18/03/2005,NULL
"VLADYSLAV TSALKO",shareholders,"Aspen Shipping Limited",18/03/2005,NULL
"VLADYSLAV TSALKO","legal representatives","Aspen Shipping Limited",18/03/2005,NULL
"VLADYSLAV TSALKO","judicial representatives","Aspen Shipping Limited",18/03/2005,NULL
"OLENA KIRSANOVA",directors,"ASPECT TRANSLATIONS LIMITED",02/04/2015,NULL
"OLENA KIRSANOVA",shareholders,"ASPECT TRANSLATIONS LIMITED",02/04/2015,NULL
"OLENA KIRSANOVA","legal representatives","ASPECT TRANSLATIONS LIMITED",02/04/2015,NULL
"OLENA KIRSANOVA","judicial representatives","ASPECT TRANSLATIONS LIMITED",02/04/2015,NULL
"YANA KVITKA",secretaries,"ASAP BUSINESS LIMITED",04/08/2014,NULL
"ANASTASIYA RUDNYCHENKO",shareholders,"ARENACUBE LTD.",14/04/2015,NULL
"SERGII GAMOTSKYI",directors,"AQUA CHAMELEON COMPANY LIMITED",21/03/2016,NULL
"SERGII GAMOTSKYI","legal representatives","AQUA CHAMELEON COMPANY LIMITED",21/03/2016,NULL
"SERGII GAMOTSKYI","judicial representatives","AQUA CHAMELEON COMPANY LIMITED",21/03/2016,NULL
"VADYM GURZHOS",directors,"ALU IDEA CO. LTD",17/06/2010,NULL
"VADYM GURZHOS","legal representatives","ALU IDEA CO. LTD",17/06/2010,NULL
"VADYM GURZHOS","judicial representatives","ALU IDEA CO. LTD",17/06/2010,NULL
"VADYM GURZHOS",secretaries,"ALU IDEA CO. LTD",17/06/2010,NULL
"OLEKSANDR BLIZNYUK",directors,"ALTERUM TRADING LIMITED",16/04/2009,NULL
"OLEKSANDR BLIZNYUK",shareholders,"ALTERUM TRADING LIMITED",16/04/2009,NULL
"OLEKSANDR BLIZNYUK","legal representatives","ALTERUM TRADING LIMITED",16/04/2009,NULL
"OLEKSANDR BLIZNYUK","judicial representatives","ALTERUM TRADING LIMITED",16/04/2009,NULL
"YANA KVITKA",shareholders,"ALKAWATER LIMITED",01/12/2015,NULL
"VASYL BOICHUK",shareholders,"Alexandr Limited",07/08/2007,"In Dissolution"
"VASYL BOICHUK",secretaries,"Alexandr Limited",07/08/2007,"In Dissolution"
"Alona Andruk",directors,"ALASKA LTD",26/02/2015,NULL
"Alona Andruk",shareholders,"ALASKA LTD",26/02/2015,NULL
"Alona Andruk",secretaries,"ALASKA LTD",26/02/2015,NULL
"ANTON PRYGODSKYY",shareholders,"ALA INT. LIMITED",23/02/2011,NULL
"LARYSA DMYTRIIEVA",directors,"AIROP MANAGEMENT LIMITED",26/04/2013,NULL
"LARYSA DMYTRIIEVA",shareholders,"AIROP MANAGEMENT LIMITED",26/04/2013,NULL
"LARYSA DMYTRIIEVA","legal representatives","AIROP MANAGEMENT LIMITED",26/04/2013,NULL
"LARYSA DMYTRIIEVA","judicial representatives","AIROP MANAGEMENT LIMITED",26/04/2013,NULL
"LARYSA DMYTRIIEVA",directors,"AIROP AVIATION LIMITED",26/04/2013,NULL
"LARYSA DMYTRIIEVA",shareholders,"AIROP AVIATION LIMITED",26/04/2013,NULL
"LARYSA DMYTRIIEVA","legal representatives","AIROP AVIATION LIMITED",26/04/2013,NULL
"LARYSA DMYTRIIEVA","judicial representatives","AIROP AVIATION LIMITED",26/04/2013,NULL
"IEVHENIIA VESELA",directors,"AGROSTUDIO GROUP LIMITED",07/03/2016,NULL
"OLEKSANDR YAKUBIN",directors,"AGROSTUDIO GROUP LIMITED",07/03/2016,NULL
"IEVHENIIA VESELA",shareholders,"AGROSTUDIO GROUP LIMITED",07/03/2016,NULL
"OLEKSANDR YAKUBIN",shareholders,"AGROSTUDIO GROUP LIMITED",07/03/2016,NULL
"IEVHENIIA VESELA","legal representatives","AGROSTUDIO GROUP LIMITED",07/03/2016,NULL
"OLEKSANDR YAKUBIN","legal representatives","AGROSTUDIO GROUP LIMITED",07/03/2016,NULL
"IEVHENIIA VESELA","judicial representatives","AGROSTUDIO GROUP LIMITED",07/03/2016,NULL
"OLEKSANDR YAKUBIN","judicial representatives","AGROSTUDIO GROUP LIMITED",07/03/2016,NULL
"IEVHENIIA VESELA",secretaries,"AGROSTUDIO GROUP LIMITED",07/03/2016,NULL
"JAMAL BALASSI",directors,"AFLOAT LEASING LIMITED",06/12/2010,NULL
"JAMAL BALASSI","legal representatives","AFLOAT LEASING LIMITED",06/12/2010,NULL
"JAMAL BALASSI","judicial representatives","AFLOAT LEASING LIMITED",06/12/2010,NULL
"MAKSYM SHEREMET",directors,"AFEGRA TRADING AND SHIPPING LIMITED",30/03/2010,NULL
"MAKSYM SHEREMET","legal representatives","AFEGRA TRADING AND SHIPPING LIMITED",30/03/2010,NULL
"MAKSYM SHEREMET","judicial representatives","AFEGRA TRADING AND SHIPPING LIMITED",30/03/2010,NULL
"SVITLANA KRAKHMALNA",directors,"ADRIATIC TRANSPORT SERVICES LTD",22/06/2004,NULL
"SVITLANA KRAKHMALNA",shareholders,"ADRIATIC TRANSPORT SERVICES LTD",22/06/2004,NULL
"NATELA MYKHAYLOVA",shareholders,"ADRIATIC TRANSPORT SERVICES LTD",22/06/2004,NULL
"SVITLANA KRAKHMALNA","legal representatives","ADRIATIC TRANSPORT SERVICES LTD",22/06/2004,NULL
"SVITLANA KRAKHMALNA","judicial representatives","ADRIATIC TRANSPORT SERVICES LTD",22/06/2004,NULL
"SVITLANA KRAKHMALNA",secretaries,"ADRIATIC TRANSPORT SERVICES LTD",22/06/2004,NULL
"OLEKSANDR USPENSKYY",directors,"ADG SHIPMANAGEMENT LIMITED",19/08/2004,NULL
"OLEKSANDR USPENSKYY","legal representatives","ADG SHIPMANAGEMENT LIMITED",19/08/2004,NULL
"OLEKSANDR USPENSKYY","judicial representatives","ADG SHIPMANAGEMENT LIMITED",19/08/2004,NULL
"OKSANA DZIVAK",directors,"ABYSS DIVING CLUB (MALTA) LIMITED",16/11/2000,NULL
"OKSANA DZIVAK",shareholders,"ABYSS DIVING CLUB (MALTA) LIMITED",16/11/2000,NULL
"OKSANA DZIVAK","legal representatives","ABYSS DIVING CLUB (MALTA) LIMITED",16/11/2000,NULL
"OKSANA DZIVAK","judicial representatives","ABYSS DIVING CLUB (MALTA) LIMITED",16/11/2000,NULL
"ANDREY PASHKOV",directors,"A.P. Starcom Limited",04/11/2005,NULL
"ANDREY PASHKOV",shareholders,"A.P. Starcom Limited",04/11/2005,NULL
"ANDREY PASHKOV","legal representatives","A.P. Starcom Limited",04/11/2005,NULL
"ANDREY PASHKOV","judicial representatives","A.P. Starcom Limited",04/11/2005,NULL
"DMYTRO IANISHEVSKYI",directors,"BUSINESS JETS LIMITED",18/08/2016,NULL
"DMYTRO IANISHEVSKYI","legal representatives","BUSINESS JETS LIMITED",18/08/2016,NULL
"DMYTRO IANISHEVSKYI","judicial representatives","BUSINESS JETS LIMITED",18/08/2016,NULL
"OLEKSIY GAVRYSH",directors,"BREWERY INVESTMENTS LIMITED",03/12/2014,NULL
"OLEKSIY GAVRYSH","legal representatives","BREWERY INVESTMENTS LIMITED",03/12/2014,NULL
