name,type,company_name,registration_date,status
"FEDOR BOGORODSKIY BOGORODSKAYA",directors,"AERO TRADING LTD",23/10/2012,NULL
"FEDOR BOGORODSKIY BOGORODSKAYA",shareholders,"AERO TRADING LTD",23/10/2012,NULL
"FEDOR BOGORODSKIY BOGORODSKAYA","legal representatives","AERO TRADING LTD",23/10/2012,NULL
"FEDOR BOGORODSKIY BOGORODSKAYA","judicial representatives","AERO TRADING LTD",23/10/2012,NULL
"FEDOR BOGORODSKIY BOGORODSKAYA",secretaries,"AERO TRADING LTD",23/10/2012,NULL
"GABRIEL ULISES GARCIA FIRPO",directors,"CRITCHLEY INVESTMENT LTD",10/12/2008,NULL
"JOSE` VICENTE SEDES DIAZ",directors,"CRITCHLEY INVESTMENT LTD",10/12/2008,NULL
"GABRIEL ULISES GARCIA FIRPO","legal representatives","CRITCHLEY INVESTMENT LTD",10/12/2008,NULL
"JOSE` VICENTE SEDES DIAZ","legal representatives","CRITCHLEY INVESTMENT LTD",10/12/2008,NULL
"GABRIEL ULISES GARCIA FIRPO","judicial representatives","CRITCHLEY INVESTMENT LTD",10/12/2008,NULL
"JOSE` VICENTE SEDES DIAZ","judicial representatives","CRITCHLEY INVESTMENT LTD",10/12/2008,NULL
"JORGE EDISON LAITANO KAPLAN",secretaries,"CIRERA INVESTMENTS LIMITED",01/08/2013,NULL
"FEDOR BOGORODSKIY BOGORODSKAYA",directors,"CELESTIAL HOLDINGS LTD",23/10/2012,NULL
"FEDOR BOGORODSKIY BOGORODSKAYA",shareholders,"CELESTIAL HOLDINGS LTD",23/10/2012,NULL
"FEDOR BOGORODSKIY BOGORODSKAYA","legal representatives","CELESTIAL HOLDINGS LTD",23/10/2012,NULL
"FEDOR BOGORODSKIY BOGORODSKAYA","judicial representatives","CELESTIAL HOLDINGS LTD",23/10/2012,NULL
"FEDOR BOGORODSKIY BOGORODSKAYA",secretaries,"CELESTIAL HOLDINGS LTD",23/10/2012,NULL
"EDUARDO EGUREN LINSEN",directors,"FIMBank p.l.c.",08/11/1994,NULL
"MARIA FERNANDA NORMEY GARCIA PINTOS",secretaries,"HIGH TECHNOLOGY VEHICLES LTD",07/04/2014,NULL
"GUNTHER KARL ROTZINGER MAGERL",directors,"LORING TRADE LIMITED",06/02/2014,NULL
"PEDRO DOMINGO VANELLI ALESSANDRINI",directors,"LORING TRADE LIMITED",06/02/2014,NULL
"GUNTHER KARL ROTZINGER MAGERL","legal representatives","LORING TRADE LIMITED",06/02/2014,NULL
"PEDRO DOMINGO VANELLI ALESSANDRINI","legal representatives","LORING TRADE LIMITED",06/02/2014,NULL
"GUNTHER KARL ROTZINGER MAGERL","judicial representatives","LORING TRADE LIMITED",06/02/2014,NULL
"PEDRO DOMINGO VANELLI ALESSANDRINI","judicial representatives","LORING TRADE LIMITED",06/02/2014,NULL
"ESTELA MARGARITA MACHIN GONZATTO",directors,"LATIN PROPERTY HOLDINGS LIMITED",27/01/2016,NULL
"ESTELA MARGARITA MACHIN GONZATTO","legal representatives","LATIN PROPERTY HOLDINGS LIMITED",27/01/2016,NULL
"ESTELA MARGARITA MACHIN GONZATTO","judicial representatives","LATIN PROPERTY HOLDINGS LIMITED",27/01/2016,NULL
"PEDRO DOMINGO VANNELLI ALESSANDRINI",directors,"MARTRONA INC. LIMITED",04/01/2010,NULL
"OFELIA MARIA VOLONTERIO CROCE",directors,"MARTRONA INC. LIMITED",04/01/2010,NULL
"GUNTHER KARL ROTZINGER MAGERL",directors,"MARTRONA INC. LIMITED",04/01/2010,NULL
"PEDRO DOMINGO VANNELLI ALESSANDRINI","legal representatives","MARTRONA INC. LIMITED",04/01/2010,NULL
"OFELIA MARIA VOLONTERIO CROCE","legal representatives","MARTRONA INC. LIMITED",04/01/2010,NULL
"GUNTHER KARL ROTZINGER MAGERL","legal representatives","MARTRONA INC. LIMITED",04/01/2010,NULL
"PEDRO DOMINGO VANNELLI ALESSANDRINI","judicial representatives","MARTRONA INC. LIMITED",04/01/2010,NULL
"OFELIA MARIA VOLONTERIO CROCE","judicial representatives","MARTRONA INC. LIMITED",04/01/2010,NULL
"GUNTHER KARL ROTZINGER MAGERL","judicial representatives","MARTRONA INC. LIMITED",04/01/2010,NULL
