name,type,company_name,registration_date,status
"KARINA ANDRIASOVA",shareholders,"SOLIDA FINANCE LTD",22/05/2015,NULL
"SUREN SAFAROV",shareholders,"SMARTPOINT CONSTRUCTION LTD",22/05/2015,NULL
"RAVSHAN NASIMJANOVICH USMANOV",shareholders,"SIX SIGMA LTD",17/11/2015,NULL
"MIRJAMAL TADJIEV",directors,"TRITRACT FINANCIAL LIMITED",11/07/2011,NULL
"MIRJAMAL TADJIEV",shareholders,"TRITRACT FINANCIAL LIMITED",11/07/2011,NULL
"MIRJAMAL TADJIEV","legal representatives","TRITRACT FINANCIAL LIMITED",11/07/2011,NULL
"MIRJAMAL TADJIEV","judicial representatives","TRITRACT FINANCIAL LIMITED",11/07/2011,NULL
"AKMAL TOKHTABAYEV",directors,"TAJ MAHAL SERVICE LIMITED",23/05/2006,NULL
"AKMAL TOKHTABAYEV",shareholders,"TAJ MAHAL SERVICE LIMITED",23/05/2006,NULL
"AKMAL TOKHTABAYEV","legal representatives","TAJ MAHAL SERVICE LIMITED",23/05/2006,NULL
"AKMAL TOKHTABAYEV","judicial representatives","TAJ MAHAL SERVICE LIMITED",23/05/2006,NULL
