name,type,company_name,registration_date,status
"Quang Chung Dinh",shareholders,"GM GROUP P.L.C.",20/02/2015,NULL
"Mai Hoang Lac",shareholders,"GM GROUP P.L.C.",20/02/2015,NULL
"Ho Hai Luu",shareholders,"GM GROUP P.L.C.",20/02/2015,NULL
"Nguyen Thi Mai",shareholders,"GM GROUP P.L.C.",20/02/2015,NULL
"HANG LE THI THU",directors,"INTER VALUE LIMITED",16/12/2015,NULL
"HANG LE THI THU","legal representatives","INTER VALUE LIMITED",16/12/2015,NULL
"HANG LE THI THU","judicial representatives","INTER VALUE LIMITED",16/12/2015,NULL
"THI PHUONG LAN VU",shareholders,"IIS-INTERNATIONAL INVESTIGATION SERVICES LIMITED",20/08/2010,NULL
"THI PHUONG LAN VU",secretaries,"IIS-INTERNATIONAL INVESTIGATION SERVICES LIMITED",20/08/2010,NULL
"ABDULLA SAEED MOHAMMED",directors,"KAROUN INTERNATIONAL GROUP FOR INVESTMENTS AND TRADING LIMITED",30/04/2001,NULL
"ABDULLA SAEED MOHAMMED","judicial representatives","KAROUN INTERNATIONAL GROUP FOR INVESTMENTS AND TRADING LIMITED",30/04/2001,NULL
"ABDULLA SAEED MOHAMMED",secretaries,"KAROUN INTERNATIONAL GROUP FOR INVESTMENTS AND TRADING LIMITED",30/04/2001,NULL
"LYUDMILA SHEGAY",directors,"LUSCO COMPANY LIMITED",10/01/2003,NULL
"LYUDMILA SHEGAY","legal representatives","LUSCO COMPANY LIMITED",10/01/2003,NULL
"LYUDMILA SHEGAY","judicial representatives","LUSCO COMPANY LIMITED",10/01/2003,NULL
"MICHAEL JAMES WALKER",directors,"LLOYD LOOM OF MALTA LIMITED",23/10/1998,NULL
"MICHAEL JAMES WALKER","judicial representatives","LLOYD LOOM OF MALTA LIMITED",23/10/1998,NULL
"HAKOB HOVSEPYAN",directors,"M.V. AVIATION HOLDINGS LIMITED",25/11/2002,NULL
"HAKOB HOVSEPYAN","judicial representatives","M.V. AVIATION HOLDINGS LIMITED",25/11/2002,NULL
"IMRAN RAHMAN",directors,"PRIAM SHIPPING LIMITED",16/12/1999,NULL
"DAGMAR WEISSABELOVA",directors,"R.D.W. INTERNATIONAL LTD",14/08/2002,NULL
"DAGMAR WEISSABELOVA","judicial representatives","R.D.W. INTERNATIONAL LTD",14/08/2002,NULL
"DAGMAR WEISSABELOVA",secretaries,"R.D.W. INTERNATIONAL LTD",14/08/2002,NULL
"TUAN TRAN ANH",shareholders,"TNG HOLDINGS INTERNATIONAL LTD",31/08/2015,NULL
"HUONG NGUYEN THI NGUYET",shareholders,"TNG HOLDINGS INTERNATIONAL LTD",31/08/2015,NULL
