name,type,company_name,registration_date,status
"AKRAM MOHAMMED HEZAM HUSSEIN",shareholders,"ALBASSAM MOTORS MALTA LIMITED",08/01/2015,NULL
"GAMAL MOHAMMED HEZAM HUSSEIN",shareholders,"ALBASSAM MOTORS MALTA LIMITED",08/01/2015,NULL
"MOHAMMED HEZAM HUSSEIN SALEH",shareholders,"ALBASSAM MOTORS MALTA LIMITED",08/01/2015,NULL
"GAMAL MOHAMMED HEZAM HUSSEIN",secretaries,"ALBASSAM MOTORS MALTA LIMITED",08/01/2015,NULL
"ABDULMAJID SAEED MOHSEN AL-SADI",directors,"AL-SADI MALTA LTD",03/06/2015,NULL
"ABDULMAJID SAEED MOHSEN AL-SADI",shareholders,"AL-SADI MALTA LTD",03/06/2015,NULL
"AMAR ABDULMAJID SAEED AL-SADI",shareholders,"AL-SADI MALTA LTD",03/06/2015,NULL
"ABDULMAJID SAEED MOHSEN AL-SADI","legal representatives","AL-SADI MALTA LTD",03/06/2015,NULL
"ABDULMAJID SAEED MOHSEN AL-SADI","judicial representatives","AL-SADI MALTA LTD",03/06/2015,NULL
"KHALED MOHAMMED MOHAMMED AL-HABABI",directors,"SOLAR6 GLOBAL PROJECTS LIMITED",04/07/2012,NULL
"KHALED MOHAMMED MOHAMMED AL-HABABI","legal representatives","SOLAR6 GLOBAL PROJECTS LIMITED",04/07/2012,NULL
"KHALED MOHAMMED MOHAMMED AL-HABABI","judicial representatives","SOLAR6 GLOBAL PROJECTS LIMITED",04/07/2012,NULL
"IBRAHIM ALI ABULOHOUM",directors,"SECURITY RISK MANAGEMENT LIMITED",19/06/2013,NULL
"IBRAHIM ALI ABULOHOUM",shareholders,"SECURITY RISK MANAGEMENT LIMITED",19/06/2013,NULL
"IBRAHIM ALI ABULOHOUM","legal representatives","SECURITY RISK MANAGEMENT LIMITED",19/06/2013,NULL
"IBRAHIM ALI ABULOHOUM","judicial representatives","SECURITY RISK MANAGEMENT LIMITED",19/06/2013,NULL
"IBRAHIM ALI ABULOHOUM",secretaries,"SECURITY RISK MANAGEMENT LIMITED",19/06/2013,NULL
"IBRAHIM ALI ABDULLAH ABU-LOHOUM",directors,"THE SINBAD NAVIGATION COMPANY LIMITED",31/08/2011,NULL
"IBRAHIM ALI ABDULLAH ABU-LOHOUM",shareholders,"THE SINBAD NAVIGATION COMPANY LIMITED",31/08/2011,NULL
"IBRAHIM ALI ABDULLAH ABU-LOHOUM","legal representatives","THE SINBAD NAVIGATION COMPANY LIMITED",31/08/2011,NULL
"IBRAHIM ALI ABDULLAH ABU-LOHOUM","judicial representatives","THE SINBAD NAVIGATION COMPANY LIMITED",31/08/2011,NULL
"IBRAHIM ALI ABDULLAH ABU-LOHOUM",secretaries,"THE SINBAD NAVIGATION COMPANY LIMITED",31/08/2011,NULL
