name,type,company_name,registration_date,status
"NEBOJSA DUKIC",directors,"ATOL GENERAL TRADING LIMITED",07/04/2004,NULL
"NEBOJSA DUKIC",shareholders,"ATOL GENERAL TRADING LIMITED",07/04/2004,NULL
"NEBOJSA DUKIC","judicial representatives","ATOL GENERAL TRADING LIMITED",07/04/2004,NULL
"NEBOJSA JOSILO",directors,"BRANEX CO. LTD",19/07/2006,NULL
"BRANIMIR MELENTIJEVIC",directors,"BRANEX CO. LTD",19/07/2006,NULL
"NEBOJSA JOSILO",shareholders,"BRANEX CO. LTD",19/07/2006,NULL
"BRANIMIR MELENTIJEVIC",shareholders,"BRANEX CO. LTD",19/07/2006,NULL
"NEBOJSA JOSILO","legal representatives","BRANEX CO. LTD",19/07/2006,NULL
"BRANIMIR MELENTIJEVIC","legal representatives","BRANEX CO. LTD",19/07/2006,NULL
"NEBOJSA JOSILO","judicial representatives","BRANEX CO. LTD",19/07/2006,NULL
"BRANIMIR MELENTIJEVIC","judicial representatives","BRANEX CO. LTD",19/07/2006,NULL
"NEBOJSA JOSILO",secretaries,"BRANEX CO. LTD",19/07/2006,NULL
"ALEKSANDRA JOVCIC",directors,"BIG BLUE LTD.",16/05/2007,NULL
"ALEKSANDRA JOVCIC",shareholders,"BIG BLUE LTD.",16/05/2007,NULL
"ALEKSANDRA JOVCIC","legal representatives","BIG BLUE LTD.",16/05/2007,NULL
"ALEKSANDRA JOVCIC","judicial representatives","BIG BLUE LTD.",16/05/2007,NULL
"ALEKSANDRA JOVCIC",secretaries,"BIG BLUE LTD.",16/05/2007,NULL
"MIROSLAV RNJAK",directors,"BENTRADE LIMITED",17/05/2000,NULL
"MIROSLAV RNJAK","judicial representatives","BENTRADE LIMITED",17/05/2000,NULL
"SASA TORBAROV",directors,"CORUNA COMPANY LTD",17/12/2002,NULL
"IGOR SAMARDZISKI",directors,"CORE GAMING LTD",04/08/2014,NULL
"IGOR SAMARDZISKI","legal representatives","CORE GAMING LTD",04/08/2014,NULL
"IGOR SAMARDZISKI","judicial representatives","CORE GAMING LTD",04/08/2014,NULL
"IGOR SAMARDZISKI",secretaries,"CORE GAMING LTD",04/08/2014,NULL
